Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
7001,Blade II,PS2,2002.0,Sep,2.0,undefined,Activision  ,Mucky Foot Productions  ,,,0.15,0.12,,0.04,0.31,https://www.vgchartz.com/game/4880/blade-ii/?region=All,Action,Action
7002,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009.0,Sep,11.0,undefined,Mentor Interactive  ,1st Playable Productions  ,,,0.29,,,0.02,0.31,https://www.vgchartz.com/game/36329/my-virtual-tutor-reading-adventure-pre-k-to-kindergarten/?region=All,Misc,Misc
7003,The Settlers 7: Paths to a Kingdom,PC,2010.0,Mar,23.0,undefined,Ubisoft  ,Blue Byte  ,7.8,,,0.27,,0.04,0.31,https://www.vgchartz.com/game/42083/the-settlers-7-paths-to-a-kingdom/?region=All,Strategy,Strategy
7004,Math Play,DS,2007.0,Sep,24.0,undefined,Natsume  ,Denyu-Sha  ,,,0.28,0.0,,0.02,0.31,https://www.vgchartz.com/game/7380/math-play/?region=All,Puzzle,Puzzle
7005,Blackguards,PC,2014.0,Jan,1.0,undefined,Daedalic Entertainment  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/72007/blackguards/?region=All,undefined,Misc
7006,A Collection of Intellivision Classic Games,PS,1999.0,Oct,30.0,undefined,Activision  ,LTI  ,4.3,,0.17,0.12,,0.02,0.31,https://www.vgchartz.com/game/33259/a-collection-of-intellivision-classic-games/?region=All,undefined,Misc
7007,Star Wars Episode III: Revenge of the Sith,DS,2005.0,May,4.0,undefined,Ubisoft  ,Ubisoft Montreal  ,7.3,,0.25,0.03,,0.02,0.31,https://www.vgchartz.com/game/5763/star-wars-episode-iii-revenge-of-the-sith/?region=All,Action,Action
7008,Silent Hill: Shattered Memories,PSP,2010.0,Jan,19.0,undefined,Konami  ,Climax Group  ,7.8,,0.09,0.13,0.01,0.07,0.31,https://www.vgchartz.com/game/33213/silent-hill-shattered-memories/?region=All,Action,Action
7009,Her Story,PC,2015.0,Jun,24.0,undefined,Sam Barlow  ,Sam Barlow  ,8.7,,,,,,,https://www.vgchartz.com/game/220463/her-story/?region=All,undefined,Adventure
7010,Bruce Lee: Quest of the Dragon,XB,2002.0,Jul,1.0,undefined,Universal Interactive  ,Ronin Entertainment  ,,,0.23,0.07,,0.01,0.31,https://www.vgchartz.com/game/261/bruce-lee-quest-of-the-dragon/?region=All,Fighting,Fighting
