Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
2065,[Prototype],X360,2009.0,Jun,9.0,undefined,Activision  ,Radical Entertainment  ,7.9,,0.84,0.35,,0.12,1.31,https://www.vgchartz.com/game/13822/prototype/?region=All,Action,Action
2066,Turok: Evolution,PS2,2002.0,Aug,31.0,undefined,Acclaim Entertainment  ,Acclaim Studios Austin  ,,,0.64,0.5,,0.17,1.31,https://www.vgchartz.com/game/5950/turok-evolution/?region=All,Shooter,Shooter
2067,The Beatles: Rock Band,X360,2009.0,Sep,9.0,undefined,MTV Games  ,Harmonix Music Systems  ,8.9,,0.97,0.23,,0.11,1.31,https://www.vgchartz.com/game/31024/the-beatles-rock-band/?region=All,Misc,Misc
2068,EA Sports UFC 2,PS4,2016.0,Mar,15.0,undefined,EA Sports  ,EA Canada  ,,,0.44,0.65,,0.21,1.31,https://www.vgchartz.com/game/86173/ea-sports-ufc-2/?region=All,Sports,Sports
2069,Burnout 3: Takedown,XB,2004.0,Sep,7.0,undefined,Electronic Arts  ,Criterion Games  ,9.3,,0.84,0.43,,0.04,1.31,https://www.vgchartz.com/game/273/burnout-3-takedown/?region=All,Racing,Racing
2070,Who's Your Daddy,PC,,,,undefined,Unknown  ,Evil Tortilla Games  ,,,,,,,,https://www.vgchartz.com/game/223392/whos-your-daddy/?region=All,undefined,Action
2071,Adventure,2600,2078.0,Jan,1.0,undefined,Atari  ,Atari  ,,,1.21,0.08,,0.01,1.3,https://www.vgchartz.com/game/19959/adventure/?region=All,Adventure,Adventure
2072,Yu-Gi-Oh! The Sacred Cards,GBA,2003.0,Nov,4.0,undefined,Konami  ,Konami  ,,,0.94,0.35,,0.02,1.3,https://www.vgchartz.com/game/15124/yu-gi-oh-the-sacred-cards/?region=All,Role-Playing,Role-Playing
2073,NBA Live 07,PS2,2006.0,Sep,25.0,undefined,EA Sports  ,EA Canada  ,6.3,,1.07,0.04,0.02,0.17,1.3,https://www.vgchartz.com/game/3900/nba-live-07/?region=All,Sports,Sports
2074,SingStar '80s,PS2,2007.0,Sep,18.0,undefined,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.27,0.02,,1.02,1.3,https://www.vgchartz.com/game/7497/singstar-80s/?region=All,Misc,Misc
2075,LEGO Batman: The Videogame,PSP,2008.0,Sep,23.0,undefined,Warner Bros. Interactive  ,Traveller's Tales  ,7.9,,0.57,0.46,,0.27,1.3,https://www.vgchartz.com/game/19097/lego-batman-the-videogame/?region=All,Action,Action
2076,Devil May Cry 3: Dante's Awakening,PS2,2005.0,Mar,1.0,undefined,Capcom  ,Capcom  ,8.6,,0.99,0.63,0.29,0.19,2.09,https://www.vgchartz.com/game/516/devil-may-cry-3-dantes-awakening/?region=All,Action,Action
2077,Dragon Quest IV: Michibikareshi Monotachi,PS,2001.0,Nov,22.0,undefined,Enix  ,Heart Beat  ,,,,,1.2,0.01,1.21,https://www.vgchartz.com/game/3139/dragon-quest-iv-michibikareshi-monotachi/?region=All,Role-Playing,Role-Playing
2078,Final Fantasy X / X-2 HD Remaster,PS3,2014.0,Mar,18.0,undefined,Square Enix  ,Square Enix  ,,,0.43,0.39,0.32,0.16,1.3,https://www.vgchartz.com/game/78197/final-fantasy-x-x-2-hd-remaster/?region=All,Role-Playing,Role-Playing
2079,Final Fantasy: Crystal Chronicles,GC,2004.0,Feb,9.0,undefined,Nintendo  ,Square Enix  ,7.7,7.5,0.72,0.38,0.36,0.04,1.49,https://www.vgchartz.com/game/766/final-fantasy-crystal-chronicles/?region=All,Role-Playing,Role-Playing
2080,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,Jul,31.0,undefined,Square Enix  ,Square Enix  ,7.5,,0.88,0.27,0.34,0.1,1.6,https://www.vgchartz.com/game/45690/kingdom-hearts-3d-dream-drop-distance/?region=All,Action,Action
2081,Kingdom Hearts HD II.8 Final Chapter Prologue,PS4,2017.0,Jan,24.0,undefined,Square Enix  ,Square-Enix  ,7.6,,0.57,0.25,0.2,0.17,1.2,https://www.vgchartz.com/game/85993/kingdom-hearts-hd-ii8-final-chapter-prologue/?region=All,undefined,Role-Playing
2082,Monster Hunter Freedom,PSP,2006.0,May,23.0,undefined,Capcom  ,Capcom  ,7.0,,0.24,0.04,1.03,0.04,1.34,https://www.vgchartz.com/game/3836/monster-hunter-freedom/?region=All,Role-Playing,Role-Playing
2083,Resident Evil: The Umbrella Chronicles,Wii,2007.0,Nov,13.0,undefined,Capcom  ,Cavia Inc.  ,7.5,8.0,0.67,0.43,0.29,0.14,1.52,https://www.vgchartz.com/game/6971/resident-evil-the-umbrella-chronicles/?region=All,Action,Action
2084,Romancing SaGa 3,SNES,1995.0,Nov,11.0,undefined,Square  ,SquareSoft  ,,,,,1.29,0.01,1.3,https://www.vgchartz.com/game/4196/romancing-saga-3/?region=All,Role-Playing,Role-Playing
2085,SaGa Frontier,PS,1998.0,Mar,31.0,undefined,Sony Computer Entertainment  ,SquareSoft  ,8.0,,0.15,0.04,1.07,0.09,1.35,https://www.vgchartz.com/game/1961/saga-frontier/?region=All,Role-Playing,Role-Playing
2086,Super Street Fighter IV: 3D Edition,3DS,2011.0,Mar,27.0,undefined,Capcom  ,Capcom  ,8.5,,0.55,0.45,0.14,0.09,1.22,https://www.vgchartz.com/game/45688/super-street-fighter-iv-3d-edition/?region=All,Fighting,Fighting
2087,Test Drive 5,PS,1998.0,Sep,30.0,undefined,Accolade  ,Pitbull Syndicate  ,,,1.05,0.2,,0.05,1.3,https://www.vgchartz.com/game/2361/test-drive-5/?region=All,Racing,Racing
2088,Xenogears,PS,1998.0,Oct,20.0,undefined,Square  ,SquareSoft  ,7.8,,0.29,0.19,0.89,0.1,1.46,https://www.vgchartz.com/game/2769/xenogears/?region=All,Role-Playing,Role-Playing
2089,Assassin's Creed: Rogue,PS3,2014.0,Nov,11.0,undefined,Ubisoft  ,Ubisoft Sofia  ,,,0.46,0.57,0.07,0.2,1.3,https://www.vgchartz.com/game/84000/assassins-creed-rogue/?region=All,Action,Action
2090,The Escapists,PC,2014.0,Aug,20.0,undefined,Team17 Software  ,Mouldy Toof Studios  ,,,,0.01,,0.0,0.01,https://www.vgchartz.com/game/84135/the-escapists/?region=All,undefined,Action
2091,Digimon World,PS,2000.0,May,23.0,undefined,Bandai  ,Bandai  ,,,0.56,0.38,0.28,0.08,1.3,https://www.vgchartz.com/game/522/digimon-world/?region=All,Role-Playing,Role-Playing
2092,Scribblenauts: Unlimited,PC,2012.0,Nov,19.0,undefined,Warner Bros. Interactive Entertainment  ,5TH Cell  ,8.8,,,,,,,https://www.vgchartz.com/game/220263/scribblenauts-unlimited/?region=All,Action,Action
2093,High School Musical 3: Senior Year DANCE!,Wii,2008.0,Oct,21.0,undefined,Disney Interactive Studios  ,Page 44 Studios  ,,,0.67,0.49,0.0,0.13,1.29,https://www.vgchartz.com/game/25849/high-school-musical-3-senior-year-dance/?region=All,Misc,Misc
2094,The Last Guardian,PS4,2016.0,Dec,6.0,undefined,Sony Interactive Entertainment  ,SIE Japan Studio  ,7.9,,0.4,0.58,0.13,0.19,1.29,https://www.vgchartz.com/game/85727/the-last-guardian/?region=All,undefined,Action-Adventure
2095,Deal or No Deal,Wii,2009.0,Jan,20.0,undefined,Zoo Games  ,Black Lantern Studios  ,,,1.2,,,0.09,1.29,https://www.vgchartz.com/game/24691/deal-or-no-deal/?region=All,Misc,Misc
2096,Mega Man Battle Network 3 Blue / White Version,GBA,2003.0,Jun,24.0,undefined,Capcom  ,Capcom  ,,,0.39,0.02,0.85,0.03,1.29,https://www.vgchartz.com/game/6340/mega-man-battle-network-3-blue-white-version/?region=All,Role-Playing,Role-Playing
2097,Watch Dogs,X360,2014.0,May,27.0,undefined,Ubisoft  ,Ubisoft Montreal  ,,,0.73,0.44,0.01,0.11,1.29,https://www.vgchartz.com/game/70776/watch-dogs/?region=All,Action,Action
2098,Dark Souls II,PS3,2015.0,Apr,7.0,undefined,Namco Bandai Games  ,From Software  ,,,0.38,0.35,0.41,0.15,1.29,https://www.vgchartz.com/game/72895/dark-souls-ii/?region=All,Role-Playing,Role-Playing
2099,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,2003.0,Jul,1.0,undefined,TDK Mediactive  ,Pocket Studios  ,,,0.93,0.34,,0.02,1.29,https://www.vgchartz.com/game/14960/pirates-of-the-caribbean-the-curse-of-the-black-pearl/?region=All,Platform,Platform
2100,WWE 2K16,PS4,2015.0,Oct,27.0,undefined,Take-Two Interactive  ,Yuke's  ,,,0.43,0.65,,0.21,1.29,https://www.vgchartz.com/game/85561/wwe-2k16/?region=All,Sports,Sports
2101,Transformers,PS2,2004.0,May,11.0,undefined,Atari  ,Melbourne House  ,7.8,,0.63,0.49,,0.16,1.29,https://www.vgchartz.com/game/2520/transformers/?region=All,Shooter,Shooter
2102,BioShock,PC,2007.0,Aug,21.0,undefined,2K Games  ,2K Australia / 2K Boston  ,9.6,,0.01,0.39,,0.01,0.41,https://www.vgchartz.com/game/7217/bioshock/?region=All,Shooter,Shooter
2103,EA Playground,Wii,2007.0,Oct,22.0,undefined,Electronic Arts  ,EA Canada  ,,,0.68,0.47,,0.13,1.29,https://www.vgchartz.com/game/12349/ea-playground/?region=All,Sports,Sports
2104,LEGO Battles,DS,2009.0,Jun,10.0,undefined,Warner Bros. Interactive  ,Hellbent Games  ,,,0.79,0.38,,0.12,1.29,https://www.vgchartz.com/game/31346/lego-battles/?region=All,Strategy,Strategy
2105,Gold's Gym: Cardio Workout,Wii,2009.0,Mar,25.0,undefined,Ubisoft  ,Rocket Company  ,,,1.1,0.04,0.06,0.09,1.29,https://www.vgchartz.com/game/28493/golds-gym-cardio-workout/?region=All,Sports,Sports
2106,Midnight Club 3: DUB Edition (America weekly sales),PS2,2005.0,Apr,11.0,undefined,Rockstar Games  ,Rockstar San Diego  ,,,1.22,0.05,,0.01,1.29,https://www.vgchartz.com/game/5351/midnight-club-3-dub-edition-america-weekly-sales/?region=All,Racing,Racing
2107,Borderlands: The Handsome Collection,PS4,2015.0,Mar,24.0,undefined,2K Games  ,Gearbox Software  ,,,0.69,0.34,0.03,0.22,1.28,https://www.vgchartz.com/game/85113/borderlands-the-handsome-collection/?region=All,Shooter,Shooter
2108,Champions of Norrath,PS2,2004.0,Feb,10.0,undefined,Sony Online Entertainment  ,Snowblind Studios  ,8.5,,0.63,0.49,,0.16,1.28,https://www.vgchartz.com/game/335/champions-of-norrath/?region=All,Role-Playing,Role-Playing
2109,Project CARS,PS4,2015.0,May,12.0,undefined,Bandai Namco Games  ,Slightly Mad Studios  ,,,0.29,0.76,0.04,0.19,1.28,https://www.vgchartz.com/game/78627/project-cars/?region=All,Racing,Racing
2110,Yakuman,GB,1989.0,Apr,21.0,undefined,Nintendo  ,Intelligent Systems  ,,,,,1.28,0.0,1.28,https://www.vgchartz.com/game/6538/yakuman/?region=All,Misc,Misc
2111,Imagine: Wedding Designer,DS,2008.0,Nov,4.0,undefined,Ubisoft  ,Virtual Toys / Lexis Numerique  ,,,0.55,0.59,,0.14,1.28,https://www.vgchartz.com/game/25966/imagine-wedding-designer/?region=All,Simulation,Simulation
2112,Need for Speed Carbon,Wii,2006.0,Nov,19.0,undefined,Electronic Arts  ,EA Black Box  ,6.4,,0.45,0.66,0.02,0.15,1.28,https://www.vgchartz.com/game/3907/need-for-speed-carbon/?region=All,Racing,Racing
2113,Army Men 3D,PS,1999.0,Feb,28.0,undefined,3DO  ,3DO  ,,,1.1,0.14,,0.04,1.28,https://www.vgchartz.com/game/109/army-men-3d/?region=All,Action,Action
2114,Injustice: Gods Among Us,PS3,2013.0,Apr,16.0,undefined,Warner Bros. Interactive Entertainment  ,NetherRealm Studios  ,,,0.5,0.56,0.01,0.21,1.28,https://www.vgchartz.com/game/71002/injustice-gods-among-us/?region=All,Fighting,Fighting
2115,Twisted Metal 4,PS,1999.0,Oct,31.0,undefined,989 Studios  ,989 Studios  ,6.7,,1.07,0.16,,0.04,1.28,https://www.vgchartz.com/game/2551/twisted-metal-4/?region=All,Racing,Racing
2116,Manhunt,PS2,2003.0,Nov,18.0,undefined,Rockstar Games  ,Rockstar North  ,8.0,,0.63,0.49,,0.16,1.28,https://www.vgchartz.com/game/5318/manhunt/?region=All,Action,Action
2117,Fez,PC,2013.0,May,1.0,undefined,Trapdoor  ,Polytron Corporation  ,,,,,,,,https://www.vgchartz.com/game/33053/fez/?region=All,undefined,Platform
