Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
2001,Shadow The Hedgehog,PS2,2005.0,Nov,15.0,undefined,Sega  ,Sonic Team  ,4.8,,0.5,0.02,,0.08,0.6,https://www.vgchartz.com/game/5680/shadow-the-hedgehog/?region=All,Platform,Platform
2002,FIFA Soccer 08,PSP,2007.0,Oct,8.0,undefined,EA Sports  ,EA Canada  ,7.9,,0.2,0.76,,0.39,1.35,https://www.vgchartz.com/game/7548/fifa-soccer-08/?region=All,Sports,Sports
2003,The Simpsons: Hit & Run,XB,2003.0,Sep,16.0,undefined,VU Games  ,Radical Entertainment  ,,,0.7,0.58,,0.07,1.35,https://www.vgchartz.com/game/6420/the-simpsons-hit-amp-run/?region=All,Racing,Racing
2004,FIFA Soccer 09,PSP,2008.0,Oct,14.0,undefined,EA Sports  ,EA Canada  ,8.1,,0.23,0.73,0.02,0.37,1.35,https://www.vgchartz.com/game/25802/fifa-soccer-09/?region=All,Sports,Sports
2005,Watch Dogs 2,XOne,2016.0,Nov,15.0,undefined,Ubisoft  ,Ubisoft  ,,,0.71,0.53,,0.12,1.35,https://www.vgchartz.com/game/86723/watch-dogs-2/?region=All,undefined,Action
2006,SingStar Party,PS2,2004.0,Nov,19.0,undefined,Sony Computer Entertainment  ,SCEE London Studio  ,,,,1.04,,0.31,1.35,https://www.vgchartz.com/game/12721/singstar-party/?region=All,Misc,Misc
2007,FIFA Soccer 08,X360,2007.0,Oct,9.0,undefined,EA Sports  ,EA Canada  ,,,0.31,0.89,0.01,0.14,1.35,https://www.vgchartz.com/game/7618/fifa-soccer-08/?region=All,Sports,Sports
2008,Test Drive,PS2,2002.0,May,27.0,undefined,Atari  ,Pitbull Syndicate  ,,,0.95,0.21,0.01,0.18,1.34,https://www.vgchartz.com/game/5818/test-drive/?region=All,Racing,Racing
2009,Tom Clancy's Rainbow Six: Vegas 2,PS3,2008.0,Mar,19.0,undefined,Ubisoft  ,Ubisoft Montreal  ,8.2,,0.66,0.45,0.04,0.2,1.34,https://www.vgchartz.com/game/14218/tom-clancys-rainbow-six-vegas-2/?region=All,Shooter,Shooter
2010,Devil May Cry 4,X360,2008.0,Feb,5.0,undefined,Capcom  ,Capcom  ,8.5,,0.79,0.34,0.08,0.13,1.34,https://www.vgchartz.com/game/7684/devil-may-cry-4/?region=All,Action,Action
2011,F1 2010,PS3,2010.0,Sep,21.0,undefined,Codemasters  ,Codemasters Birmingham  ,8.0,,0.25,0.75,0.08,0.26,1.34,https://www.vgchartz.com/game/33784/f1-2010/?region=All,Racing,Racing
2012,Mortal Kombat 3,GEN,1995.0,Jan,1.0,undefined,Williams Entertainment  ,Sculptured Software  ,,,1.03,0.27,,0.04,1.34,https://www.vgchartz.com/game/6357/mortal-kombat-3/?region=All,Fighting,Fighting
2013,The Legend of Zelda: Tri Force Heroes,3DS,2015.0,Oct,23.0,undefined,Nintendo  ,GREZZO  ,7.4,,0.61,0.34,0.19,0.09,1.24,https://www.vgchartz.com/game/85729/the-legend-of-zelda-tri-force-heroes/?region=All,Action,Action
2014,Doom 3,XB,2005.0,Apr,3.0,undefined,Activision  ,Vicarious Visions  ,,,0.85,0.43,,0.06,1.34,https://www.vgchartz.com/game/6234/doom-3/?region=All,Shooter,Shooter
2015,The ICO & Shadow of the Colossus Collection,PS3,2011.0,Sep,27.0,undefined,Sony Computer Entertainment  ,Bluepoint Games  ,9.0,,0.67,0.36,0.13,0.18,1.34,https://www.vgchartz.com/game/47275/the-ico-amp-shadow-of-the-colossus-collection/?region=All,Adventure,Adventure
2016,Donkey Kong Jungle Beat,GC,2005.0,Mar,14.0,undefined,Nintendo  ,Nintendo EAD Tokyo  ,7.9,,0.84,0.22,0.24,0.04,1.34,https://www.vgchartz.com/game/553/donkey-kong-jungle-beat/?region=All,Platform,Platform
2017,Need for Speed Carbon,PS2,2006.0,Oct,31.0,undefined,Electronic Arts  ,EA Black Box  ,7.7,,1.22,0.05,0.05,0.01,1.34,https://www.vgchartz.com/game/3905/need-for-speed-carbon/?region=All,Racing,Racing
2018,Battlefield: Bad Company,PS3,2008.0,Jun,23.0,undefined,Electronic Arts  ,EA Digital Illusions CE  ,8.6,,0.76,0.36,0.05,0.17,1.34,https://www.vgchartz.com/game/14540/battlefield-bad-company/?region=All,Shooter,Shooter
2019,Command & Conquer: Red Alert 2,PC,2000.0,Oct,21.0,undefined,Electronic Arts  ,Westwood Studios  ,8.9,,1.32,0.02,,,1.34,https://www.vgchartz.com/game/6212/command-amp-conquer-red-alert-2/?region=All,Strategy,Strategy
2020,Max Payne 2: The Fall of Max Payne,PS2,2003.0,Dec,2.0,undefined,Rockstar Games  ,Remedy Entertainment  ,6.8,,0.65,0.51,,0.17,1.34,https://www.vgchartz.com/game/5334/max-payne-2-the-fall-of-max-payne/?region=All,Shooter,Shooter
2021,MVP Baseball 2004,PS2,2004.0,Mar,9.0,undefined,Electronic Arts  ,EA Sports  ,,,1.1,0.06,,0.18,1.34,https://www.vgchartz.com/game/5400/mvp-baseball-2004/?region=All,Sports,Sports
2022,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,2004.0,Nov,3.0,undefined,Sony Computer Entertainment  ,Insomniac Games  ,,,1.27,0.05,,0.02,1.33,https://www.vgchartz.com/game/1847/ratchet-amp-clank-up-your-arsenal-weekly-american-sales/?region=All,Platform,Platform
2023,WWE 2K18,PS4,2017.0,Oct,17.0,undefined,2K Sports  ,Yuke's  ,,,0.45,0.67,,0.22,1.33,https://www.vgchartz.com/game/183846/wwe-2k18/?region=All,undefined,Sports
2024,Crysis 2,PS3,2011.0,Mar,22.0,undefined,Electronic Arts  ,Crytek  ,8.8,,0.48,0.57,0.06,0.22,1.33,https://www.vgchartz.com/game/35002/crysis-2/?region=All,Action,Action
2025,Saints Row IV,PS3,2013.0,Aug,20.0,undefined,Deep Silver  ,Volition Inc.  ,,,0.58,0.45,0.09,0.21,1.33,https://www.vgchartz.com/game/71731/saints-row-iv/?region=All,Action,Action
2026,Alan Wake,X360,2010.0,May,18.0,undefined,Microsoft Game Studios  ,Remedy Entertainment  ,8.3,,0.66,0.5,0.05,0.12,1.33,https://www.vgchartz.com/game/13817/alan-wake/?region=All,Action,Action
2027,Spider-Man: The Movie,GBA,2002.0,Apr,16.0,undefined,Activision  ,Digital Eclipse  ,7.9,,0.92,0.35,0.01,0.05,1.33,https://www.vgchartz.com/game/6432/spider-man-the-movie/?region=All,Action,Action
2028,Ni no Kuni: Wrath of the White Witch,PS3,2013.0,Jan,22.0,undefined,Namco Bandai Games  ,Level 5/Studio Ghibli  ,,,0.6,0.51,0.21,0.22,1.54,https://www.vgchartz.com/game/45870/ni-no-kuni-wrath-of-the-white-witch/?region=All,Role-Playing,Role-Playing
2029,Tales of Xillia,PS3,2013.0,Aug,6.0,undefined,Namco Bandai Games  ,Namco Tales Studio  ,,,0.29,0.2,0.67,0.1,1.25,https://www.vgchartz.com/game/48676/tales-of-xillia/?region=All,Role-Playing,Role-Playing
2030,The Sims: Bustin' Out,GBA,2003.0,Dec,2.0,undefined,Electronic Arts  ,Griptonite Games  ,,,0.93,0.35,,0.06,1.33,https://www.vgchartz.com/game/6483/the-sims-bustin-out/?region=All,Simulation,Simulation
2031,Tony Hawk's Pro Skater,GB,2000.0,Feb,29.0,undefined,Activision  ,Natsume  ,7.1,,0.9,0.38,0.01,0.05,1.33,https://www.vgchartz.com/game/6510/tony-hawks-pro-skater/?region=All,Sports,Sports
2032,WWF War Zone,N64,1998.0,Aug,11.0,undefined,Acclaim Entertainment  ,Acclaim Studios Salt Lake City  ,,,1.08,0.24,,0.02,1.33,https://www.vgchartz.com/game/2745/wwf-war-zone/?region=All,Fighting,Fighting
2033,Triple Play 2001,PS,2000.0,Mar,14.0,undefined,EA Sports  ,Treyarch  ,,,0.74,0.5,,0.09,1.33,https://www.vgchartz.com/game/2534/triple-play-2001/?region=All,Sports,Sports
2034,Transistor,PC,2014.0,Apr,1.0,undefined,Unknown  ,Supergiant Games  ,,,,,,,,https://www.vgchartz.com/game/72898/transistor/?region=All,undefined,Role-Playing
2035,Corvette,PS2,2004.0,Mar,9.0,undefined,Global Star Software  ,Steel Monkeys  ,,,0.65,0.51,,0.17,1.33,https://www.vgchartz.com/game/4985/corvette/?region=All,Racing,Racing
2036,Grand Theft Auto: Chinatown Wars,DS,2009.0,Mar,17.0,undefined,Rockstar Games  ,Rockstar Leeds/North  ,9.5,9.6,0.58,0.56,0.05,0.14,1.33,https://www.vgchartz.com/game/24661/grand-theft-auto-chinatown-wars/?region=All,Action,Action
2037,Satisfactory,PC,2019.0,Mar,18.0,undefined,Coffee Stain Studios  ,Coffee Stain Studios  ,,,,,,,,https://www.vgchartz.com/game/224894/satisfactory/?region=All,undefined,Simulation
2038,WWE SmackDown vs Raw 2008,PS3,2007.0,Nov,13.0,undefined,THQ  ,Yuke's Media Creations  ,7.3,,0.62,0.5,0.01,0.2,1.33,https://www.vgchartz.com/game/12783/wwe-smackdown-vs-raw-2008/?region=All,Fighting,Fighting
2039,Skylanders Giants,X360,2012.0,Oct,21.0,undefined,Activision  ,Toys for Bob  ,,,0.76,0.44,,0.12,1.32,https://www.vgchartz.com/game/71073/skylanders-giants/?region=All,Action,Action
2040,UFC Undisputed 2010,X360,2010.0,May,25.0,undefined,THQ  ,Yuke's Future Media Creators  ,8.6,,0.9,0.31,0.0,0.11,1.32,https://www.vgchartz.com/game/41761/ufc-undisputed-2010/?region=All,Fighting,Fighting
2041,Fallout 76,PS4,2018.0,Nov,14.0,undefined,Bethesda Softworks  ,Bethesda Game Studios  ,5.1,,0.52,0.49,0.1,0.2,1.32,https://www.vgchartz.com/game/222026/fallout-76/?region=All,undefined,Role-Playing
2042,Need for Speed Underground Rivals,PSP,2005.0,Mar,14.0,undefined,Electronic Arts  ,Team Fusion  ,7.6,,0.69,0.38,0.02,0.24,1.32,https://www.vgchartz.com/game/1577/need-for-speed-underground-rivals/?region=All,Racing,Racing
2043,Gyromite,NES,1985.0,Oct,18.0,undefined,Nintendo  ,Nintendo R&D1  ,,,0.73,0.16,0.4,0.03,1.32,https://www.vgchartz.com/game/6285/gyromite/?region=All,Puzzle,Puzzle
2044,TOCA 2 Touring Car Championship,PS,1999.0,Oct,31.0,undefined,Codemasters  ,Codemasters  ,,,0.03,1.16,0.02,0.11,1.32,https://www.vgchartz.com/game/6500/toca-2-touring-car-championship/?region=All,undefined,Racing
2045,Xenoblade Chronicles: Definitive Edition,NS,2020.0,May,29.0,undefined,Nintendo  ,Monolith Soft  ,,,,,,,,https://www.vgchartz.com/game/225741/xenoblade-chronicles-definitive-edition/?region=All,undefined,Role-Playing
2046,Petz Wild Animals: Dolphinz,DS,2007.0,Oct,16.0,undefined,Ubisoft  ,Magic Pockets  ,,,0.71,0.48,,0.13,1.32,https://www.vgchartz.com/game/18135/petz-wild-animals-dolphinz/?region=All,Simulation,Simulation
2047,MAG: Massive Action Game,PS3,2010.0,Jan,26.0,undefined,Sony Computer Entertainment  ,Zipper Interactive  ,7.4,9.5,0.77,0.3,0.09,0.16,1.32,https://www.vgchartz.com/game/35119/mag-massive-action-game/?region=All,Shooter,Shooter
2048,NFL 2K3,PS2,2002.0,Aug,12.0,undefined,Sega  ,Visual Concepts  ,,,1.06,0.08,,0.18,1.32,https://www.vgchartz.com/game/5498/nfl-2k3/?region=All,Sports,Sports
2049,Fighting Force,PS,1997.0,Oct,31.0,undefined,Eidos Interactive  ,Core Design Ltd.  ,,,0.73,0.5,,0.09,1.32,https://www.vgchartz.com/game/745/fighting-force/?region=All,Fighting,Fighting
2050,Geometry Dash,PC,,,,undefined,Unknown  ,RobTop Games  ,,,,,,,,https://www.vgchartz.com/game/223391/geometry-dash/?region=All,undefined,Action
2051,Resident Evil 6,PC,2013.0,Mar,22.0,undefined,Capcom  ,Capcom  ,,,,0.04,,0.0,0.04,https://www.vgchartz.com/game/71385/resident-evil-6/?region=All,Shooter,Shooter
2052,Madden NFL 97,PS,1996.0,Aug,31.0,undefined,EA Sports  ,EA Tiburon  ,,,0.73,0.5,,0.09,1.32,https://www.vgchartz.com/game/1227/madden-nfl-97/?region=All,Sports,Sports
2053,Rage,PS3,2011.0,Oct,4.0,undefined,Bethesda Softworks  ,id Software  ,7.9,,0.47,0.59,0.06,0.2,1.32,https://www.vgchartz.com/game/25459/rage/?region=All,Shooter,Shooter
2054,The LEGO Movie Videogame,X360,2014.0,Feb,7.0,undefined,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,0.69,0.51,,0.11,1.32,https://www.vgchartz.com/game/74477/the-lego-movie-videogame/?region=All,Action,Action
2055,TNN Motor Sports Hardcore 4x4,PS,1996.0,Nov,30.0,undefined,ASC Games  ,Gremlin Interactive  ,,,0.73,0.5,,0.09,1.31,https://www.vgchartz.com/game/44438/tnn-motor-sports-hardcore-4x4/?region=All,Racing,Racing
2056,FIFA 14,XOne,2013.0,Nov,22.0,undefined,EA Sports  ,EA Canada  ,,,0.44,0.78,,0.1,1.31,https://www.vgchartz.com/game/72224/fifa-14/?region=All,Sports,Sports
2057,Thief,PC,2014.0,Feb,25.0,undefined,Square Enix  ,Eidos Montreal  ,,,0.0,0.1,,0.01,0.11,https://www.vgchartz.com/game/34461/thief/?region=All,undefined,Action
2058,IHRA Drag Racing 2,PS2,2002.0,Dec,9.0,undefined,Bethesda Softworks  ,Bethesda Softworks  ,,,0.64,0.5,,0.17,1.31,https://www.vgchartz.com/game/1014/ihra-drag-racing-2/?region=All,Racing,Racing
2059,Lego Star Wars: The Force Awakens,PS4,2016.0,Jun,28.0,undefined,Warner Bros. Interactive Entertainment  ,TT Fusion  ,,,0.3,0.78,0.02,0.2,1.31,https://www.vgchartz.com/game/86457/lego-star-wars-the-force-awakens/?region=All,Action,Action
2060,Nintendo Labo: Toy-Con 01 Variety Kit,NS,2018.0,Apr,20.0,undefined,Nintendo  ,Nintendo EPD  ,7.7,,0.44,0.34,0.27,0.07,1.12,https://www.vgchartz.com/game/220877/nintendo-labo-toy-con-01-variety-kit/?region=All,undefined,Misc
2061,Madagascar,PS2,2005.0,May,23.0,undefined,Activision  ,Toys for Bob  ,6.4,,0.78,0.45,,0.07,1.31,https://www.vgchartz.com/game/5284/madagascar/?region=All,Platform,Platform
2062,Rugrats Studio Tour,PS,1999.0,Nov,10.0,undefined,THQ  ,n-Space  ,,,0.57,0.67,,0.07,1.31,https://www.vgchartz.com/game/6411/rugrats-studio-tour/?region=All,Adventure,Adventure
2063,LEGO Batman: The Videogame,PS3,2008.0,Sep,23.0,undefined,Warner Bros. Interactive  ,Traveller's Tales  ,7.2,,0.72,0.39,,0.19,1.31,https://www.vgchartz.com/game/13866/lego-batman-the-videogame/?region=All,Action,Action
2064,Pitfall II: Lost Caverns,2600,1983.0,Sep,16.0,undefined,Activision  ,Activision  ,,,1.22,0.07,,0.02,1.31,https://www.vgchartz.com/game/19600/pitfall-ii-lost-caverns/?region=All,Platform,Platform
