Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
16196,Zombi Daisuki,DS,2011.0,Jan,20.0,undefined,ChunSoft  ,ChunSoft  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/48167/zombi-daisuki/?region=All,Action,Action
16197,Myth Makers: Trixie in Toyland,Wii,2008.0,Jun,24.0,undefined,Conspiracy Entertainment  ,Data Design Interactive  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/22265/myth-makers-trixie-in-toyland/?region=All,Platform,Platform
16198,Sea Monsters: A Prehistoric Adventure,Wii,2007.0,Dec,27.0,undefined,DSI Games  ,Atomic Planet Entertainment  ,,,0.04,0.0,,0.0,0.04,https://www.vgchartz.com/game/24503/sea-monsters-a-prehistoric-adventure/?region=All,Adventure,Adventure
16199,Secret Files: Tunguska,PC,2006.0,Oct,30.0,undefined,The Adventure Company  ,Fusionsphere Systems / Animation Arts  ,,,,0.04,,0.0,0.04,https://www.vgchartz.com/game/21705/secret-files-tunguska/?region=All,Adventure,Adventure
16200,Praetorians,PC,2003.0,Mar,10.0,undefined,Eidos Interactive  ,Pyro Studios  ,,,,0.04,,0.0,0.04,https://www.vgchartz.com/game/36453/praetorians/?region=All,Strategy,Strategy
16201,The Monkey King: The Legend Begins,Wii,2008.0,May,27.0,undefined,UFO Interactive  ,Starfish  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/22044/the-monkey-king-the-legend-begins/?region=All,Shooter,Shooter
16202,Diabolik Lovers: Lunatic Parade,PSV,2016.0,Feb,25.0,undefined,Idea Factory  ,Unknown  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/93922/diabolik-lovers-lunatic-parade/?region=All,Adventure,Adventure
16203,"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",DS,2006.0,Oct,26.0,undefined,Marvelous Interactive  ,Marvelous Interactive  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/3911/negima-chou-mahora-taisen-kattoiin-keiyaku-shikkou-dechai-masuu/?region=All,Adventure,Adventure
16204,Valkyria Revolution,XOne,2017.0,Jun,27.0,undefined,Sega  ,Media.Vision  ,,,0.04,,,0.0,0.04,https://www.vgchartz.com/game/153594/valkyria-revolution/?region=All,undefined,Role-Playing
16205,Idol Time PriPara: Yume All-Star Live!,3DS,2017.0,Oct,26.0,undefined,Takara Tomy   ,Takara Tomy  ,,,,,0.04,,0.04,https://www.vgchartz.com/game/217175/idol-time-pripara-yume-all-star-live/?region=All,undefined,Misc
16206,Nike+ Kinect Training,X360,2012.0,Oct,30.0,undefined,Microsoft Studios  ,Sumo Digital  ,,,0.02,0.01,,0.0,0.04,https://www.vgchartz.com/game/72333/nike-kinect-training/?region=All,Sports,Sports
16207,The Invincible Iron Man,GBA,2002.0,Dec,15.0,undefined,Activision  ,Torus Games Pty. Ltd.  ,6.4,,0.03,0.01,,0.0,0.04,https://www.vgchartz.com/game/25442/the-invincible-iron-man/?region=All,Action,Action
16208,Dance Dance Revolution Disney Mix,PS,2001.0,Sep,17.0,undefined,Konami  ,KCE Tokyo Inc  ,,,0.02,0.02,,0.0,0.04,https://www.vgchartz.com/game/36712/dance-dance-revolution-disney-mix/?region=All,Simulation,Simulation
16209,NASCAR 07,XB,2006.0,Sep,6.0,undefined,EA Sports  ,EA Tiburon  ,,,0.03,0.01,,0.0,0.04,https://www.vgchartz.com/game/1488/nascar-07/?region=All,Racing,Racing
