Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
12001,Bleed,PC,2013.0,Jul,3.0,undefined,Bootdisk Revolution  ,Bootdisk Revolution  ,,,,,,,,https://www.vgchartz.com/game/222739/bleed/?region=All,undefined,Action
12002,Major League Baseball 2K6,PSP,2006.0,Apr,13.0,undefined,2K Sports  ,Visual Concepts  ,7.4,,0.11,,,0.01,0.12,https://www.vgchartz.com/game/5314/major-league-baseball-2k6/?region=All,Sports,Sports
12003,Hacker Evolution Duality,PC,2011.0,Aug,15.0,undefined,exoSyphen Studios  ,exoSyphen Studios  ,,,,,,,,https://www.vgchartz.com/game/52246/hacker-evolution-duality/?region=All,undefined,Strategy
12004,Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,2010.0,Jan,21.0,undefined,Namco Bandai  ,WitchCraft  ,,,,,0.12,,0.12,https://www.vgchartz.com/game/37246/mahou-shoujo-lyrical-nanoha-as-portable-the-battle-of-aces/?region=All,Shooter,Shooter
12005,Bloody Good Time,PC,2010.0,Oct,27.0,undefined,Ubisoft  ,Outerlight  ,5.0,,,,,,,https://www.vgchartz.com/game/47102/bloody-good-time/?region=All,undefined,Shooter
12006,"Ed, Edd n Eddy: The Mis-Edventures",GBA,2005.0,Nov,3.0,undefined,Midway Games  ,A2M  ,,,0.08,0.03,,0.0,0.12,https://www.vgchartz.com/game/26809/ed-edd-n-eddy-the-mis-edventures/?region=All,Platform,Platform
12007,Onimusha: Blade Warriors,PS2,2004.0,Mar,24.0,undefined,Capcom  ,Capcom  ,,,0.06,0.05,,0.02,0.12,https://www.vgchartz.com/game/1678/onimusha-blade-warriors/?region=All,Fighting,Fighting
12008,Skate City Heroes,Wii,2008.0,Nov,24.0,undefined,Zoo Digital Publishing  ,Zeroscale  ,,,0.11,0.0,,0.01,0.12,https://www.vgchartz.com/game/25838/skate-city-heroes/?region=All,Sports,Sports
12009,Disney's Extreme Skate Adventure,GC,2003.0,Sep,4.0,undefined,Activision  ,Toys for Bob  ,7.4,,0.09,0.02,,0.0,0.12,https://www.vgchartz.com/game/538/disneys-extreme-skate-adventure/?region=All,Sports,Sports
12010,Akuji the Heartless,PS,1998.0,Dec,31.0,undefined,Eidos Interactive  ,Crystal Dynamics  ,6.7,,0.07,0.04,,0.01,0.12,https://www.vgchartz.com/game/41659/akuji-the-heartless/?region=All,Platform,Platform
