Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
5011,Taiko no Tatsujin: Appare Sandaime,PS2,2003.0,Oct,30.0,undefined,Namco  ,Namco  ,,,,,0.49,,0.49,https://www.vgchartz.com/game/4495/taiko-no-tatsujin-appare-sandaime/?region=All,Misc,Misc
5012,F1 2012,X360,2012.0,Sep,18.0,undefined,Codemasters  ,Codemasters Birmingham  ,8.5,,0.1,0.34,,0.05,0.49,https://www.vgchartz.com/game/70928/f1-2012/?region=All,Racing,Racing
5013,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016.0,Jun,24.0,undefined,Nintendo  ,Sega Sports R&D  ,,,0.1,0.23,0.13,0.03,0.49,https://www.vgchartz.com/game/86398/mario-amp-sonic-at-the-rio-2016-olympic-games/?region=All,Action,Action
5014,One Piece: Grand Battle!,PS,2003.0,Jan,1.0,undefined,Atari  ,Bandai  ,,,,,0.46,0.03,0.49,https://www.vgchartz.com/game/3355/one-piece-grand-battle/?region=All,Fighting,Fighting
5015,Transformers: Revenge of the Fallen,PS2,2009.0,Jun,23.0,undefined,Activision  ,Krome Studios  ,,,0.25,0.01,,0.22,0.49,https://www.vgchartz.com/game/31411/transformers-revenge-of-the-fallen/?region=All,undefined,Action
5016,Dragon Ball Z: Burst Limit,X360,2008.0,Jun,10.0,undefined,Atari  ,Dimps Corporation  ,7.3,,0.24,0.18,0.03,0.05,0.49,https://www.vgchartz.com/game/21417/dragon-ball-z-burst-limit/?region=All,Fighting,Fighting
5017,Worms: Ultimate Mayhem,PC,2011.0,Sep,28.0,undefined,Unknown  ,Team17 Software  ,,,,0.04,,0.0,0.04,https://www.vgchartz.com/game/51570/worms-ultimate-mayhem/?region=All,Strategy,Strategy
5018,Crazy Taxi,GC,2001.0,Nov,17.0,undefined,Acclaim Entertainment  ,Hitmaker  ,7.2,,0.36,0.09,0.02,0.01,0.49,https://www.vgchartz.com/game/417/crazy-taxi/?region=All,Racing,Racing
5019,Spy Hunter 2,PS2,2003.0,Nov,20.0,undefined,Midway Games  ,Angel Studios  ,,,0.24,0.19,,0.06,0.49,https://www.vgchartz.com/game/5747/spy-hunter-2/?region=All,Racing,Racing
5020,Art Academy: Lessons for Everyone!,3DS,2012.0,Oct,1.0,undefined,Nintendo  ,Headstrong Games  ,8.0,,0.2,0.05,0.21,0.02,0.49,https://www.vgchartz.com/game/70875/art-academy-lessons-for-everyone/?region=All,undefined,Misc
5021,FIFA Soccer 09,DS,2008.0,Oct,14.0,undefined,Electronic Arts  ,Exient Ltd.  ,,,0.12,0.31,,0.06,0.49,https://www.vgchartz.com/game/25798/fifa-soccer-09/?region=All,Sports,Sports
5022,Medal of Honor,PC,2010.0,Oct,12.0,undefined,Electronic Arts  ,EA Los Angeles  ,,,0.2,0.23,,0.06,0.49,https://www.vgchartz.com/game/41327/medal-of-honor/?region=All,Shooter,Shooter
5023,Pac-Man World 2,XB,2002.0,Oct,15.0,undefined,Namco  ,Namco  ,,,0.36,0.11,,0.02,0.49,https://www.vgchartz.com/game/5571/pac-man-world-2/?region=All,Action,Action
5024,Die Hard Trilogy 2: Viva Las Vegas,PS,2000.0,Feb,29.0,undefined,Fox Interactive  ,n-Space  ,,,0.27,0.18,,0.03,0.49,https://www.vgchartz.com/game/29039/die-hard-trilogy-2-viva-las-vegas/?region=All,Action,Action
5025,DiRT 4,PS4,2017.0,Jun,6.0,undefined,Deep Silver  ,Codemasters  ,,,0.1,0.3,0.02,0.07,0.49,https://www.vgchartz.com/game/158226/dirt-4/?region=All,undefined,Racing
5026,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001.0,Dec,13.0,undefined,Hudson Soft  ,Hudson Soft  ,,,,,0.49,,0.49,https://www.vgchartz.com/game/3818/momotarou-dentetsu-x-kyuushuu-hen-mo-arubai/?region=All,Misc,Misc
5027,Hyrule Warriors Legends,3DS,2016.0,Mar,25.0,undefined,Nintendo  ,Omega Force  ,,,0.17,0.16,0.12,0.03,0.49,https://www.vgchartz.com/game/85766/hyrule-warriors-legends/?region=All,undefined,Action
5028,Dark Souls: Remastered,PS4,2018.0,May,25.0,undefined,Bandai Namco Entertainment  ,From Software  ,,,0.13,0.16,0.14,0.06,0.49,https://www.vgchartz.com/game/220636/dark-souls-remastered/?region=All,undefined,Role-Playing
5029,Styx: Master of Shadows,PC,2014.0,Oct,7.0,undefined,Focus Home Interactive  ,Cyanide Studios  ,,,,,,,,https://www.vgchartz.com/game/78456/styx-master-of-shadows/?region=All,undefined,Action
5030,Sniper Elite: Nazi Zombie Army 2,PC,,,,undefined,Unknown  ,Rebellion Games  ,,,,,,,,https://www.vgchartz.com/game/223466/sniper-elite-nazi-zombie-army-2/?region=All,undefined,Shooter
5031,Tales of Legendia,PS2,2006.0,Feb,7.0,undefined,Namco  ,Namco / Team MelFes  ,7.2,8.5,0.07,0.05,0.35,0.02,0.49,https://www.vgchartz.com/game/2323/tales-of-legendia/?region=All,Role-Playing,Role-Playing
5032,SimCity 2000,SNES,1996.0,Nov,1.0,undefined,Black Pearl  ,HAL Laboratory  ,,,,,0.49,0.0,0.49,https://www.vgchartz.com/game/4320/simcity-2000/?region=All,Simulation,Simulation
5033,Sniper: Art of Victory,PC,2008.0,Oct,16.0,undefined,City Interactive  ,City Interactive  ,,,,0.45,,0.03,0.49,https://www.vgchartz.com/game/26650/sniper-art-of-victory/?region=All,Shooter,Shooter
5034,Alone in the Dark,X360,2008.0,Jun,23.0,undefined,Atari  ,Eden Studios  ,6.3,,0.14,0.3,0.0,0.05,0.49,https://www.vgchartz.com/game/15668/alone-in-the-dark/?region=All,Adventure,Adventure
5035,Football Manager Handheld 2009,PSP,2008.0,Nov,14.0,undefined,Sega  ,Sports Interactive  ,,,,0.47,,0.02,0.48,https://www.vgchartz.com/game/28307/football-manager-handheld-2009/?region=All,Sports,Sports
5036,Cars 2,X360,2011.0,Jun,21.0,undefined,Disney Interactive Studios  ,Avalanche Software  ,7.5,,0.28,0.15,,0.05,0.48,https://www.vgchartz.com/game/50217/cars-2/?region=All,Racing,Racing
5037,Shrek the Third,PS2,2007.0,May,15.0,undefined,Activision  ,Amaze Entertainment  ,,,0.4,0.02,,0.07,0.48,https://www.vgchartz.com/game/6119/shrek-the-third/?region=All,Action,Action
5038,Madagascar: Operation Penguin,GBA,2005.0,Nov,7.0,undefined,Activision  ,Vicarious Visions  ,,,0.35,0.13,,0.01,0.48,https://www.vgchartz.com/game/27294/madagascar-operation-penguin/?region=All,Action,Action
5039,The Swapper,PC,2013.0,May,30.0,undefined,Facepalm Games  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/71785/the-swapper/?region=All,undefined,Misc
5040,Need for Speed: Porsche Unleashed,GBA,2004.0,Mar,15.0,undefined,"Destination Software, Inc  ",Pocketeers  ,,,0.35,0.13,,0.01,0.48,https://www.vgchartz.com/game/26971/need-for-speed-porsche-unleashed/?region=All,Racing,Racing
5041,Yu-Gi-Oh! Forbidden Memories (JP sales),PS,2002.0,Mar,20.0,undefined,Konami  ,KCEJ  ,6.3,,,,0.45,0.03,0.48,https://www.vgchartz.com/game/4779/yu-gi-oh-forbidden-memories-jp-sales/?region=All,Role-Playing,Role-Playing
5042,Ultimate I Spy,Wii,2008.0,Oct,29.0,undefined,Scholastic Inc.  ,Scholastic Interactive  ,,,0.45,0.0,,0.03,0.48,https://www.vgchartz.com/game/25772/ultimate-i-spy/?region=All,Adventure,Adventure
5043,NFL Street 2,XB,2004.0,Dec,22.0,undefined,EA Sports BIG   ,EA Tiburon  ,,,0.36,0.11,,0.02,0.48,https://www.vgchartz.com/game/1610/nfl-street-2/?region=All,Sports,Sports
5044,Millipede,2600,1984.0,Jan,1.0,undefined,Atari  ,Atari  ,,,0.45,0.03,,0.01,0.48,https://www.vgchartz.com/game/20344/millipede/?region=All,Shooter,Shooter
5045,Street Fighter X Tekken,X360,2012.0,Mar,6.0,undefined,Capcom  ,Capcom  ,,,0.32,0.1,0.03,0.04,0.48,https://www.vgchartz.com/game/46397/street-fighter-x-tekken/?region=All,Fighting,Fighting
5046,The Legend of the Mystical Ninja,SNES,1992.0,Feb,1.0,undefined,Konami  ,Konami  ,,,,,0.48,,0.48,https://www.vgchartz.com/game/3392/the-legend-of-the-mystical-ninja/?region=All,Adventure,Adventure
5047,Farpoint,PS4,2017.0,May,16.0,undefined,Sony Interactive Entertainment  ,Impulse Gear  ,,,,0.38,0.04,0.06,0.48,https://www.vgchartz.com/game/161011/farpoint/?region=All,undefined,Shooter
5048,X3: Terran Conflict,PC,2009.0,Mar,31.0,undefined,Atari  ,Egosoft  ,,,,0.02,,0.0,0.03,https://www.vgchartz.com/game/33299/x3-terran-conflict/?region=All,Simulation,Simulation
5049,Atelier Rorona: Alchemist of Arland,PS3,2014.0,Jun,24.0,undefined,NIS America  ,Gust  ,6.4,,0.22,0.1,0.11,0.05,0.48,https://www.vgchartz.com/game/36069/atelier-rorona-alchemist-of-arland/?region=All,Role-Playing,Role-Playing
5050,Jeopardy!,PS2,2003.0,Oct,28.0,undefined,Atari  ,Atari  ,,,0.24,0.18,,0.06,0.48,https://www.vgchartz.com/game/1067/jeopardy/?region=All,Misc,Misc
5051,LEGO Marvel's Avengers,XOne,2016.0,Jan,26.0,undefined,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.26,0.18,,0.04,0.48,https://www.vgchartz.com/game/85100/lego-marvels-avengers/?region=All,Action,Action
5052,Destroy All Humans! 2,PS2,2006.0,Oct,17.0,undefined,THQ  ,Pandemic Studios  ,,,0.4,0.02,,0.07,0.48,https://www.vgchartz.com/game/5014/destroy-all-humans-2/?region=All,Action,Action
5053,Pinball Hall of Fame: The Williams Collection,Wii,2008.0,Feb,26.0,undefined,Crave Entertainment  ,FarSight Studios  ,,,0.42,0.03,,0.04,0.48,https://www.vgchartz.com/game/18394/pinball-hall-of-fame-the-williams-collection/?region=All,Misc,Misc
5054,WWE 2K19,XOne,2018.0,Oct,9.0,undefined,2K Sports  ,Visual Concepts  ,,,0.3,0.14,,0.04,0.48,https://www.vgchartz.com/game/222226/wwe-2k19/?region=All,undefined,Fighting
5055,Lollipop Chainsaw,X360,2012.0,Jun,12.0,undefined,Warner Bros. Interactive Entertainment  ,Grasshopper Manufacture  ,,,0.31,0.12,0.02,0.04,0.48,https://www.vgchartz.com/game/53559/lollipop-chainsaw/?region=All,Action,Action
5056,ECW Hardcore Revolution,PS,2000.0,Jan,31.0,undefined,Acclaim Entertainment  ,Acclaim  ,,,0.27,0.18,,0.03,0.48,https://www.vgchartz.com/game/626/ecw-hardcore-revolution/?region=All,Fighting,Fighting
5057,Bionic Commando,PS3,2009.0,May,19.0,undefined,Capcom  ,GRIN  ,7.0,,0.12,0.17,0.01,0.06,0.36,https://www.vgchartz.com/game/13804/bionic-commando/?region=All,Platform,Platform
5058,You're in the Movies,X360,2008.0,Nov,17.0,undefined,Microsoft  ,Zoe Mode  ,5.1,,0.27,0.17,,0.05,0.48,https://www.vgchartz.com/game/25239/youre-in-the-movies/?region=All,Misc,Misc
5059,Fortune Street,Wii,2011.0,Dec,5.0,undefined,Nintendo  ,Square Enix  ,,,0.25,0.03,0.17,0.03,0.48,https://www.vgchartz.com/game/51844/fortune-street/?region=All,Misc,Misc
5060,Scene It? Lights Camera Action,X360,2007.0,Nov,6.0,undefined,Microsoft Game Studios  ,WXP / Screenlife Games  ,,,0.43,0.01,,0.04,0.48,https://www.vgchartz.com/game/12615/scene-it-lights-camera-action/?region=All,Misc,Misc
5061,Battleborn,PS4,2016.0,May,3.0,undefined,2K Games  ,Gearbox Software  ,,,0.25,0.12,0.03,0.08,0.48,https://www.vgchartz.com/game/83645/battleborn/?region=All,Shooter,Shooter
5062,Bass Pro Shops: The Strike,Wii,2009.0,Sep,29.0,undefined,XS Games  ,Griffin International  ,,,0.44,,,0.04,0.48,https://www.vgchartz.com/game/38064/bass-pro-shops-the-strike/?region=All,Sports,Sports
5063,Dark Sector,X360,2008.0,Mar,25.0,undefined,D3 Publisher  ,Digital Extremes  ,7.1,,0.22,0.2,0.01,0.05,0.48,https://www.vgchartz.com/game/14178/dark-sector/?region=All,Shooter,Shooter
5064,Jurassic World Evolution,PC,2018.0,Jul,3.0,undefined,Frontier Developments  ,Frontier Developments  ,,,,,,,,https://www.vgchartz.com/game/221892/jurassic-world-evolution/?region=All,undefined,Simulation
5065,Zoo Tycoon (2013),XOne,2013.0,Nov,22.0,undefined,Microsoft Studios  ,Frontier Developments  ,,,0.25,0.18,,0.04,0.48,https://www.vgchartz.com/game/75274/zoo-tycoon-2013/?region=All,Simulation,Simulation
5066,Tiger Woods PGA Tour 07,X360,2006.0,Oct,17.0,undefined,EA Sports  ,EA Redwood Shores  ,8.2,,0.44,0.0,,0.04,0.48,https://www.vgchartz.com/game/5876/tiger-woods-pga-tour-07/?region=All,Sports,Sports
5067,Far Cry 2,PC,2008.0,Oct,21.0,undefined,Ubisoft  ,Ubisoft Montreal  ,8.4,,0.01,0.45,,0.02,0.48,https://www.vgchartz.com/game/7430/far-cry-2/?region=All,Action,Action
5068,Wu-Tang: Shaolin Style,PS,1999.0,Oct,31.0,undefined,Activision  ,Paradox Development  ,,,0.27,0.18,,0.03,0.48,https://www.vgchartz.com/game/24834/wu-tang-shaolin-style/?region=All,Fighting,Fighting
5069,Transformers: Revenge of the Fallen,Wii,2009.0,Jun,23.0,undefined,Activision  ,Krome Studios  ,,,0.24,0.2,,0.05,0.48,https://www.vgchartz.com/game/31410/transformers-revenge-of-the-fallen/?region=All,undefined,Action
5070,A Way Out,PS4,2018.0,Mar,23.0,undefined,Electronic Arts  ,Hazelight  ,7.5,,0.23,0.16,,0.08,0.48,https://www.vgchartz.com/game/181294/a-way-out/?region=All,undefined,Action
5071,The Saboteur,PS3,2009.0,Dec,8.0,undefined,Electronic Arts  ,Pandemic Studios  ,7.1,,0.2,0.21,,0.07,0.48,https://www.vgchartz.com/game/41784/the-saboteur/?region=All,Action,Action
5072,Crash of the Titans,DS,2007.0,Oct,25.0,undefined,Sierra Entertainment  ,Amaze Entertainment  ,,,0.42,0.02,,0.04,0.48,https://www.vgchartz.com/game/7558/crash-of-the-titans/?region=All,Action,Action
5073,Disney Epic Mickey 2: The Power of Two,PS3,2012.0,Nov,18.0,undefined,Disney Interactive Studios  ,Junction Point Studios  ,,,0.21,0.19,,0.08,0.48,https://www.vgchartz.com/game/70665/disney-epic-mickey-2-the-power-of-two/?region=All,undefined,Platform
5074,Secret Weapons Over Normandy,PS2,2003.0,Nov,18.0,undefined,LucasArts  ,Totally Games  ,,,0.24,0.18,,0.06,0.48,https://www.vgchartz.com/game/5677/secret-weapons-over-normandy/?region=All,Simulation,Simulation
5075,Scrabble 2007 Edition,DS,2007.0,Oct,4.0,undefined,Ubisoft  ,WizarBox  ,,,,0.48,,0.0,0.48,https://www.vgchartz.com/game/13615/scrabble-2007-edition/?region=All,Puzzle,Puzzle
5076,All-Star Baseball 99,N64,1998.0,Apr,30.0,undefined,Acclaim Entertainment  ,Iguana Entertainment  ,,,0.44,0.04,,0.0,0.48,https://www.vgchartz.com/game/58/all-star-baseball-99/?region=All,Sports,Sports
5077,Harvest Moon 64,N64,1999.0,Nov,30.0,undefined,Natsume  ,Toy Box Studios  ,7.8,,0.25,0.06,0.11,0.06,0.48,https://www.vgchartz.com/game/957/harvest-moon-64/?region=All,Simulation,Simulation
5078,Kouchuu Ouja Mushi King,GBA,2005.0,Jun,23.0,undefined,Sega  ,Sega  ,,,,,0.7,0.02,0.72,https://www.vgchartz.com/game/3857/kouchuu-ouja-mushi-king/?region=All,Action,Action
5079,NCAA Football 09,PS2,2008.0,Jul,15.0,undefined,EA Sports  ,EA Tiburon  ,,,0.4,0.02,,0.07,0.48,https://www.vgchartz.com/game/17669/ncaa-football-09/?region=All,Sports,Sports
5080,Rayman Raving Rabbids: TV Party,DS,2008.0,Nov,18.0,undefined,Ubisoft  ,Ubisoft Casablanca  ,,,0.44,0.01,,0.04,0.48,https://www.vgchartz.com/game/29435/rayman-raving-rabbids-tv-party/?region=All,Misc,Misc
5081,Bratz: The Movie,PS2,2007.0,Sep,25.0,undefined,THQ  ,Blitz Games  ,,,0.24,0.18,,0.06,0.48,https://www.vgchartz.com/game/7515/bratz-the-movie/?region=All,Simulation,Simulation
5082,Friday the 13th: The Game,PS4,2017.0,Oct,13.0,undefined,Gun Media  ,IllFonic  ,,,0.29,0.09,0.03,0.08,0.48,https://www.vgchartz.com/game/193507/friday-the-13th-the-game/?region=All,undefined,Action
5083,Steep,XOne,2016.0,Dec,2.0,undefined,Ubisoft  ,Ubisoft Annecy  ,,,0.24,0.2,,0.04,0.48,https://www.vgchartz.com/game/120139/steep/?region=All,undefined,Sports
5084,Batman: Arkham Origins Blackgate,PSV,2013.0,Oct,25.0,undefined,Warner Bros. Interactive Entertainment  ,Armature Studio  ,,,0.16,0.21,,0.11,0.48,https://www.vgchartz.com/game/71967/batman-arkham-origins-blackgate/?region=All,Action,Action
5085,Vigilante 8: 2nd Offense,PS,1999.0,Oct,31.0,undefined,Activision  ,"Luxoflux, Inc.  ",,,0.27,0.18,,0.03,0.48,https://www.vgchartz.com/game/25181/vigilante-8-2nd-offense/?region=All,Racing,Racing
5086,Crazy Taxi: Fare Wars,PSP,2007.0,Aug,7.0,undefined,Sega  ,Sniper Studios  ,6.3,,0.1,0.23,0.02,0.13,0.48,https://www.vgchartz.com/game/7152/crazy-taxi-fare-wars/?region=All,Racing,Racing
5087,Sonic Lost World,3DS,2013.0,Oct,29.0,undefined,Sega  ,Dimps Corporation  ,5.2,,0.22,0.15,0.07,0.04,0.48,https://www.vgchartz.com/game/72211/sonic-lost-world/?region=All,Platform,Platform
5088,Theme Park Roller Coaster,PS2,2000.0,Dec,4.0,undefined,Electronic Arts  ,Bullfrog Productions  ,7.9,,0.23,0.18,,0.06,0.48,https://www.vgchartz.com/game/12932/theme-park-roller-coaster/?region=All,Strategy,Strategy
5089,Thief,XOne,2014.0,Feb,25.0,undefined,Square Enix  ,Eidos Montreal  ,,,0.26,0.17,,0.04,0.48,https://www.vgchartz.com/game/71737/thief/?region=All,undefined,Action
5090,The Walking Dead: A Telltale Games Series,PS4,2014.0,Oct,14.0,undefined,Telltale Games  ,Telltale Games  ,,,0.12,0.26,0.03,0.07,0.48,https://www.vgchartz.com/game/77738/the-walking-dead-a-telltale-games-series/?region=All,undefined,Adventure
5091,Alice in Wonderland,DS,2010.0,Mar,2.0,undefined,Disney Interactive Studios  ,Etranges Libellules  ,7.0,,0.25,0.18,,0.05,0.48,https://www.vgchartz.com/game/36771/alice-in-wonderland/?region=All,Adventure,Adventure
5092,NFL Xtreme 2,PS,1999.0,Jun,30.0,undefined,989 Studios  ,989 Sports  ,,,0.27,0.18,,0.03,0.48,https://www.vgchartz.com/game/1614/nfl-xtreme-2/?region=All,Sports,Sports
5093,Doom 3 BFG Edition,X360,2012.0,Oct,16.0,undefined,Bethesda Softworks  ,id Software  ,,,0.28,0.15,,0.04,0.48,https://www.vgchartz.com/game/71021/doom-3-bfg-edition/?region=All,Shooter,Shooter
5094,Midnight Club: Street Racing,GBA,2001.0,Nov,14.0,undefined,"Destination Software, Inc  ",Angel Studios  ,,,0.34,0.13,,0.01,0.48,https://www.vgchartz.com/game/12274/midnight-club-street-racing/?region=All,Racing,Racing
5095,Tom Clancy's The Division,PC,2016.0,Mar,8.0,undefined,Ubisoft  ,Massive Entertainment  ,,,0.26,0.18,,0.04,0.48,https://www.vgchartz.com/game/83957/tom-clancys-the-division/?region=All,Shooter,Shooter
5096,Bad Rats: The Rats' Revenge,PC,2009.0,Jul,20.0,undefined,Invent4 Entertainment  ,Invent4 Entertainment  ,,,,,,,,https://www.vgchartz.com/game/36690/bad-rats-the-rats-revenge/?region=All,undefined,Puzzle
5097,Euro Truck Simulator,PC,2013.0,Mar,8.0,undefined,SCS Software  ,SCS Software  ,,,,0.43,,0.04,0.48,https://www.vgchartz.com/game/35552/euro-truck-simulator/?region=All,Simulation,Simulation
5098,Tiger Woods PGA Tour 06,XB,2005.0,Sep,20.0,undefined,EA Sports  ,EA Sports  ,,,0.35,0.11,,0.02,0.48,https://www.vgchartz.com/game/2428/tiger-woods-pga-tour-06/?region=All,Sports,Sports
5099,Galactic Civilizations III,PC,2015.0,May,14.0,undefined,Stardock  ,Stardock  ,,,,0.01,,0.0,0.01,https://www.vgchartz.com/game/80577/galactic-civilizations-iii/?region=All,undefined,Strategy
5100,Go Diego Go! Great Dinosaur Rescue,DS,2008.0,Oct,27.0,undefined,2K Play  ,Black Lantern Studios  ,,,0.43,0.01,,0.03,0.48,https://www.vgchartz.com/game/28559/go-diego-go-great-dinosaur-rescue/?region=All,Action,Action
5101,Ace Combat X: Skies of Deception,PSP,2006.0,Oct,23.0,undefined,Namco Bandai  ,Bandai Namco Games  ,7.6,,0.37,0.31,0.12,0.19,1.0,https://www.vgchartz.com/game/25/ace-combat-x-skies-of-deception/?region=All,Simulation,Simulation
5102,Children of Mana,DS,2006.0,Nov,1.0,undefined,Nintendo  ,Next Entertainment  ,7.0,,0.16,0.01,0.29,0.01,0.48,https://www.vgchartz.com/game/4273/children-of-mana/?region=All,Role-Playing,Role-Playing
5103,FIFA World Cup Germany 2006,X360,2006.0,Apr,24.0,undefined,EA Sports  ,EA Canada  ,7.8,,0.19,0.27,0.01,,0.48,https://www.vgchartz.com/game/5101/fifa-world-cup-germany-2006/?region=All,Sports,Sports
5104,Up,PS2,2009.0,May,26.0,undefined,THQ  ,THQ  ,,,0.19,0.05,,0.24,0.48,https://www.vgchartz.com/game/32675/up/?region=All,Action,Action
5105,Wolfenstein: The Old Blood,PS4,2015.0,May,5.0,undefined,Bethesda Softworks  ,MachineGames  ,,,0.13,0.25,0.02,0.07,0.48,https://www.vgchartz.com/game/85459/wolfenstein-the-old-blood/?region=All,Action,Action
5106,Grand Prix,2600,1982.0,Jan,1.0,undefined,Activision  ,Activision  ,,,0.45,0.03,,0.0,0.48,https://www.vgchartz.com/game/20293/grand-prix/?region=All,Racing,Racing
5107,Just Dance 2014,XOne,2013.0,Nov,22.0,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.31,0.12,,0.04,0.48,https://www.vgchartz.com/game/73117/just-dance-2014/?region=All,Misc,Misc
5108,EA Sports UFC,XOne,2014.0,Jun,17.0,undefined,Electronic Arts  ,EA Canada  ,,,0.3,0.13,,0.04,0.48,https://www.vgchartz.com/game/73106/ea-sports-ufc/?region=All,Sports,Sports
5109,World of Outlaws: Sprint Cars 2002,PS2,2002.0,Mar,26.0,undefined,Infogrames  ,Ratbag  ,,,0.23,0.18,,0.06,0.48,https://www.vgchartz.com/game/43532/world-of-outlaws-sprint-cars-2002/?region=All,Racing,Racing
5110,BioShock: The Collection,XOne,2016.0,Sep,13.0,undefined,2K Games  ,"Blind Squirrel Digital, Inc  ",,,0.35,0.08,,0.05,0.48,https://www.vgchartz.com/game/121496/bioshock-the-collection/?region=All,undefined,Shooter
5111,LEGO The Hobbit,PS3,2014.0,Apr,8.0,undefined,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.12,0.28,,0.07,0.47,https://www.vgchartz.com/game/78940/lego-the-hobbit/?region=All,Action,Action
5112,Fantavision,PS2,2000.0,Oct,25.0,undefined,Sony Computer Entertainment  ,SCEI  ,8.0,,0.14,0.11,0.19,0.04,0.47,https://www.vgchartz.com/game/3276/fantavision/?region=All,Puzzle,Puzzle
5113,Double Dragon,2600,1989.0,Jul,23.0,undefined,Activision  ,Activision  ,,,0.45,0.02,,0.01,0.47,https://www.vgchartz.com/game/20247/double-dragon/?region=All,Action,Action
5114,Alien Trilogy,PS,1997.0,Sep,1.0,undefined,Acclaim Entertainment  ,Probe Entertainment Limited  ,8.0,,0.24,0.16,0.04,0.03,0.47,https://www.vgchartz.com/game/53/alien-trilogy/?region=All,Shooter,Shooter
5115,NBA Live 99,N64,1998.0,Nov,4.0,undefined,EA Sports  ,NuFX  ,,,0.45,0.02,,0.0,0.47,https://www.vgchartz.com/game/1537/nba-live-99/?region=All,Sports,Sports
5116,Karate,2600,1980.0,Jan,1.0,undefined,Unknown  ,Ultravision  ,,,0.44,0.03,,0.0,0.47,https://www.vgchartz.com/game/20319/karate/?region=All,Fighting,Fighting
5117,Spider-Man 3,Wii,2007.0,May,4.0,undefined,Activision  ,Vicarious Visions  ,4.8,,0.42,0.02,,0.04,0.47,https://www.vgchartz.com/game/6128/spider-man-3/?region=All,Platform,Platform
5118,Luigi's Mansion,3DS,2018.0,Oct,12.0,undefined,Nintendo  ,GREZZO  ,7.3,,0.19,0.16,0.09,0.03,0.47,https://www.vgchartz.com/game/221279/luigis-mansion/?region=All,Action,Action
