Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
5001,Animal Crossing: Amiibo Festival,WiiU,2015.0,Nov,13.0,undefined,Nintendo  ,"Nd Cube Co., Ltd.  ",4.8,,0.23,0.12,0.1,0.04,0.49,https://www.vgchartz.com/game/85738/animal-crossing-amiibo-festival/?region=All,Misc,Misc
5002,SpongeBob SquarePants: Creature from the Krusty Krab,DS,2006.0,Oct,18.0,undefined,THQ  ,WayForward Technologies  ,,,0.45,0.0,,0.04,0.49,https://www.vgchartz.com/game/5736/spongebob-squarepants-creature-from-the-krusty-krab/?region=All,Platform,Platform
5003,J-League Pro Soccer Club wo Tsukurou! 2,SAT,1997.0,Nov,20.0,undefined,Sega  ,Sega  ,,,,,0.49,,0.49,https://www.vgchartz.com/game/3655/j-league-pro-soccer-club-wo-tsukurou-2/?region=All,Sports,Sports
5004,Middle-Earth: Shadow of Mordor,X360,2014.0,Nov,18.0,undefined,Warner Bros. Interactive Entertainment  ,Unknown  ,,,0.28,0.16,,0.04,0.49,https://www.vgchartz.com/game/77128/middle-earth-shadow-of-mordor/?region=All,Action,Action
5005,The Evil Within,X360,2014.0,Oct,14.0,undefined,Bethesda Softworks  ,Tango Gameworks  ,,,0.28,0.16,0.01,0.04,0.49,https://www.vgchartz.com/game/72024/the-evil-within/?region=All,Action,Action
5006,MotorStorm: Apocalypse,PS3,2011.0,May,3.0,undefined,Sony Computer Entertainment  ,Evolution Studios  ,7.6,,0.21,0.2,,0.08,0.49,https://www.vgchartz.com/game/45479/motorstorm-apocalypse/?region=All,Racing,Racing
5007,Backyard Baseball,PS2,2004.0,Mar,23.0,undefined,Atari  ,Humongous Entertainment  ,,,0.24,0.19,,0.06,0.49,https://www.vgchartz.com/game/4845/backyard-baseball/?region=All,Sports,Sports
5008,WipEout Pulse,PS2,2009.0,Jun,19.0,undefined,Sony Computer Entertainment  ,Studio Liverpool  ,,,,0.15,,0.33,0.49,https://www.vgchartz.com/game/31216/wipeout-pulse/?region=All,Racing,Racing
5009,Barbie Horse Adventures: Wild Horse Rescue,PS2,2003.0,Nov,4.0,undefined,Universal Interactive  ,Blitz Games  ,,,0.24,0.19,,0.06,0.49,https://www.vgchartz.com/game/4853/barbie-horse-adventures-wild-horse-rescue/?region=All,Sports,Sports
5010,Virtua Tennis 4: World Tour,PSV,2012.0,Feb,14.0,undefined,Sega  ,Sega  ,,,0.04,0.34,0.01,0.09,0.49,https://www.vgchartz.com/game/51803/virtua-tennis-4-world-tour/?region=All,Sports,Sports
