Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre,Genre_2020
8001,Bomberman Tournament,GBA,2001.0,Jun,26.0,undefined,Activision  ,Hudson Soft  ,8.8,,0.1,0.04,0.1,0.01,0.25,https://www.vgchartz.com/game/2940/bomberman-tournament/?region=All,Puzzle,Puzzle
8002,Beyblade: Metal Fusion,DS,2010.0,Nov,9.0,undefined,Hudson Soft  ,Hudson Soft  ,,,0.07,0.03,0.14,0.01,0.25,https://www.vgchartz.com/game/38420/beyblade-metal-fusion/?region=All,Role-Playing,Role-Playing
8003,Medal of Honor European Assault,GC,2005.0,Jun,7.0,undefined,Electronic Arts  ,EA Los Angeles  ,7.9,,0.19,0.05,,0.01,0.25,https://www.vgchartz.com/game/5335/medal-of-honor-european-assault/?region=All,Shooter,Shooter
8004,Zoo Tycoon 2: Ultimate Collection,PC,2008.0,Dec,5.0,undefined,Microsoft Game Studios  ,Blue Fang Games  ,,,0.04,0.19,,0.03,0.25,https://www.vgchartz.com/game/40471/zoo-tycoon-2-ultimate-collection/?region=All,Strategy,Strategy
8005,Billy Hatcher and the Giant Egg,GC,2003.0,Sep,23.0,undefined,Sega  ,Sonic Team  ,7.3,,0.19,0.05,,0.01,0.25,https://www.vgchartz.com/game/197/billy-hatcher-and-the-giant-egg/?region=All,Platform,Platform
8006,NHL 08,X360,2007.0,Sep,12.0,undefined,Electronic Arts  ,Unknown  ,,,0.22,0.01,,0.02,0.25,https://www.vgchartz.com/game/7382/nhl-08/?region=All,Action,Action
8007,Midway's Greatest Arcade Hits,GBA,2001.0,Nov,22.0,undefined,Midway Games  ,Pocket Studios  ,,,0.18,0.07,,0.0,0.25,https://www.vgchartz.com/game/14956/midways-greatest-arcade-hits/?region=All,Misc,Misc
8008,Imagine: Ballet Star,DS,2008.0,Nov,18.0,undefined,Ubisoft  ,Spike Co.  ,,,0.23,0.0,,0.02,0.25,https://www.vgchartz.com/game/28158/imagine-ballet-star/?region=All,Simulation,Simulation
8009,Final Fantasy II,WS,2001.0,May,2.0,undefined,Square  ,SquareSoft  ,,,,,0.25,0.0,0.25,https://www.vgchartz.com/game/3308/final-fantasy-ii/?region=All,Role-Playing,Role-Playing
8010,WipEout Fusion,PS2,2002.0,Jun,17.0,undefined,BAM! Entertainment  ,Studio Liverpool  ,,,0.12,0.1,,0.03,0.25,https://www.vgchartz.com/game/2682/wipeout-fusion/?region=All,Racing,Racing
8011,Marie no Atelier: Salburg no Renkinjutsushi,PS,1997.0,May,23.0,undefined,Gust  ,Gust  ,,,,,0.23,0.02,0.25,https://www.vgchartz.com/game/2869/marie-no-atelier-salburg-no-renkinjutsushi/?region=All,Role-Playing,Role-Playing
8012,Golden Nugget Casino,GBA,2004.0,Nov,16.0,undefined,Majesco  ,Majesco Games  ,,,0.18,0.07,,0.0,0.25,https://www.vgchartz.com/game/27024/golden-nugget-casino/?region=All,Misc,Misc
8013,NHL 06,XB,2005.0,Sep,6.0,undefined,EA Sports  ,EA Canada  ,,,0.19,0.05,,0.01,0.25,https://www.vgchartz.com/game/1615/nhl-06/?region=All,Sports,Sports
8014,Animal Paradise,DS,2008.0,Sep,23.0,undefined,Empire Interactive  ,Rekoo  ,,,0.09,0.14,,0.02,0.25,https://www.vgchartz.com/game/14469/animal-paradise/?region=All,Simulation,Simulation
8015,Atari Anthology,XB,2004.0,Nov,16.0,undefined,Atari  ,Digital Eclipse  ,,,0.19,0.05,,0.01,0.25,https://www.vgchartz.com/game/127/atari-anthology/?region=All,Misc,Misc
8016,Crash Tag Team Racing,PSP,2005.0,Nov,10.0,undefined,VU Games  ,Radical Entertainment  ,6.3,,0.16,0.06,,0.03,0.25,https://www.vgchartz.com/game/4992/crash-tag-team-racing/?region=All,Racing,Racing
8017,Ultimate Fighting Championship,PS,2000.0,Nov,13.0,undefined,Crave Entertainment  ,Opus Studio  ,,,0.14,0.09,,0.02,0.25,https://www.vgchartz.com/game/35861/ultimate-fighting-championship/?region=All,Fighting,Fighting
8018,XIII,XB,2003.0,Nov,24.0,undefined,Ubisoft  ,Southend Interactive  ,,,0.16,0.08,,0.01,0.25,https://www.vgchartz.com/game/2775/xiii/?region=All,Shooter,Shooter
8019,Star Trek: The Game,PS3,2013.0,Apr,23.0,undefined,Namco Bandai Games  ,Digital Extremes  ,,,0.1,0.11,,0.04,0.25,https://www.vgchartz.com/game/71338/star-trek-the-game/?region=All,Action,Action
8020,Pixel Puzzles: Japan,PC,2014.0,Apr,17.0,undefined,DL Softworks  ,DL Softworks  ,,,,,,,,https://www.vgchartz.com/game/81342/pixel-puzzles-japan/?region=All,undefined,Puzzle
8021,MotoGP '07,X360,2007.0,Aug,27.0,undefined,THQ  ,Climax Studios  ,7.7,8.0,0.23,0.0,,0.02,0.25,https://www.vgchartz.com/game/7226/motogp-07/?region=All,Racing,Racing
8022,My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009.0,Sep,11.0,undefined,Mentor Interactive  ,1st Playable Productions  ,,,0.23,,,0.02,0.25,https://www.vgchartz.com/game/36328/my-virtual-tutor-reading-adventure-kindergarten-to-first/?region=All,Misc,Misc
8023,Silent Hunter 5: Battle of the Atlantic,PC,2010.0,Mar,2.0,undefined,Ubisoft  ,Ubisoft Romania  ,,,,0.21,,0.04,0.25,https://www.vgchartz.com/game/37848/silent-hunter-5-battle-of-the-atlantic/?region=All,Simulation,Simulation
8024,Spider-Man: Web of Shadows,Wii,2008.0,Oct,21.0,undefined,Activision  ,Shaba Games / Treyarch  ,6.0,,0.22,0.01,,0.02,0.25,https://www.vgchartz.com/game/19477/spider-man-web-of-shadows/?region=All,Action,Action
8025,Samurai Shodown II,NG,1994.0,Dec,2.0,undefined,SNK  ,SNK Corporation  ,,,,,0.25,,0.25,https://www.vgchartz.com/game/4231/samurai-shodown-ii/?region=All,Fighting,Fighting
8026,SpongeBob's Truth or Square (US sales),X360,2009.0,Oct,26.0,undefined,THQ  ,Heavy Iron Studios  ,,,0.25,0.0,,,0.25,https://www.vgchartz.com/game/34679/spongebobs-truth-or-square-us-sales/?region=All,Action,Action
8027,Madagascar: Escape 2 Africa,X360,2008.0,Nov,4.0,undefined,Activision  ,Toys for Bob  ,,,0.12,0.1,,0.03,0.25,https://www.vgchartz.com/game/28749/madagascar-escape-2-africa/?region=All,Action,Action
8028,Trials Fusion,XOne,2015.0,Jan,1.0,undefined,Ubisoft  ,RedLynx  ,,,0.12,0.1,,0.02,0.25,https://www.vgchartz.com/game/73130/trials-fusion/?region=All,Racing,Racing
8029,Kung Fu Panda 2,X360,2011.0,May,24.0,undefined,THQ  ,THQ  ,,,0.16,0.07,,0.02,0.25,https://www.vgchartz.com/game/50850/kung-fu-panda-2/?region=All,Action,Action
