Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
4001,X-Men Legends II: Rise of Apocalypse,PS2,2005,Sep,20,undefined,Activision  ,Raven Software  ,8.5,,0.53,0.02,,0.09,0.63,https://www.vgchartz.com/game/6021/x-men-legends-ii-rise-of-apocalypse/?region=All
4002,White Knight Chronicles II,PS3,2011,Sep,13,undefined,D3 Publisher  ,Level 5  ,5.4,,0.23,0.09,0.27,0.04,0.63,https://www.vgchartz.com/game/39363/white-knight-chronicles-ii/?region=All
4003,Nightmare Creatures,PS,1997,Oct,01,undefined,Activision  ,Kalisto Entertainment  ,,,0.35,0.24,,0.04,0.63,https://www.vgchartz.com/game/5548/nightmare-creatures/?region=All
4004,Disney Sing It: Party Hits,Wii,2010,Sep,28,undefined,Disney Interactive Studios  ,Zoe Mode  ,,,0.48,0.1,,0.05,0.63,https://www.vgchartz.com/game/45899/disney-sing-it-party-hits/?region=All
4005,LEGO Star Wars II: The Original Trilogy,X360,2006,Sep,12,undefined,LucasArts  ,Traveller's Tales  ,8.2,,0.55,0.03,,0.05,0.63,https://www.vgchartz.com/game/5269/lego-star-wars-ii-the-original-trilogy/?region=All
4006,SingStar Queen,PS2,2009,Aug,04,undefined,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.08,0.12,,0.44,0.63,https://www.vgchartz.com/game/31309/singstar-queen/?region=All
4007,NBA Live 08,PS3,2007,Oct,01,undefined,Electronic Arts  ,EA Canada  ,,,0.56,0.02,0.01,0.05,0.63,https://www.vgchartz.com/game/7579/nba-live-08/?region=All
4008,The Descendant,PC,N/A,N/A,N/A,undefined,Unknown  ,Gaming Corps AB  ,,,,,,,,https://www.vgchartz.com/game/223440/the-descendant/?region=All
4009,WWE 2K16,XOne,2015,Oct,27,undefined,Take-Two Interactive  ,Yuke's  ,,,0.34,0.24,,0.06,0.63,https://www.vgchartz.com/game/85560/wwe-2k16/?region=All
4010,Tony Hawk's Pro Skater 2x,XB,2001,Nov,14,undefined,Activision  ,Treyarch  ,,,0.41,0.19,,0.03,0.63,https://www.vgchartz.com/game/2488/tony-hawks-pro-skater-2x/?region=All
4011,The Sims 3: Generations,PC,2011,May,31,undefined,Electronic Arts  ,The Sims Studio  ,6.5,,0.4,0.23,,,0.63,https://www.vgchartz.com/game/51460/the-sims-3-generations/?region=All
4012,Sim Theme Park,PS,1999,Oct,24,undefined,Electronic Arts  ,Climax Group  ,8.5,,0.35,0.24,,0.04,0.63,https://www.vgchartz.com/game/13745/sim-theme-park/?region=All
4013,Iron Man,PSP,2008,May,02,undefined,Sega  ,Artificial Mind and Movement  ,5.0,,0.46,0.09,,0.09,0.63,https://www.vgchartz.com/game/13838/iron-man/?region=All
4014,Just Dance 3,PS3,2011,Dec,06,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.34,0.21,,0.09,0.63,https://www.vgchartz.com/game/51776/just-dance-3/?region=All
4015,Wolfenstein,PS3,2009,Aug,18,undefined,Activision  ,Raven Software  ,7.2,,0.25,0.27,,0.11,0.63,https://www.vgchartz.com/game/34951/wolfenstein/?region=All
4016,FIFA Soccer 2003,XB,2002,Nov,12,undefined,EA Sports  ,EA Canada  ,,,0.2,0.4,,0.04,0.63,https://www.vgchartz.com/game/6261/fifa-soccer-2003/?region=All
4017,The Lord of the Rings: Conquest,X360,2009,Jan,13,undefined,Electronic Arts  ,Pandemic Studios  ,5.9,,0.37,0.2,,0.06,0.63,https://www.vgchartz.com/game/25383/the-lord-of-the-rings-conquest/?region=All
