Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
10001,Ashes Cricket 2009,PS3,2009,Aug,07,undefined,Codemasters  ,Transmission Games  ,6.8,,,0.16,,0.01,0.17,https://www.vgchartz.com/game/34553/ashes-cricket-2009/?region=All
10002,Final Fantasy XIV: Stormblood,PS4,2017,Jun,20,undefined,Square Enix  ,Square Enix  ,,,0.05,0.06,0.04,0.02,0.17,https://www.vgchartz.com/game/157466/final-fantasy-xiv-stormblood/?region=All
10003,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004,Jun,29,undefined,Majesco  ,Majesco Games  ,,,0.12,0.05,,0.0,0.17,https://www.vgchartz.com/game/26523/codename-kids-next-door-game-boy-advance-video-volume-1/?region=All
10004,NHL 07,PSP,2006,Sep,12,undefined,EA Sports  ,EA Montreal  ,7.6,,0.13,0.02,,0.02,0.17,https://www.vgchartz.com/game/5522/nhl-07/?region=All
10005,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004,Sep,27,undefined,Nintendo  ,Nintendo  ,,,0.12,0.05,,0.0,0.17,https://www.vgchartz.com/game/28110/pokemon-beach-blank-out-blastoise-go-west-young-meowth-game-boy-advance-video/?region=All
10006,Rise of the Argonauts,X360,2008,Dec,16,undefined,Codemasters  ,Codemasters  ,5.2,,0.03,0.12,,0.01,0.17,https://www.vgchartz.com/game/23969/rise-of-the-argonauts/?region=All
10007,Major League Baseball 2K9,PS2,2009,Mar,03,undefined,2K Sports  ,Visual Concepts  ,,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/29985/major-league-baseball-2k9/?region=All
10008,Gundam Assault Survive,PSP,2010,Mar,18,undefined,Namco Bandai  ,Bandai Namco Games  ,,,,,0.17,,0.17,https://www.vgchartz.com/game/42523/gundam-assault-survive/?region=All
10009,My French Coach,DS,2007,Nov,06,undefined,Ubisoft  ,Sensory Sweep Studios  ,,,0.14,0.01,,0.01,0.17,https://www.vgchartz.com/game/12603/my-french-coach/?region=All
10010,Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008,Nov,07,undefined,Disney Interactive Studios  ,Magenta Software  ,,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/26088/disney-thnk-fast-the-ultimate-trivia-showdown/?region=All
10011,Fate/stay night [Réalta Nua],PS2,2007,Apr,19,undefined,Kadokawa Shoten  ,Type-Moon  ,,,,,0.17,,0.17,https://www.vgchartz.com/game/3289/fatestay-night-realta-nua/?region=All
10012,Freedom Planet,PC,2014,Jul,21,undefined,Galaxy Trail  ,Galaxy Trail  ,,,,,,,,https://www.vgchartz.com/game/83729/freedom-planet/?region=All
10013,Disney's Home on the Range,GBA,2004,Mar,31,undefined,Disney Interactive Studios  ,Artificial Mind and Movement  ,5.0,,0.12,0.04,,0.0,0.17,https://www.vgchartz.com/game/26744/disneys-home-on-the-range/?region=All
10014,MotoGP 09/10,X360,2010,Mar,23,undefined,Capcom  ,Monumental Games  ,7.0,,0.07,0.09,,0.02,0.17,https://www.vgchartz.com/game/35515/motogp-0910/?region=All
10015,Wolcen: Lords of Mayhem,PC,N/A,N/A,N/A,undefined,Unknown  ,WOLCEN Studio  ,,,,,,,,https://www.vgchartz.com/game/223832/wolcen-lords-of-mayhem/?region=All
10016,Just Dance 2019,PS4,2018,Oct,23,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.11,0.03,,0.03,0.17,https://www.vgchartz.com/game/222188/just-dance-2019/?region=All
10017,Monsters vs. Aliens,X360,2009,Mar,24,undefined,Activision  ,Beenox  ,6.5,,0.12,0.03,,0.02,0.17,https://www.vgchartz.com/game/31021/monsters-vs-aliens/?region=All
10018,Disney Sing It: Family Hits,PS3,2010,Aug,03,undefined,Disney Interactive Studios  ,Zoe Mode  ,,,0.11,0.04,,0.02,0.17,https://www.vgchartz.com/game/44639/disney-sing-it-family-hits/?region=All
10019,Distance,PC,2020,Dec,31,undefined,Refract Studios  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/76818/distance/?region=All
10020,Guilty Gear Xrd: Sign,PS4,2014,Dec,16,undefined,Aksys Games  ,Arc System Works  ,,,0.11,,0.04,0.02,0.17,https://www.vgchartz.com/game/75670/guilty-gear-xrd-sign/?region=All
10021,Just Dance 2018,WiiU,2017,Oct,24,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.07,0.09,,0.01,0.17,https://www.vgchartz.com/game/203197/just-dance-2018/?region=All
10022,Space Griffon VF-9,PS,1995,Nov,25,undefined,Atlus  ,Panther Software  ,,,0.02,0.02,0.12,0.01,0.17,https://www.vgchartz.com/game/4366/space-griffon-vf-9/?region=All
10023,Disgaea PC,PC,2016,Feb,24,undefined,NIS America  ,Nippon Ichi Software  ,,9.5,,,,,,https://www.vgchartz.com/game/220189/disgaea-pc/?region=All
10024,The Mean Greens - Plastic Warfare,PC,N/A,N/A,N/A,undefined,Unknown  ,Virtual Basement LLC  ,,,,,,,,https://www.vgchartz.com/game/223835/the-mean-greens-plastic-warfare/?region=All
10025,Camp Rock: The Final Jam,DS,2010,Aug,31,undefined,Disney Interactive Studios  ,Disney Interactive Studios  ,,,0.14,0.02,,0.01,0.17,https://www.vgchartz.com/game/46708/camp-rock-the-final-jam/?region=All
10026,.hack//G.U. Vol.1//Rebirth,PS2,2006,Oct,24,undefined,Namco Bandai  ,CyberConnect2  ,6.6,,,,0.17,,0.17,https://www.vgchartz.com/game/3462/hackgu-vol1rebirth/?region=All
10027,N3 II: Ninety-Nine Nights,X360,2010,Jun,29,undefined,Konami  ,Q Entertainment / Phantagram / FeelPlus  ,,,0.06,0.06,0.04,0.01,0.17,https://www.vgchartz.com/game/27613/n3-ii-ninety-nine-nights/?region=All
10028,Harvest Moon: The Lost Valley,3DS,2014,Nov,04,undefined,Natsume  ,Natsume  ,,,0.13,0.02,,0.02,0.17,https://www.vgchartz.com/game/82732/harvest-moon-the-lost-valley/?region=All
10029,Bound By Flame,PC,2014,May,07,undefined,Focus Home Interactive  ,Spiders  ,,,,0.0,,0.0,0.0,https://www.vgchartz.com/game/73259/bound-by-flame/?region=All
10030,Dungeons & Dragons: Chronicles of Mystara,PC,N/A,N/A,N/A,undefined,Unknown  ,Iron Galaxy Studios  ,,,,,,,,https://www.vgchartz.com/game/223836/dungeons-amp-dragons-chronicles-of-mystara/?region=All
10031,CastleStorm,PC,N/A,N/A,N/A,undefined,Unknown  ,Zen Studios  ,,,,,,,,https://www.vgchartz.com/game/223837/castlestorm/?region=All
10032,Fairytale Fights,PS3,2009,Oct,27,undefined,Playlogic Game Factory  ,Playlogic Game Factory  ,4.8,,0.11,0.04,,0.02,0.17,https://www.vgchartz.com/game/33959/fairytale-fights/?region=All
10033,Bratz Kidz,Wii,2008,Nov,11,undefined,Game Factory  ,Neko Entertainment  ,,,0.16,,,0.01,0.17,https://www.vgchartz.com/game/21935/bratz-kidz/?region=All
10034,The Cursed Crusade,PS3,2011,Oct,25,undefined,Atlus  ,Kylotonn Entertainment  ,4.0,,0.07,0.07,0.01,0.02,0.17,https://www.vgchartz.com/game/48394/the-cursed-crusade/?region=All
