Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
6001,Hooked! Again: Real Motion Fishing,Wii,2009,Nov,03,undefined,Aksys Games  ,SIMS  ,,,0.36,0.0,,0.03,0.39,https://www.vgchartz.com/game/38067/hooked-again-real-motion-fishing/?region=All
6002,Tiger Woods PGA Tour 14,PS3,2013,Mar,26,undefined,EA Sports  ,EA Tiburon  ,,,0.16,0.16,,0.06,0.39,https://www.vgchartz.com/game/71808/tiger-woods-pga-tour-14/?region=All
6003,Karaoke Revolution Presents American Idol Encore,PS2,2008,Feb,05,undefined,Konami  ,Blitz Games  ,,,0.19,0.15,,0.05,0.39,https://www.vgchartz.com/game/16070/karaoke-revolution-presents-american-idol-encore/?region=All
6004,Get Fit with Mel B,PS3,2010,Oct,20,undefined,Deep Silver  ,Lightning Fish  ,,,0.15,0.16,,0.07,0.39,https://www.vgchartz.com/game/45641/get-fit-with-mel-b/?region=All
6005,Airlock,2600,1982,Jan,01,undefined,Data Age  ,Data Age  ,,,0.36,0.02,,0.0,0.39,https://www.vgchartz.com/game/20147/airlock/?region=All
6006,MotoGP 08,PS3,2008,Oct,28,undefined,Capcom  ,MileStone Inc.  ,,,0.07,0.24,,0.08,0.39,https://www.vgchartz.com/game/26024/motogp-08/?region=All
6007,Metal Gear Solid: Snake Eater 3D,3DS,2012,Feb,21,undefined,Konami Digital Entertainment  ,Konami Computer Entertainment Japan  ,7.9,,0.15,0.12,0.1,0.02,0.39,https://www.vgchartz.com/game/70493/metal-gear-solid-snake-eater-3d/?region=All
6008,Tokimeki Memorial 2,PS,1999,Nov,25,undefined,Konami  ,KCET  ,,,,,0.36,0.03,0.39,https://www.vgchartz.com/game/4593/tokimeki-memorial-2/?region=All
6009,EA Sports Active 2,X360,2010,Nov,16,undefined,Electronic Arts  ,EA Vancouver  ,6.3,,0.18,0.16,,0.04,0.39,https://www.vgchartz.com/game/45635/ea-sports-active-2/?region=All
6010,LEGO Star Wars III: The Clone Wars,PSP,2011,Mar,22,undefined,LucasArts  ,Traveller's Tales  ,6.3,,0.14,0.16,,0.08,0.39,https://www.vgchartz.com/game/43296/lego-star-wars-iii-the-clone-wars/?region=All
6011,Farming Simulator 2013,X360,2013,Nov,19,undefined,Focus Home Interactive  ,Giants Software  ,,,0.22,0.13,0.0,0.03,0.39,https://www.vgchartz.com/game/75844/farming-simulator-2013/?region=All
6012,Little Nightmares,PS4,2017,Apr,28,undefined,Namco Bandai Games  ,Tarsier Studios  ,,,0.18,0.12,0.02,0.06,0.39,https://www.vgchartz.com/game/155314/little-nightmares/?region=All
6013,Harry Potter: Quidditch World Cup,GBA,2003,Oct,28,undefined,Electronic Arts  ,Magic Pockets  ,4.9,,0.28,0.1,,0.01,0.39,https://www.vgchartz.com/game/15006/harry-potter-quidditch-world-cup/?region=All
6014,Tropico 5,PS4,2015,Apr,28,undefined,Kalypso Media  ,Haemimont Games  ,,,0.07,0.18,0.08,0.05,0.38,https://www.vgchartz.com/game/78528/tropico-5/?region=All
6015,Wipeout 2048,PSV,2012,Feb,15,undefined,Sony Computer Entertainment  ,Studio Liverpool  ,,,0.13,0.19,,0.06,0.38,https://www.vgchartz.com/game/51793/wipeout-2048/?region=All
6016,Evil Dead: Fistfull of Boomstick,PS2,2003,May,20,undefined,THQ  ,VIS Entertainment  ,,,0.19,0.15,,0.05,0.38,https://www.vgchartz.com/game/5062/evil-dead-fistfull-of-boomstick/?region=All
6017,Dance Party: Pop Hits,Wii,2009,May,08,undefined,Nordic Games  ,Broadsword Interactive  ,,,,0.36,,0.02,0.38,https://www.vgchartz.com/game/31722/dance-party-pop-hits/?region=All
6018,Metal Gear Solid HD Collection,X360,2011,Nov,08,undefined,Konami  ,Bluepoint Games  ,9.2,,0.25,0.1,,0.03,0.38,https://www.vgchartz.com/game/51650/metal-gear-solid-hd-collection/?region=All
6019,Triple Play 97,PS,1996,Jun,24,undefined,Electronic Arts  ,EA Sports  ,,,0.21,0.15,,0.03,0.38,https://www.vgchartz.com/game/2532/triple-play-97/?region=All
6020,"Cook, Serve, Delicious!",PC,2013,Oct,08,undefined,Vertigo Gaming Inc.  ,Vertigo Gaming Inc.  ,,,,,,,,https://www.vgchartz.com/game/223488/cook-serve-delicious/?region=All
6021,Super Soccer,SNES,1992,May,01,undefined,Nintendo  ,Human Entertainment  ,,,,,0.38,,0.38,https://www.vgchartz.com/game/4424/super-soccer/?region=All
6022,Marvel: Ultimate Alliance,PS3,2006,Nov,17,undefined,Activision  ,Raven Software  ,7.7,,0.33,0.02,,0.03,0.38,https://www.vgchartz.com/game/5325/marvel-ultimate-alliance/?region=All
6023,Shin Megami Tensei: Nocturne,PS2,2004,Oct,12,undefined,Atlus  ,Atlus Co.  ,8.0,,0.07,0.05,0.25,0.02,0.38,https://www.vgchartz.com/game/4299/shin-megami-tensei-nocturne/?region=All
6024,Wario Land II (GBC),GB,1999,Mar,02,undefined,Nintendo  ,Nintendo R&D1  ,,,,,0.38,,0.38,https://www.vgchartz.com/game/4677/wario-land-ii-gbc/?region=All
6025,San Francisco Rush: Extreme Racing,PS,1998,Feb,28,undefined,Midway Games  ,Climax Entertainment  ,,,0.21,0.15,,0.03,0.38,https://www.vgchartz.com/game/1974/san-francisco-rush-extreme-racing/?region=All
6026,Diner Dash: Sizzle & Serve,DS,2007,May,23,undefined,Eidos Interactive  ,GameLab / PlayFirst  ,,,0.33,0.02,,0.03,0.38,https://www.vgchartz.com/game/6067/diner-dash-sizzle-amp-serve/?region=All
6027,GRID 2,PS3,2013,May,28,undefined,Codemasters  ,Unknown  ,,,0.07,0.25,0.01,0.06,0.38,https://www.vgchartz.com/game/71503/grid-2/?region=All
6028,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Jun,25,undefined,Human Entertainment  ,Human Entertainment  ,,,,,0.36,0.03,0.38,https://www.vgchartz.com/game/2876/bakusou-dekotora-densetsu-otoko-ippiki-yume-kaidoi/?region=All
6029,Yoshi Touch & Go,DS,2005,Mar,14,undefined,Nintendo  ,Nintendo EAD  ,,,0.34,0.02,,0.03,0.38,https://www.vgchartz.com/game/22512/yoshi-touch-amp-go/?region=All
6030,Viking: Battle for Asgard,PS3,2008,Mar,25,undefined,Sega  ,The Creative Assembly  ,6.6,,0.14,0.18,,0.07,0.38,https://www.vgchartz.com/game/16008/viking-battle-for-asgard/?region=All
6031,Wii Sports Club,WiiU,2014,Jul,25,undefined,Nintendo  ,Nintendo  ,6.7,,0.17,0.14,0.04,0.03,0.38,https://www.vgchartz.com/game/83080/wii-sports-club/?region=All
6032,NCAA Football 08,PS3,2007,Jul,17,undefined,Electronic Arts  ,EA Tiburon  ,,,0.35,,,0.03,0.38,https://www.vgchartz.com/game/7038/ncaa-football-08/?region=All
6033,ESPN College Hoops 2K5,XB,2004,Nov,17,undefined,Sega  ,Visual Concepts  ,,,0.29,0.08,,0.01,0.38,https://www.vgchartz.com/game/651/espn-college-hoops-2k5/?region=All
6034,Naruto: Clash of Ninja Revolution 2,Wii,2008,Oct,21,undefined,Tomy Corporation  ,8ing/Raizing  ,,,0.34,0.02,,0.03,0.38,https://www.vgchartz.com/game/24251/naruto-clash-of-ninja-revolution-2/?region=All
6035,Looney Tunes: Acme Arsenal,PS2,2007,Oct,09,undefined,Warner Bros. Interactive  ,Red Tribe  ,,,0.19,0.15,,0.05,0.38,https://www.vgchartz.com/game/7622/looney-tunes-acme-arsenal/?region=All
6036,SD Gundam G Generation Spirits,PS2,2007,Nov,29,undefined,Namco Bandai  ,Tom Create  ,,,,,0.38,,0.38,https://www.vgchartz.com/game/12997/sd-gundam-g-generation-spirits/?region=All
6037,Wolfenstein: The New Order,X360,2014,May,20,undefined,Bethesda Softworks  ,MachineGames  ,,,0.18,0.17,,0.03,0.38,https://www.vgchartz.com/game/72128/wolfenstein-the-new-order/?region=All
6038,Junior Classic Games,DS,2009,Nov,03,undefined,Take-Two Interactive  ,Uacari  ,,,0.26,0.09,,0.03,0.38,https://www.vgchartz.com/game/36929/junior-classic-games/?region=All
