Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
17001,Disney's Hide & Sneak,GC,2003,Nov,30,undefined,Capcom  ,Capcom  ,4.7,,0.03,0.01,,0.0,0.03,https://www.vgchartz.com/game/14124/disneys-hide-amp-sneak/?region=All
17002,Nobunaga no Yabou: Kakushin with Power-Up Kit,PS2,2008,Mar,06,undefined,KOEI  ,Koei  ,,,,,0.03,,0.03,https://www.vgchartz.com/game/17386/nobunaga-no-yabou-kakushin-with-power-up-kit/?region=All
17003,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013,Aug,22,undefined,Namco Bandai Games  ,Banpresto  ,,,,,0.03,,0.03,https://www.vgchartz.com/game/74976/super-robot-taisen-og-saga-masou-kishin-iii-pride-of-justice/?region=All
17004,Farming 2017 - The Simulation,PC,2016,Aug,19,undefined,UIG Entertainment  ,UIG Entertainment  ,,,,0.03,,0.0,0.03,https://www.vgchartz.com/game/92057/farming-2017-the-simulation/?region=All
17005,Raw Danger!,PS2,2007,Jun,19,undefined,Agetec  ,Irem Software Engineering  ,,,0.02,0.01,,0.0,0.03,https://www.vgchartz.com/game/6619/raw-danger/?region=All
17006,Legend of the Dragon,PSP,2007,May,29,undefined,Game Factory  ,Neko Entertainment  ,2.9,,0.03,0.0,,0.0,0.03,https://www.vgchartz.com/game/6087/legend-of-the-dragon/?region=All
17007,Monster Rancher Hop-A-Bout,PS,2000,Dec,10,undefined,Tecmo  ,Tecmo  ,,,0.02,0.01,,0.0,0.03,https://www.vgchartz.com/game/34382/monster-rancher-hop-a-bout/?region=All
17008,Custom Beat Battle: Draglade 2,DS,2008,Jul,10,undefined,Namco Bandai  ,Dimps Corporation  ,,,,,0.03,,0.03,https://www.vgchartz.com/game/24772/custom-beat-battle-draglade-2/?region=All
17009,de Blob 2,NS,2018,Aug,28,undefined,THQ Nordic  ,THQ Nordic  ,,,0.03,,,0.0,0.03,https://www.vgchartz.com/game/221108/de-blob-2/?region=All
17010,Gotouchi Kenkei DS,DS,2006,Nov,22,undefined,Spike  ,Spike  ,,,,,0.03,,0.03,https://www.vgchartz.com/game/3421/gotouchi-kenkei-ds/?region=All
