Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
3001,Homefront,PS3,2011,Mar,15,undefined,THQ  ,Kaos Studios  ,6.6,,0.32,0.4,0.04,0.15,0.9,https://www.vgchartz.com/game/34845/homefront/?region=All
3002,Lost Odyssey,X360,2008,Feb,12,undefined,Microsoft Game Studios  ,Mistwalker Corporation / Feelplus Inc.  ,7.5,9.3,0.45,0.26,0.11,0.08,0.9,https://www.vgchartz.com/game/7637/lost-odyssey/?region=All
3003,DJ Hero,PS3,2009,Oct,27,undefined,Activision  ,FreeStyleGames  ,8.5,,0.42,0.34,,0.15,0.9,https://www.vgchartz.com/game/34272/dj-hero/?region=All
3004,Marvel: Ultimate Alliance 2,X360,2009,Sep,15,undefined,Activision  ,Vicarious Visions  ,7.4,,0.68,0.15,,0.08,0.9,https://www.vgchartz.com/game/34456/marvel-ultimate-alliance-2/?region=All
3005,Cars 2,Wii,2011,Jun,21,undefined,Disney Interactive Studios  ,Avalanche Software  ,8.0,,0.43,0.38,,0.1,0.9,https://www.vgchartz.com/game/50216/cars-2/?region=All
3006,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996,Dec,20,undefined,ASCII Entertainment  ,KID Corporation  ,,,,,0.9,,0.9,https://www.vgchartz.com/game/3786/mini-yonku-shining-scorpion-lets-amp-go/?region=All
3007,MLB 2005,PS2,2004,Mar,16,undefined,Sony Computer Entertainment  ,989 Sports  ,,,0.44,0.35,,0.12,0.9,https://www.vgchartz.com/game/1377/mlb-2005/?region=All
3008,Burnout Revenge,PS2,2005,Sep,13,undefined,Electronic Arts  ,Criterion Games  ,9.0,,0.75,0.03,,0.12,0.9,https://www.vgchartz.com/game/4917/burnout-revenge/?region=All
3009,SOCOM 4: U.S. Navy SEALs,PS3,2011,Apr,19,undefined,Sony Computer Entertainment  ,Zipper Interactive  ,7.0,,0.66,0.12,0.04,0.09,0.9,https://www.vgchartz.com/game/35670/socom-4-us-navy-seals/?region=All
3010,James Cameron's Avatar: The Game,PS3,2009,Dec,01,undefined,Ubisoft  ,Ubisoft Montreal  ,5.8,,0.32,0.43,,0.15,0.9,https://www.vgchartz.com/game/35152/james-camerons-avatar-the-game/?region=All
3011,Destruction Derby,PS,1995,Nov,01,undefined,Psygnosis  ,Reflections Interactive  ,,,0.5,0.34,,0.06,0.9,https://www.vgchartz.com/game/508/destruction-derby/?region=All
3012,Killzone: Liberation,PSP,2006,Oct,31,undefined,Sony Computer Entertainment  ,Guerrilla Games  ,7.8,,0.44,0.28,,0.19,0.9,https://www.vgchartz.com/game/1113/killzone-liberation/?region=All
3013,The Biggest Loser: Ultimate Workout,X360,2010,Nov,02,undefined,THQ  ,Blitz Games  ,8.0,,0.73,0.1,,0.07,0.9,https://www.vgchartz.com/game/45630/the-biggest-loser-ultimate-workout/?region=All
3014,3Xtreme,PS,1999,Mar,31,undefined,989 Studios  ,Unknown  ,2.9,,0.5,0.34,,0.06,0.9,https://www.vgchartz.com/game/16/3xtreme/?region=All
3015,Hot Shots Tennis,PS2,2007,Jul,17,undefined,Sony Computer Entertainment  ,Clap Hanz  ,,,0.17,0.13,0.55,0.05,0.9,https://www.vgchartz.com/game/7035/hot-shots-tennis/?region=All
3016,Far Cry 4,X360,2014,Nov,18,undefined,Ubisoft  ,Ubisoft Montreal  ,,,0.45,0.37,,0.08,0.9,https://www.vgchartz.com/game/82098/far-cry-4/?region=All
3017,Resistance: Retribution,PSP,2009,Mar,17,undefined,Sony Computer Entertainment  ,SCEA Bend Studio  ,8.0,7.6,0.27,0.36,0.05,0.22,0.9,https://www.vgchartz.com/game/24665/resistance-retribution/?region=All
3018,RalliSport Challenge,XB,2002,Mar,04,undefined,Microsoft  ,Digital Illusions  ,,,0.39,0.16,,0.02,0.57,https://www.vgchartz.com/game/49827/rallisport-challenge/?region=All
3019,Final Fantasy X / X-2 HD Remaster,PS4,2015,May,12,undefined,Square Enix  ,Square Enix  ,,,0.34,0.36,0.07,0.14,0.9,https://www.vgchartz.com/game/85469/final-fantasy-x-x-2-hd-remaster/?region=All
3020,Sonic Heroes,XB,2004,Jan,27,undefined,Sega  ,Sonic Team  ,,,0.41,0.43,0.01,0.05,0.9,https://www.vgchartz.com/game/5708/sonic-heroes/?region=All
