Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
1,Pokemon,Series,1998,Sep,28,undefined,Nintendo  ,Game Freak  ,,,,,,,,https://www.vgchartz.com/game/226034/pokemon/?region=All
2,Super Mario,Series,1983,Jul,20,undefined,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/game/226187/super-mario/?region=All
3,Grand Theft Auto,Series,1998,Mar,27,undefined,Rockstar Games  ,Rockstar North|Rockstar Leeds|Digital Eclipse  ,,,,,,,,https://www.vgchartz.com/game/226037/grand-theft-auto/?region=All
4,Call of Duty,Series,2003,Oct,29,undefined,Activision  ,Infinity Ward|Grey Matter Interactive|Treyarch|Sledgehammer Games|Raven Software|Neversoft|High Moon Studios  ,,,,,,,,https://www.vgchartz.com/game/226036/call-of-duty/?region=All
5,FIFA,Series,1993,Dec,15,undefined,EA Sports  ,Extended Play Productions (1991-1997)|EA Vancouver (1997-present)|EA Romania (2016-present)  ,,,,,,,,https://www.vgchartz.com/game/226038/fifa/?region=All
6,Minecraft,Series,2011,Nov,18,undefined,Mojang  ,Mojang  ,,,,,,,,https://www.vgchartz.com/game/226085/minecraft/?region=All
7,The Sims,Series,2000,Feb,04,undefined,Electronic Arts  ,Maxis  ,,,,,,,,https://www.vgchartz.com/game/226166/the-sims/?region=All
8,Tetris,Series,1984,Jun,06,undefined,Unknown  ,"Alexey Pajitnov|AcademySoft|Andromeda Software|Atari Games|Bullet-Proof Software|Electronic Arts|Elorg|Nintendo R&D1|Philips|Rowan Software|Spectrum HoloByte|Sphere, Inc.|Sanritsu Denki|Sega|SoMa Play| ZCT Systems|Gameloft  ",,,,,,,,https://www.vgchartz.com/game/226237/tetris/?region=All
9,Final Fantasy,Series,1987,Dec,18,undefined,Square  ,Square|Square Enix  ,,,,,,,,https://www.vgchartz.com/game/226241/final-fantasy/?region=All
10,Need for Speed,Series,1994,Aug,31,undefined,Electronic Arts  ,EA Black Box|EA Bright Light|EA Canada|Eden Studios|Exient Entertainment|Firebrand Games|Ghost Games|Piranha Games|Slightly Mad Studios|Criterion Games|Firemonkeys Studios  ,,,,,,,,https://www.vgchartz.com/game/226227/need-for-speed/?region=All
11,Mario Kart,Series,1992,Sep,01,undefined,Nintendo  ,Nintendo|Intelligent Systems|Retro Studios|Namco|Namco Bandai  ,,,,,,,,https://www.vgchartz.com/game/226188/mario-kart/?region=All
