Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
11001,The Da Vinci Code,PS2,2006,May,15,undefined,2K Games  ,Double Helix Games  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/5003/the-da-vinci-code/?region=All
11002,Scooby-Doo! Night of 100 Frights,XB,2003,Aug,27,undefined,THQ  ,Heavy Iron Studios  ,,,0.11,0.03,,0.01,0.14,https://www.vgchartz.com/game/5667/scooby-doo-night-of-100-frights/?region=All
11003,Our House Party!,Wii,2009,Sep,22,undefined,Majesco  ,BudCat Creations  ,,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/34587/our-house-party/?region=All
11004,Chicken Shoot,DS,2007,Jul,10,undefined,"Destination Software, Inc  ",FrontLine Studios  ,,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/6807/chicken-shoot/?region=All
11005,Dead to Rights,GC,2002,Nov,25,undefined,Namco  ,Namco  ,,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/5004/dead-to-rights/?region=All
11006,Redout: Enhanced Edition,PC,N/A,N/A,N/A,undefined,Unknown  ,34BigThings srl  ,,,,,,,,https://www.vgchartz.com/game/224519/redout-enhanced-edition/?region=All
11007,Arctic Tale,DS,2007,Oct,08,undefined,DSI Games  ,Atomic Planet Entertainment  ,,,0.13,0.0,,0.01,0.14,https://www.vgchartz.com/game/12340/arctic-tale/?region=All
11008,Bejeweled 3,X360,2011,Nov,15,undefined,PopCap Games  ,PopCap Games  ,,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/52216/bejeweled-3/?region=All
11009,Sphinx and the Cursed Mummy,GC,2003,Nov,10,undefined,THQ  ,Eurocom Entertainment Software  ,8.4,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/2142/sphinx-and-the-cursed-mummy/?region=All
11010,Cranium Kabookii,Wii,2007,Dec,04,undefined,Ubisoft  ,Ubisoft Quebec  ,,,0.13,0.0,,0.01,0.14,https://www.vgchartz.com/game/12984/cranium-kabookii/?region=All
11011,Cabela's Outdoor Adventures (2009),PS2,2009,Sep,08,undefined,Activision  ,Activision  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/36590/cabelas-outdoor-adventures-2009/?region=All
11012,WWE 2K16,PC,2016,Mar,10,undefined,2K Sports  ,Yuke's  ,,,,0.0,,0.0,0.0,https://www.vgchartz.com/game/95621/wwe-2k16/?region=All
11013,South Park: The Fractured But Whole,NS,2018,Apr,24,undefined,Ubisoft  ,Ubisoft San Francisco  ,9.5,9.5,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/221267/south-park-the-fractured-but-whole/?region=All
11014,T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1999,Mar,31,undefined,Sunsoft  ,SunSoft  ,,,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/36183/trag-tactical-rescue-assault-group-mission-of-mercy/?region=All
11015,The Lord of the Rings: Aragorn's Quest,PSP,2010,Sep,14,undefined,Warner Bros. Interactive  ,TT Fusion  ,,,0.09,0.03,,0.03,0.14,https://www.vgchartz.com/game/44085/the-lord-of-the-rings-aragorns-quest/?region=All
11016,Risen 2: Dark Waters,X360,2012,Jul,31,undefined,Deep Silver  ,Piranha Bytes  ,5.5,,0.05,0.08,,0.01,0.14,https://www.vgchartz.com/game/47230/risen-2-dark-waters/?region=All
11017,Heckabomb,PC,2015,Feb,27,undefined,Kiss  ,Allicorn Games  ,,,,,,,,https://www.vgchartz.com/game/224517/heckabomb/?region=All
11018,Naruto RPG 2: Chidori vs Rasengan,DS,2005,Jul,14,undefined,Tomy Corporation  ,Tomy Corporation  ,,,,,0.14,,0.14,https://www.vgchartz.com/game/3885/naruto-rpg-2-chidori-vs-rasengan/?region=All
11019,RoboMatch,PC,2017,Mar,06,undefined,Lasta Dan Publisher  ,Anti-Ded GameDev  ,,,,,,,,https://www.vgchartz.com/game/224516/robomatch/?region=All
11020,Nicktoons MLB,Wii,2011,Sep,13,undefined,2K Sports  ,2K Sports  ,,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/51562/nicktoons-mlb/?region=All
11021,TRINITY: Souls of Zill O'll,PS3,2011,Feb,08,undefined,Tecmo Koei  ,Omega Force  ,5.5,,0.06,0.03,0.03,0.01,0.14,https://www.vgchartz.com/game/34948/trinity-souls-of-zill-oll/?region=All
11022,Ys I & II Chronicles+,PC,2013,Feb,14,undefined,Xseed Games  ,Nihon Falcom Corporation  ,,,,,,,,https://www.vgchartz.com/game/224742/ys-i-amp-ii-chronicles/?region=All
11023,Dungeon Defenders Eternity,PC,2014,Jul,22,undefined,Trendy Entertainment  ,Nom Nom Games  ,,,,,,,,https://www.vgchartz.com/game/224515/dungeon-defenders-eternity/?region=All
11024,Horse Life Adventures,Wii,2009,Oct,27,undefined,Valcon Games  ,NEKO Entertainment Yullaby  ,,,0.12,0.01,,0.01,0.14,https://www.vgchartz.com/game/36879/horse-life-adventures/?region=All
11025,Destruction Derby Raw,PS,2000,Sep,26,undefined,Midway Games  ,Studio 33  ,,,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/14825/destruction-derby-raw/?region=All
11026,Project V6,PS,1998,Feb,26,undefined,General Entertainment  ,General Entertainment  ,,,,,0.13,0.01,0.14,https://www.vgchartz.com/game/4121/project-v6/?region=All
11027,Adventure Time: Finn & Jake Investigations,PS4,2015,Oct,20,undefined,Little Orbit  ,Vicious Cycle  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/85407/adventure-time-finn-amp-jake-investigations/?region=All
11028,The Walking Dead: Season Two,XOne,2014,Oct,21,undefined,Telltale Games  ,Unknown  ,,,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/77070/the-walking-dead-season-two/?region=All
11029,World Tour Soccer 2003,PS2,2003,Feb,10,undefined,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/2715/world-tour-soccer-2003/?region=All
11030,Akiba's Trip,PSP,2011,May,19,undefined,Acquire  ,PROPE  ,,,,,0.14,,0.14,https://www.vgchartz.com/game/49787/akibas-trip/?region=All
11031,Virtua Tennis 4,Wii,2011,May,10,undefined,Sega  ,Sega-AM2  ,5.2,,0.05,0.08,,0.01,0.14,https://www.vgchartz.com/game/49800/virtua-tennis-4/?region=All
11032,Bravo Air Race,PS,1997,Sep,30,undefined,THQ  ,Xing Entertainment  ,5.3,,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/17111/bravo-air-race/?region=All
11033,Onimusha Essentials,PS2,2008,Nov,13,undefined,Capcom  ,Capcom  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/27777/onimusha-essentials/?region=All
11034,Gundam: The Battle Master,PS,1997,Jun,20,undefined,Bandai  ,Bandai  ,,,,,0.13,0.01,0.14,https://www.vgchartz.com/game/3458/gundam-the-battle-master/?region=All
11035,Spyro: A Hero's Tail,XB,2004,Nov,03,undefined,VU Games  ,Eurocom Entertainment Software  ,,,0.11,0.03,,0.01,0.14,https://www.vgchartz.com/game/5750/spyro-a-heros-tail/?region=All
11036,¡Shin Chan Flipa en colores!,DS,2007,Nov,16,undefined,505 Games  ,Inti Creates  ,,,,,0.14,,0.14,https://www.vgchartz.com/game/3020/shin-chan-flipa-en-colores/?region=All
11037,Pro Evolution Soccer 2015,X360,2014,Nov,11,undefined,Konami Digital Entertainment  ,PES Productions  ,,,0.05,0.08,,0.01,0.14,https://www.vgchartz.com/game/84169/pro-evolution-soccer-2015/?region=All
11038,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016,Jun,16,undefined,Namco Bandai Games  ,Namco Bandai Games  ,,,,,0.14,,0.14,https://www.vgchartz.com/game/120600/taiko-no-tatsujin-don-don-mystery-adventure/?region=All
11039,Eternal Poison,PS2,2008,Nov,11,undefined,Atlus  ,Flight-Plan  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/25480/eternal-poison/?region=All
11040,Backyard Sports: Sandlot Sluggers,DS,2010,May,25,undefined,Atari  ,"Powerhead, LLC  ",,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/43857/backyard-sports-sandlot-sluggers/?region=All
11041,The Solus Project,PC,2016,Jun,07,undefined,Teotl Studios  ,Hourences  ,,,,,,,,https://www.vgchartz.com/game/224513/the-solus-project/?region=All
11042,Guilty Gear Xrd -Revelator-,PS4,2016,Jun,07,undefined,Aksys Games  ,Arc System Works  ,,,0.06,,0.07,0.01,0.14,https://www.vgchartz.com/game/86307/guilty-gear-xrd-revelator-/?region=All
11043,Gretzky NHL 06,PS2,2005,Sep,20,undefined,Sony Computer Entertainment  ,Page 44 Studios  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/908/gretzky-nhl-06/?region=All
11044,Gungrave: Overdose,PS2,2004,Sep,15,undefined,Mastiff  ,"Ikusabune Co., Ltd.  ",,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/933/gungrave-overdose/?region=All
11045,Kidou Senshi Gundam: Shin Gihren no Yabou,PSP,2011,Aug,25,undefined,Namco Bandai  ,Namco Bandai Games  ,,,,,0.14,,0.14,https://www.vgchartz.com/game/52758/kidou-senshi-gundam-shin-gihren-no-yabou/?region=All
11046,We Happy Few,PS4,2018,Aug,10,undefined,Gearbox Software  ,Compulsion Games  ,,,0.08,0.04,,0.02,0.14,https://www.vgchartz.com/game/204842/we-happy-few/?region=All
11047,Rocksmith 2014 Edition Remastered,PS4,2016,Oct,04,undefined,Ubisoft  ,Ubisoft  ,,,0.11,,,0.03,0.14,https://www.vgchartz.com/game/132804/rocksmith-2014-edition-remastered/?region=All
11048,Assassination Classroom: Grand Siege on Korosensei,3DS,2015,Mar,12,undefined,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.14,,0.14,https://www.vgchartz.com/game/85271/assassination-classroom-grand-siege-on-korosensei/?region=All
11049,NBA ShootOut 2002,PS,2001,Sep,01,undefined,Sony Computer Entertainment  ,989 Sports  ,,,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/34763/nba-shootout-2002/?region=All
11050,The Granstream Saga,PS,1998,Jun,30,undefined,THQ  ,Shade  ,7.6,7.0,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/18710/the-granstream-saga/?region=All
11051,Mr. Driller: Drill Spirits,DS,2004,Nov,30,undefined,Namco  ,Namco  ,,,0.08,0.0,0.05,0.01,0.14,https://www.vgchartz.com/game/1437/mr-driller-drill-spirits/?region=All
11052,Baldur's Gate: Dark Alliance,GC,2002,Nov,18,undefined,Interplay  ,Snowblind Studios  ,7.7,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/4850/baldurs-gate-dark-alliance/?region=All
11053,Bassmasters 2000,N64,1999,Dec,16,undefined,THQ  ,Mass Media  ,,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/19775/bassmasters-2000/?region=All
11054,Bio FREAKS,N64,1998,May,31,undefined,Midway Games  ,Saffire Corporation  ,6.2,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/198/bio-freaks/?region=All
11055,"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",PSP,2009,Jul,16,undefined,NIS America  ,Acquire  ,6.9,,,0.0,0.13,0.0,0.14,https://www.vgchartz.com/game/13210/holy-invasion-of-privacy-badman-what-did-i-do-to-deserve-this/?region=All
11056,Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS 2,DS,2006,Jul,27,undefined,Sega  ,Sega  ,,,,,0.13,,0.13,https://www.vgchartz.com/game/3858/kouchuu-ouja-mushi-king-greatest-champion-e-no-michi-ds-2/?region=All
11057,Micro Machines 64 Turbo,N64,1999,Mar,24,undefined,Midway Games  ,Codemasters  ,,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/1348/micro-machines-64-turbo/?region=All
11058,WCW Backstage Assault,N64,2000,Dec,12,undefined,Electronic Arts  ,Unknown  ,,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/2648/wcw-backstage-assault/?region=All
