Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
15984,Activision Anthology,GBA,2003,Dec,08,undefined,Activision  ,Aspyr  ,8.0,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/13856/activision-anthology/?region=All
15985,Aokana: Four Rhythm Across the Blue,PSV,2016,Feb,25,undefined,Sprite  ,Sprite  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/93924/aokana-four-rhythm-across-the-blue/?region=All
15986,Galaxy Racers,DS,2010,Jul,27,undefined,Ubisoft  ,Ubisoft  ,,,0.04,0.0,,0.0,0.05,https://www.vgchartz.com/game/44640/galaxy-racers/?region=All
15987,Lux-Pain,DS,2009,Mar,24,undefined,Ignition Entertainment  ,Killaware  ,,,0.04,0.0,,0.0,0.05,https://www.vgchartz.com/game/33243/lux-pain/?region=All
15988,Devil's Third,WiiU,2015,Dec,11,undefined,Nintendo  ,Valhalla Game Studios  ,3.8,5.7,0.03,0.02,,0.0,0.05,https://www.vgchartz.com/game/82931/devils-third/?region=All
15989,Onrush,PS4,2018,Jun,05,undefined,Deep Silver  ,Codemasters  ,,,0.04,,,0.01,0.05,https://www.vgchartz.com/game/221237/onrush/?region=All
15990,Wayne Gretzky's 3D Hockey '98,PS,1997,Dec,26,undefined,Midway Games  ,Software Creations  ,,,0.03,0.02,,0.0,0.05,https://www.vgchartz.com/game/30264/wayne-gretzkys-3d-hockey-98/?region=All
15991,Warriors All-Stars,PSV,2017,Mar,30,undefined,Tecmo Koei  ,Omega Force  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/166781/warriors-all-stars/?region=All
15992,Dead Cells,PS4,2018,Aug,15,undefined,Merge Games  ,Motion Twin  ,,,0.04,,,0.01,0.05,https://www.vgchartz.com/game/222087/dead-cells/?region=All
15993,God Wars: Future Past,PSV,2017,Jun,20,undefined,NIS America  ,Kadokawa Games  ,,,0.01,0.0,0.03,0.0,0.05,https://www.vgchartz.com/game/161535/god-wars-future-past/?region=All
15994,Trigger Man,XB,2004,Oct,05,undefined,Crave Entertainment  ,Point of View  ,,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/2529/trigger-man/?region=All
15995,Kimi ni Todoke: Tsutaeru Kimochi,DS,2011,Apr,07,undefined,Banpresto  ,Namco Bandai Games  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/49509/kimi-ni-todoke-tsutaeru-kimochi/?region=All
15996,Nora to Koku no Koubou: Kiri no Mori no Majo,DS,2011,Jul,21,undefined,Atlus  ,Atlus Co.  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/50967/nora-to-koku-no-koubou-kiri-no-mori-no-majo/?region=All
15997,Bad Boys: Miami Takedown,GC,2004,Sep,14,undefined,Crave Entertainment  ,Blitz Games  ,4.3,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/4848/bad-boys-miami-takedown/?region=All
15998,Pro Evolution Soccer 2016,PC,2015,Sep,15,undefined,Konami Digital Entertainment  ,PES Productions  ,,,,0.04,,0.0,0.05,https://www.vgchartz.com/game/85761/pro-evolution-soccer-2016/?region=All
15999,Active Life: Magical Carnival,Wii,2011,Oct,25,undefined,Namco Bandai  ,Ganbarion  ,,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/52778/active-life-magical-carnival/?region=All
16000,Short Track Racing: Trading Paint,PS2,2009,May,11,undefined,THQ  ,Big Ant Studios  ,,,0.02,0.02,,0.01,0.05,https://www.vgchartz.com/game/32844/short-track-racing-trading-paint/?region=All
