Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
7001,Blade II,PS2,2002,Sep,02,undefined,Activision  ,Mucky Foot Productions  ,,,0.15,0.12,,0.04,0.31,https://www.vgchartz.com/game/4880/blade-ii/?region=All
7002,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009,Sep,11,undefined,Mentor Interactive  ,1st Playable Productions  ,,,0.29,,,0.02,0.31,https://www.vgchartz.com/game/36329/my-virtual-tutor-reading-adventure-pre-k-to-kindergarten/?region=All
7003,The Settlers 7: Paths to a Kingdom,PC,2010,Mar,23,undefined,Ubisoft  ,Blue Byte  ,7.8,,,0.27,,0.04,0.31,https://www.vgchartz.com/game/42083/the-settlers-7-paths-to-a-kingdom/?region=All
7004,Math Play,DS,2007,Sep,24,undefined,Natsume  ,Denyu-Sha  ,,,0.28,0.0,,0.02,0.31,https://www.vgchartz.com/game/7380/math-play/?region=All
7005,Blackguards,PC,2014,Jan,01,undefined,Daedalic Entertainment  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/72007/blackguards/?region=All
7006,A Collection of Intellivision Classic Games,PS,1999,Oct,30,undefined,Activision  ,LTI  ,4.3,,0.17,0.12,,0.02,0.31,https://www.vgchartz.com/game/33259/a-collection-of-intellivision-classic-games/?region=All
7007,Star Wars Episode III: Revenge of the Sith,DS,2005,May,04,undefined,Ubisoft  ,Ubisoft Montreal  ,7.3,,0.25,0.03,,0.02,0.31,https://www.vgchartz.com/game/5763/star-wars-episode-iii-revenge-of-the-sith/?region=All
7008,Silent Hill: Shattered Memories,PSP,2010,Jan,19,undefined,Konami  ,Climax Group  ,7.8,,0.09,0.13,0.01,0.07,0.31,https://www.vgchartz.com/game/33213/silent-hill-shattered-memories/?region=All
7009,Her Story,PC,2015,Jun,24,undefined,Sam Barlow  ,Sam Barlow  ,8.7,,,,,,,https://www.vgchartz.com/game/220463/her-story/?region=All
7010,Bruce Lee: Quest of the Dragon,XB,2002,Jul,01,undefined,Universal Interactive  ,Ronin Entertainment  ,,,0.23,0.07,,0.01,0.31,https://www.vgchartz.com/game/261/bruce-lee-quest-of-the-dragon/?region=All
7011,Spin Jam,PS,2000,Sep,24,undefined,Empire Interactive  ,H2O Entertainment  ,,,0.17,0.12,,0.02,0.31,https://www.vgchartz.com/game/42453/spin-jam/?region=All
7012,KuruKuru Kururin,GBA,2001,Jun,22,undefined,Nintendo  ,Eighting/Raizing  ,7.2,,,,0.3,0.01,0.31,https://www.vgchartz.com/game/3631/kurukuru-kururin/?region=All
7013,Disney's The Emperor's New Groove,PS,2000,Nov,13,undefined,Sony Computer Entertainment  ,Argonaut Software  ,,,0.17,0.12,,0.02,0.31,https://www.vgchartz.com/game/21947/disneys-the-emperors-new-groove/?region=All
7014,NBA Live 08,PSP,2007,Oct,01,undefined,Electronic Arts  ,EA Canada  ,6.8,,0.28,0.0,0.0,0.02,0.31,https://www.vgchartz.com/game/7580/nba-live-08/?region=All
7015,Disney's Stitch: Experiment 626,PS2,2002,Jun,19,undefined,Disney Interactive Studios  ,High Voltage Software  ,,,0.15,0.12,,0.04,0.31,https://www.vgchartz.com/game/2233/disneys-stitch-experiment-626/?region=All
7016,RPG Tsukuru 2,SNES,1996,Jan,31,undefined,ASCII Entertainment  ,Kuusou Kagaku  ,,,,,0.31,0.0,0.31,https://www.vgchartz.com/game/4202/rpg-tsukuru-2/?region=All
7017,Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994,Jun,10,undefined,Namco  ,Unknown  ,,,,,0.31,,0.31,https://www.vgchartz.com/game/4793/yuu-yuu-hakusho-2-kakutou-no-sho/?region=All
7018,Orphen: Scion of Sorcery,PS2,2000,Oct,23,undefined,Activision  ,Shade  ,,,0.15,0.12,,0.04,0.31,https://www.vgchartz.com/game/18691/orphen-scion-of-sorcery/?region=All
7019,NASCAR 2011: The Game,X360,2011,Mar,29,undefined,Activision  ,Eutechnyx  ,6.0,,0.29,,,0.02,0.31,https://www.vgchartz.com/game/47673/nascar-2011-the-game/?region=All
7020,Shrek: Forever After,DS,2010,May,18,undefined,Activision  ,Griptonite Games  ,,,0.18,0.1,,0.03,0.31,https://www.vgchartz.com/game/43749/shrek-forever-after/?region=All
7021,Ultimate Spider-Man,GBA,2005,Sep,22,undefined,Activision  ,Vicarious Visions  ,,,0.22,0.08,,0.01,0.3,https://www.vgchartz.com/game/25450/ultimate-spider-man/?region=All
7022,F1 2013,X360,2013,Oct,08,undefined,Codemasters  ,Codemasters Birmingham  ,,,0.01,0.28,0.0,0.02,0.3,https://www.vgchartz.com/game/76415/f1-2013/?region=All
7023,Resident Evil: Revelations 2,PS3,2015,Feb,24,undefined,Capcom  ,Capcom  ,,,0.06,0.05,0.17,0.02,0.3,https://www.vgchartz.com/game/84245/resident-evil-revelations-2/?region=All
7024,Contra 4,DS,2007,Nov,13,undefined,Konami  ,WayForward Technologies  ,8.1,,0.28,,0.01,0.02,0.3,https://www.vgchartz.com/game/12622/contra-4/?region=All
7025,Shrek Swamp Kart Speedway,GBA,2002,Mar,19,undefined,TDK Mediactive  ,Prolific  ,,,0.22,0.08,,0.01,0.3,https://www.vgchartz.com/game/14868/shrek-swamp-kart-speedway/?region=All
7026,The King of Fighters XIII,PS3,2011,Nov,22,undefined,Atlus  ,SNK Playmore Corporation  ,7.8,,0.17,0.07,0.04,0.03,0.3,https://www.vgchartz.com/game/43668/the-king-of-fighters-xiii/?region=All
7027,Def Jam Rapstar,X360,2010,Oct,05,undefined,Konami  ,4mm Games / Terminal Reality  ,7.4,,0.26,0.03,,0.02,0.3,https://www.vgchartz.com/game/35161/def-jam-rapstar/?region=All
7028,Gameboy Gallery,GB,1995,Apr,27,undefined,Nintendo  ,Nintendo  ,,,,,0.3,0.0,0.3,https://www.vgchartz.com/game/3390/gameboy-gallery/?region=All
7029,Virtua Cop 2,SAT,1996,Nov,30,undefined,Sega  ,Sega-AM2  ,,,,,0.3,,0.3,https://www.vgchartz.com/game/4659/virtua-cop-2/?region=All
7030,Ehrgeiz,PS,1999,May,04,undefined,Square  ,DreamFactory  ,6.7,,0.17,0.12,,0.02,0.3,https://www.vgchartz.com/game/632/ehrgeiz/?region=All
7031,Sword Art Online: Hollow Fragment,PSV,2014,Aug,19,undefined,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.3,,0.3,https://www.vgchartz.com/game/78733/sword-art-online-hollow-fragment/?region=All
7032,Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,PSP,2005,Oct,20,undefined,Sega  ,Sega  ,,,,,0.3,,0.3,https://www.vgchartz.com/game/2946/touhoku-daigaku-mirai-kagaku-gijutsu-kyoudou-kenkyuu-center-kawashima-ryuuta-kyouju-kanshu-nou-ryoku-trainer-portable/?region=All
7033,Spyro: Attack of the Rhynocs,GBA,2003,Oct,27,undefined,Universal Interactive  ,Digital Eclipse  ,,,0.22,0.08,,0.01,0.3,https://www.vgchartz.com/game/33698/spyro-attack-of-the-rhynocs/?region=All
7034,"Army Men World War: Land, Sea, Air",PS,2000,Sep,20,undefined,3DO  ,3DO  ,,,0.17,0.12,,0.02,0.3,https://www.vgchartz.com/game/17205/army-men-world-war-land-sea-air/?region=All
