Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
12001,Bleed,PC,2013,Jul,03,undefined,Bootdisk Revolution  ,Bootdisk Revolution  ,,,,,,,,https://www.vgchartz.com/game/222739/bleed/?region=All
12002,Major League Baseball 2K6,PSP,2006,Apr,13,undefined,2K Sports  ,Visual Concepts  ,7.4,,0.11,,,0.01,0.12,https://www.vgchartz.com/game/5314/major-league-baseball-2k6/?region=All
12003,Hacker Evolution Duality,PC,2011,Aug,15,undefined,exoSyphen Studios  ,exoSyphen Studios  ,,,,,,,,https://www.vgchartz.com/game/52246/hacker-evolution-duality/?region=All
12004,Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,2010,Jan,21,undefined,Namco Bandai  ,WitchCraft  ,,,,,0.12,,0.12,https://www.vgchartz.com/game/37246/mahou-shoujo-lyrical-nanoha-as-portable-the-battle-of-aces/?region=All
12005,Bloody Good Time,PC,2010,Oct,27,undefined,Ubisoft  ,Outerlight  ,5.0,,,,,,,https://www.vgchartz.com/game/47102/bloody-good-time/?region=All
12006,"Ed, Edd n Eddy: The Mis-Edventures",GBA,2005,Nov,03,undefined,Midway Games  ,A2M  ,,,0.08,0.03,,0.0,0.12,https://www.vgchartz.com/game/26809/ed-edd-n-eddy-the-mis-edventures/?region=All
12007,Onimusha: Blade Warriors,PS2,2004,Mar,24,undefined,Capcom  ,Capcom  ,,,0.06,0.05,,0.02,0.12,https://www.vgchartz.com/game/1678/onimusha-blade-warriors/?region=All
12008,Skate City Heroes,Wii,2008,Nov,24,undefined,Zoo Digital Publishing  ,Zeroscale  ,,,0.11,0.0,,0.01,0.12,https://www.vgchartz.com/game/25838/skate-city-heroes/?region=All
12009,Disney's Extreme Skate Adventure,GC,2003,Sep,04,undefined,Activision  ,Toys for Bob  ,7.4,,0.09,0.02,,0.0,0.12,https://www.vgchartz.com/game/538/disneys-extreme-skate-adventure/?region=All
12010,Akuji the Heartless,PS,1998,Dec,31,undefined,Eidos Interactive  ,Crystal Dynamics  ,6.7,,0.07,0.04,,0.01,0.12,https://www.vgchartz.com/game/41659/akuji-the-heartless/?region=All
12011,NBA 2K2,GC,2002,Mar,20,undefined,Sega  ,Visual Concepts  ,8.8,,0.09,0.02,,0.0,0.12,https://www.vgchartz.com/game/5432/nba-2k2/?region=All
12012,Psychonauts,XB,2005,Apr,19,undefined,Majesco  ,Double Fine Productions  ,8.8,,0.09,0.03,,0.0,0.12,https://www.vgchartz.com/game/1810/psychonauts/?region=All
12013,Subnautica,PS4,2018,Dec,04,undefined,Gearbox Software  ,Unknown Worlds Entertainment  ,,,0.07,0.03,,0.02,0.12,https://www.vgchartz.com/game/222357/subnautica/?region=All
12014,Out of Reach,PC,2018,Jul,13,undefined,Space Boat Studios  ,Space Boat Studios  ,,,,,,,,https://www.vgchartz.com/game/224340/out-of-reach/?region=All
12015,Shufflepuck Cantina Deluxe,PC,2013,Dec,06,undefined,Agharta Studio  ,Agharta Studio  ,,,,,,,,https://www.vgchartz.com/game/81428/shufflepuck-cantina-deluxe/?region=All
12016,Jeremy McGrath Supercross World,GC,2002,Feb,27,undefined,Acclaim Entertainment  ,Acclaim Entertainment  ,2.7,,0.09,0.02,,0.0,0.12,https://www.vgchartz.com/game/1068/jeremy-mcgrath-supercross-world/?region=All
12017,SimAnimals Africa,Wii,2009,Oct,27,undefined,Electronic Arts  ,The Sims Studio  ,5.5,,0.1,0.01,,0.01,0.12,https://www.vgchartz.com/game/36102/simanimals-africa/?region=All
12018,God Eater 2: Rage Burst,PS4,2015,Feb,26,undefined,Namco Bandai Games  ,Namco Bandai Games  ,,,,0.01,0.11,0.0,0.12,https://www.vgchartz.com/game/85228/god-eater-2-rage-burst/?region=All
