Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
9001,Tiger Woods PGA Tour,PSP,2005,Mar,23,undefined,EA Sports  ,EA Canada  ,8.0,,0.19,,,0.02,0.21,https://www.vgchartz.com/game/2427/tiger-woods-pga-tour/?region=All
9002,NHL 2K3,PS2,2002,Nov,10,undefined,Sega  ,Treyarch  ,,,0.1,0.08,,0.03,0.21,https://www.vgchartz.com/game/5531/nhl-2k3/?region=All
9003,Yarudora Series Vol. 2: Kisetsu wo Dakishimete,PS,1998,Jul,23,undefined,Sony Computer Entertainment  ,Sugar & Rockets  ,,,,,0.19,0.01,0.21,https://www.vgchartz.com/game/3618/yarudora-series-vol-2-kisetsu-wo-dakishimete/?region=All
9004,Heisei Kyouiku linkai DS,DS,2006,Dec,21,undefined,Namco Bandai  ,Bandai Namco Games  ,,,,,0.21,,0.21,https://www.vgchartz.com/game/3485/heisei-kyouiku-linkai-ds/?region=All
9005,Discovery Kids: Pony Paradise,DS,2009,Mar,26,undefined,505 Games  ,505 Games  ,,,0.19,,,0.01,0.21,https://www.vgchartz.com/game/31729/discovery-kids-pony-paradise/?region=All
9006,SpongeBob SquarePants: Game Boy Advance Video Volume 3,GBA,2004,Nov,01,undefined,Majesco  ,Majesco Games  ,,,0.15,0.05,,0.0,0.21,https://www.vgchartz.com/game/28409/spongebob-squarepants-game-boy-advance-video-volume-3/?region=All
9007,Pro Yakyuu Spirits 2010,PS3,2010,Apr,01,undefined,Konami  ,PawaPuro Production  ,,,,,0.21,,0.21,https://www.vgchartz.com/game/42474/pro-yakyuu-spirits-2010/?region=All
9008,Ampu-Tea,PC,2014,May,30,undefined,Kiss  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/82735/ampu-tea/?region=All
9009,Final Fight One,GBA,2001,Sep,26,undefined,Capcom  ,Capcom  ,8.2,,0.09,0.03,0.08,0.0,0.21,https://www.vgchartz.com/game/3332/final-fight-one/?region=All
9010,Refunct,PC,N/A,N/A,N/A,undefined,Unknown  ,Dominique Grieshofer  ,,,,,,,,https://www.vgchartz.com/game/223727/refunct/?region=All
9011,Gallop Racer 2003: A New Breed,PS2,2003,Mar,31,undefined,Tecmo  ,Tecmo  ,,,0.04,0.03,0.12,0.01,0.21,https://www.vgchartz.com/game/3384/gallop-racer-2003-a-new-breed/?region=All
9012,BeyBlade VForce: Super Tournament Battle,GC,2003,Sep,23,undefined,Atari  ,Takara  ,2.5,,0.16,0.04,,0.01,0.21,https://www.vgchartz.com/game/188/beyblade-vforce-super-tournament-battle/?region=All
9013,Outlaw Golf 2,XB,2004,Oct,21,undefined,Global Star Software  ,Hypnotix  ,,,0.15,0.04,,0.01,0.21,https://www.vgchartz.com/game/1687/outlaw-golf-2/?region=All
9014,LBX: Little Battlers eXperience,3DS,2015,Aug,21,undefined,Nintendo  ,Level 5  ,7.0,,,,0.21,,0.21,https://www.vgchartz.com/game/70839/lbx-little-battlers-experience/?region=All
9015,Passpartout: The Starving Artist,PC,N/A,N/A,N/A,undefined,Unknown  ,Flamebait Games  ,,,,,,,,https://www.vgchartz.com/game/223728/passpartout-the-starving-artist/?region=All
9016,Guardians of Middle-earth,PC,N/A,N/A,N/A,undefined,Unknown  ,Zombie Studios  ,,,,,,,,https://www.vgchartz.com/game/223729/guardians-of-middle-earth/?region=All
