Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
1001,Ratchet & Clank: Up Your Arsenal,PS2,2004,Nov,03,undefined,Sony Computer Entertainment  ,Insomniac Games  ,9.1,,1.31,0.74,0.31,0.22,2.57,https://www.vgchartz.com/game/6406/ratchet-amp-clank-up-your-arsenal/?region=All
1002,Madden NFL 08,PS2,2007,Aug,14,undefined,EA Sports  ,EA Tiburon  ,,,2.14,0.08,,0.35,2.57,https://www.vgchartz.com/game/7176/madden-nfl-08/?region=All
1003,Clubhouse Games,DS,2006,Oct,09,undefined,Nintendo  ,Agenda  ,8.3,,0.59,1.8,0.73,0.34,3.45,https://www.vgchartz.com/game/368/clubhouse-games/?region=All
1004,NBA 2K14,X360,2013,Oct,11,undefined,2K Sports  ,Visual Concepts  ,,,2.11,0.19,0.0,0.27,2.57,https://www.vgchartz.com/game/72228/nba-2k14/?region=All
1005,Ratchet & Clank Future: Tools of Destruction,PS3,2007,Oct,23,undefined,Sony Computer Entertainment  ,Insomniac Games  ,8.9,,0.93,1.1,0.08,0.45,2.57,https://www.vgchartz.com/game/7256/ratchet-amp-clank-future-tools-of-destruction/?region=All
1006,Hot Shots Golf,PS,1998,May,05,undefined,Sony Computer Entertainment  ,Camelot Software Planning  ,,,0.26,0.17,2.13,,2.56,https://www.vgchartz.com/game/988/hot-shots-golf/?region=All
1007,Dragon Age: Origins,X360,2009,Nov,03,undefined,Electronic Arts  ,BioWare Edmonton  ,8.5,,1.76,0.55,0.03,0.22,2.56,https://www.vgchartz.com/game/33505/dragon-age-origins/?region=All
1008,FIFA 16,PS3,2015,Sep,22,undefined,EA Sports  ,EA Canada  ,9.0,,0.43,1.68,0.05,0.38,2.55,https://www.vgchartz.com/game/85615/fifa-16/?region=All
1009,Pokémon Stadium 2,N64,2001,Mar,28,undefined,Nintendo  ,HAL Laboratory  ,7.9,,1.02,0.36,1.13,0.23,2.73,https://www.vgchartz.com/game/1768/pokemon-stadium-2/?region=All
1010,Madden NFL 09,X360,2008,Aug,12,undefined,EA Sports  ,EA Tiburon  ,8.5,,2.21,0.12,,0.2,2.54,https://www.vgchartz.com/game/14678/madden-nfl-09/?region=All
1011,Space Invaders,2600,2078,Jan,01,undefined,Atari  ,Atari  ,,,2.36,0.14,,0.03,2.53,https://www.vgchartz.com/game/19714/space-invaders/?region=All
1012,Crazy Taxi,PS2,2001,May,14,undefined,Acclaim Entertainment  ,Hitmaker  ,8.2,,1.13,1.12,0.06,0.22,2.52,https://www.vgchartz.com/game/6219/crazy-taxi/?region=All
1013,Perfect Dark,N64,2000,May,22,undefined,Rare  ,Rare Ltd.  ,9.7,,1.55,0.75,0.16,0.06,2.52,https://www.vgchartz.com/game/1724/perfect-dark/?region=All
