Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
14001,WWE Crush Hour,GC,2003,Mar,17,undefined,THQ  ,Pacific Coast Power & Light  ,,,0.06,0.02,,0.0,0.08,https://www.vgchartz.com/game/2733/wwe-crush-hour/?region=All
14002,Assetto Corsa,PS4,2016,Aug,30,undefined,505 Games  ,Kunos Simulazioni  ,,,,0.06,0.01,0.01,0.08,https://www.vgchartz.com/game/119025/assetto-corsa/?region=All
14003,Bangai-O Spirits,DS,2008,Aug,12,undefined,D3 Publisher  ,"Treasure Co., Ltd.  ",8.4,,0.07,0.0,,0.01,0.08,https://www.vgchartz.com/game/14547/bangai-o-spirits/?region=All
14004,Dragon Shadow Spell,PS2,2007,Jan,18,undefined,Flight-Plan  ,Flight-Plan  ,,,,,0.08,,0.08,https://www.vgchartz.com/game/3152/dragon-shadow-spell/?region=All
14005,Imagine: My Restaurant,DS,2009,Mar,27,undefined,Ubisoft  ,Vicarious Visions  ,,,,0.07,,0.01,0.08,https://www.vgchartz.com/game/32713/imagine-my-restaurant/?region=All
14006,Team Elimination Games,Wii,2009,Nov,10,undefined,Ubisoft  ,Ubisoft  ,,,0.07,,,0.01,0.08,https://www.vgchartz.com/game/40277/team-elimination-games/?region=All
14007,Lost in Blue: Shipwrecked,Wii,2008,Sep,23,undefined,Konami  ,Hudson Soft  ,,,0.07,0.0,,0.01,0.08,https://www.vgchartz.com/game/22384/lost-in-blue-shipwrecked/?region=All
14008,Dragon Slayer: Eiyuu Densetsu,GEN,1994,Sep,16,undefined,Sega  ,Sega Falcom  ,,,,,0.08,0.0,0.08,https://www.vgchartz.com/game/6933/dragon-slayer-eiyuu-densetsu/?region=All
14009,Dragon Slayer: The Legend of Heroes,GEN,1994,Sep,16,undefined,Sega  ,Nihon Falcom Corporation  ,,,,,0.08,0.0,0.08,https://www.vgchartz.com/game/71294/dragon-slayer-the-legend-of-heroes/?region=All
14010,Sound Novel Tsukuru,SNES,1996,May,31,undefined,ASCII Entertainment  ,Success  ,,,,,0.08,,0.08,https://www.vgchartz.com/game/3946/sound-novel-tsukuru/?region=All
14011,Disney Infinity 2.0: Marvel Super Heroes,PSV,2015,May,09,undefined,Disney Interactive Studios  ,Avalanche Software  ,,,,0.06,,0.02,0.08,https://www.vgchartz.com/game/85524/disney-infinity-20-marvel-super-heroes/?region=All
14012,Momotarou Dentetsu 11,GC,2002,Dec,05,undefined,Hudson Soft  ,Hudson Soft  ,,,,,0.07,0.0,0.08,https://www.vgchartz.com/game/3819/momotarou-dentetsu-11/?region=All
14013,NHL Hitz 20-03,GC,2002,Sep,15,undefined,Midway Games  ,EA Black Box  ,,,0.06,0.02,,0.0,0.08,https://www.vgchartz.com/game/5538/nhl-hitz-20-03/?region=All
14014,The Idolm@ster,X360,2007,Jan,25,undefined,Namco Bandai  ,Bandai Namco Games  ,,,,,0.08,,0.08,https://www.vgchartz.com/game/4545/the-idolmster/?region=All
14015,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Wii,2011,Sep,13,undefined,THQ  ,THQ  ,,,0.04,0.03,,0.01,0.08,https://www.vgchartz.com/game/62651/the-penguins-of-madagascar-dr-blowhole-returns-again/?region=All
14016,Child of Light,PSV,2014,Jul,01,undefined,Ubisoft  ,Ubisoft Montreal  ,,,,0.05,0.02,0.01,0.08,https://www.vgchartz.com/game/83573/child-of-light/?region=All
14017,Guilty Gear XX Slash,PS2,2006,Apr,13,undefined,Sammy Corporation  ,Arc System Works  ,,,,,0.08,,0.08,https://www.vgchartz.com/game/3438/guilty-gear-xx-slash/?region=All
14018,Urban Reign,PS2,2005,Sep,13,undefined,Namco  ,Namco  ,7.5,,0.04,0.03,,0.01,0.08,https://www.vgchartz.com/game/2583/urban-reign/?region=All
14019,Whac-A-Mole,DS,2005,Sep,21,undefined,Activision  ,DC Studios  ,,,0.07,,,0.01,0.08,https://www.vgchartz.com/game/2657/whac-a-mole/?region=All
14020,Slayers Royal 2,SAT,1998,Sep,03,undefined,Kadokawa Shoten  ,Onion Egg  ,,,,,0.08,0.0,0.08,https://www.vgchartz.com/game/4334/slayers-royal-2/?region=All
14021,Super Robot Taisen Z Special Disc,PS2,2009,Mar,05,undefined,Namco Bandai  ,Banpresto  ,,,,,0.08,,0.08,https://www.vgchartz.com/game/32806/super-robot-taisen-z-special-disc/?region=All
14022,Dawn of Heroes,DS,2010,Aug,17,undefined,Majesco  ,Wicked Studios  ,,,0.07,,,0.01,0.08,https://www.vgchartz.com/game/41221/dawn-of-heroes/?region=All
14023,Resident Evil 3: Nemesis,GC,2003,Jan,15,undefined,Capcom  ,Capcom  ,5.7,,0.06,0.02,,0.0,0.08,https://www.vgchartz.com/game/1883/resident-evil-3-nemesis/?region=All
14024,All-Star Baseball 2004,GC,2003,Feb,23,undefined,Acclaim Entertainment  ,Acclaim Entertainment  ,,,0.06,0.02,,0.0,0.08,https://www.vgchartz.com/game/4818/all-star-baseball-2004/?region=All
14025,Lost Heroes 2,3DS,2015,Jan,29,undefined,Bandai Namco Games  ,M2  ,,,,,0.08,,0.08,https://www.vgchartz.com/game/85162/lost-heroes-2/?region=All
14026,Man vs. Wild,Wii,2011,Apr,26,undefined,Crave Entertainment  ,Scientifically Proven  ,,,0.07,,,0.0,0.08,https://www.vgchartz.com/game/45860/man-vs-wild/?region=All
14027,Aliens in the Attic,Wii,2009,Jul,28,undefined,Playlogic Game Factory  ,Playlogic Game Factory  ,,,0.07,0.0,,0.01,0.08,https://www.vgchartz.com/game/35219/aliens-in-the-attic/?region=All
14028,Rick & Morty Virtual Rick-Ality,PS4,2018,Apr,24,undefined,Nighthawk Interactive  ,Owlchemy Labs  ,,,0.06,,,0.01,0.08,https://www.vgchartz.com/game/221176/rick-amp-morty-virtual-rick-ality/?region=All
14029,Salon Superstar,DS,2009,Dec,08,undefined,505 Games  ,505 Games  ,,,0.07,,,0.0,0.08,https://www.vgchartz.com/game/41222/salon-superstar/?region=All
14030,SCORE International Baja 1000: The Official Game,PS3,2008,Oct,28,undefined,Activision  ,Left Field Productions  ,,,0.07,0.0,,0.01,0.08,https://www.vgchartz.com/game/28572/score-international-baja-1000-the-official-game/?region=All
