Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
13001,Naruto Shippuuden: Gekitou Ninja Taisen! EX,Wii,2007,Feb,22,undefined,Takara Tomy   ,8ing/Raizing  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/3887/naruto-shippuuden-gekitou-ninja-taisen-ex/?region=All
13002,Universal Studios Theme Parks Adventure,GC,2001,Dec,18,undefined,Kemco  ,Kemco  ,5.1,,0.08,0.02,,0.0,0.1,https://www.vgchartz.com/game/2571/universal-studios-theme-parks-adventure/?region=All
13003,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009,Aug,27,undefined,Nintendo  ,Nintendo  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/36800/nihon-keizai-shinbunsha-kanshuu-shiranai-mamade-wa-son-o-suru-mono-ya-okane-no-shikumi-ds/?region=All
13004,Fifi and the Flowertots,DS,2009,Jul,17,undefined,Avanquest  ,Avanquest Software  ,,,,0.09,,0.01,0.1,https://www.vgchartz.com/game/43724/fifi-and-the-flowertots/?region=All
13005,Just Dance 2018,X360,2017,Oct,24,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.06,0.03,,0.01,0.1,https://www.vgchartz.com/game/203198/just-dance-2018/?region=All
13006,Piglet's Big Game,PS2,2003,Mar,19,undefined,Gotham Games  ,Doki Denki  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/5577/piglets-big-game/?region=All
13007,Ben 10 Galactic Racing,X360,2011,Oct,18,undefined,D3 Publisher  ,Monkey Bar Games  ,,,0.07,0.02,,0.01,0.1,https://www.vgchartz.com/game/51936/ben-10-galactic-racing/?region=All
13008,Mystery Stories: Curse of the Ancient Spirits,DS,2011,Jun,28,undefined,Unknown  ,Avanquest Software  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/50901/mystery-stories-curse-of-the-ancient-spirits/?region=All
13009,MySims SkyHeroes,X360,2010,Sep,28,undefined,Electronic Arts  ,The Sims Studio  ,,,0.09,0.0,,0.01,0.1,https://www.vgchartz.com/game/45041/mysims-skyheroes/?region=All
13010,Real Bout Garou Densetsu,SAT,1996,Sep,20,undefined,SNK  ,SNK Corporation  ,,,,,0.1,0.0,0.1,https://www.vgchartz.com/game/4150/real-bout-garou-densetsu/?region=All
13011,Cate West: The Vanishing Files,DS,2008,Dec,15,undefined,Destineer  ,Magellan Interactive  ,,,0.08,0.01,,0.01,0.1,https://www.vgchartz.com/game/28172/cate-west-the-vanishing-files/?region=All
13012,Project FIFA World Cup,PS2,2002,May,30,undefined,EA Sports  ,Electronic Arts  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/4116/project-fifa-world-cup/?region=All
13013,The BIGS 2,PSP,2009,Jul,07,undefined,2K Sports  ,Blue Castle Games  ,6.8,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/33341/the-bigs-2/?region=All
13014,Rocky: Legends,XB,2004,Sep,28,undefined,Ubisoft  ,Venom Games  ,,,0.07,0.02,,0.0,0.1,https://www.vgchartz.com/game/1930/rocky-legends/?region=All
13015,Lord of Apocalypse,PSP,2011,Dec,17,undefined,Square Enix  ,Access Games  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/70367/lord-of-apocalypse/?region=All
13016,Jikkyou Powerful Pro Yakyuu 2013,PSV,2013,Oct,24,undefined,Konami Digital Entertainment  ,Konami  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/74990/jikkyou-powerful-pro-yakyuu-2013/?region=All
13017,NeverDead,X360,2012,Jan,31,undefined,Konami  ,Rebellion Developments  ,,,0.06,0.03,0.0,0.01,0.1,https://www.vgchartz.com/game/45749/neverdead/?region=All
13018,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,2004,Aug,10,undefined,Nintendo  ,Nintendo  ,,,,,0.1,0.0,0.1,https://www.vgchartz.com/game/3270/famicom-mini-famicom-tantei-club-part-ii-ushiro-ni-tatsu-shoujo-zenkouhen/?region=All
13019,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,2008,Nov,27,undefined,Alchemist  ,Alchemist  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/28590/higurashi-no-nakukoru-ni-kizuna-dai-ni-kan-sou/?region=All
13020,Star Trek: Shattered Universe,PS2,2004,Jan,13,undefined,TDK Mediactive  ,Starsphere Interactive  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/5761/star-trek-shattered-universe/?region=All
13021,Who Wants to Be A Millionaire?,X360,2011,Nov,01,undefined,Ubisoft  ,Ubisoft  ,,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/67134/who-wants-to-be-a-millionaire/?region=All
13022,Fantasia: Music Evolved,X360,2014,Oct,21,undefined,Disney Interactive Studios  ,Harmonix Music Systems  ,,,0.08,0.01,,0.01,0.1,https://www.vgchartz.com/game/73088/fantasia-music-evolved/?region=All
13023,Pajama Sam: Don't Fear the Dark,Wii,2008,Aug,26,undefined,Majesco  ,Mistic Studios  ,,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/21600/pajama-sam-dont-fear-the-dark/?region=All
13024,The Land Before Time: Great Valley Racing Adventure,PS,2001,May,04,undefined,TDK Mediactive  ,Vision Scape  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/49582/the-land-before-time-great-valley-racing-adventure/?region=All
13025,The Walking Dead: Season Two,X360,2014,Oct,14,undefined,Telltale Games  ,Telltale Games  ,,,0.04,0.05,,0.01,0.1,https://www.vgchartz.com/game/77077/the-walking-dead-season-two/?region=All
13026,King of Clubs: Mini Golf,Wii,2008,Aug,04,undefined,Crave Entertainment  ,Oxygen Interactive  ,,,0.09,0.0,,0.01,0.1,https://www.vgchartz.com/game/25565/king-of-clubs-mini-golf/?region=All
13027,Ultra Street Fighter IV,PS4,2015,May,26,undefined,Sony Computer Entertainment  ,Capcom  ,,,,0.08,,0.01,0.1,https://www.vgchartz.com/game/85764/ultra-street-fighter-iv/?region=All
13028,Let's Sing 2016,PS4,2015,Oct,23,undefined,Ravenscourt  ,Voxler  ,,,0.08,,,0.02,0.1,https://www.vgchartz.com/game/85994/lets-sing-2016/?region=All
13029,Disney Sing It! High School Musical 3: Senior Year,X360,2009,Feb,17,undefined,Disney Interactive Studios  ,Zoe Mode  ,,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/32262/disney-sing-it-high-school-musical-3-senior-year/?region=All
13030,The Smurfs 2,WiiU,2013,Jul,23,undefined,Ubisoft  ,Way Forward  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/74655/the-smurfs-2/?region=All
13031,MTX Mototrax,XB,2004,Mar,02,undefined,Activision  ,Left Field Productions  ,,,0.07,0.02,,0.0,0.1,https://www.vgchartz.com/game/1442/mtx-mototrax/?region=All
13032,Blast Chamber,PS,1996,Sep,30,undefined,Activision  ,Attention To Detail  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/17459/blast-chamber/?region=All
13033,Championship Pony,DS,2008,Mar,21,undefined,"Destination Software, Inc  ",Unknown  ,,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/16648/championship-pony/?region=All
13034,EyeToy: Operation Spy,PS2,2005,Nov,15,undefined,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/694/eyetoy-operation-spy/?region=All
13035,Petz Hamsterz Superstarz,DS,2009,Nov,17,undefined,Ubisoft  ,Ubisoft  ,,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/40679/petz-hamsterz-superstarz/?region=All
13036,Sega Genesis Classics,XOne,2018,May,29,undefined,Sega  ,Sega  ,,,0.06,0.03,,0.01,0.1,https://www.vgchartz.com/game/221368/sega-genesis-classics/?region=All
13037,MotoGP 07,PS2,2007,Oct,23,undefined,Capcom  ,Milestone S.r.l.  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/12354/motogp-07/?region=All
13038,Escape Dead Island,PS3,2014,Nov,18,undefined,Deep Silver  ,Fatshark  ,,,0.05,0.03,,0.02,0.1,https://www.vgchartz.com/game/83356/escape-dead-island/?region=All
13039,Bejeweled Twist,DS,2010,Jan,19,undefined,PopCap Games  ,Griptonite Games  ,,,,0.08,,0.01,0.1,https://www.vgchartz.com/game/39328/bejeweled-twist/?region=All
13040,Option Tuning Car Battle,PS,1998,Jan,15,undefined,MTO  ,Unknown  ,,,,,0.09,0.01,0.1,https://www.vgchartz.com/game/3957/option-tuning-car-battle/?region=All
13041,Harvest Moon: Frantic Farming,DS,2009,Aug,25,undefined,Natsume  ,Natsume  ,7.0,,0.08,0.01,,0.01,0.1,https://www.vgchartz.com/game/31883/harvest-moon-frantic-farming/?region=All
13042,Kuroko no Basuke: Miracles to Victory,3DS,2014,Feb,20,undefined,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/79228/kuroko-no-basuke-miracles-to-victory/?region=All
