Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
8001,Bomberman Tournament,GBA,2001,Jun,26,undefined,Activision  ,Hudson Soft  ,8.8,,0.1,0.04,0.1,0.01,0.25,https://www.vgchartz.com/game/2940/bomberman-tournament/?region=All
8002,Beyblade: Metal Fusion,DS,2010,Nov,09,undefined,Hudson Soft  ,Hudson Soft  ,,,0.07,0.03,0.14,0.01,0.25,https://www.vgchartz.com/game/38420/beyblade-metal-fusion/?region=All
8003,Medal of Honor European Assault,GC,2005,Jun,07,undefined,Electronic Arts  ,EA Los Angeles  ,7.9,,0.19,0.05,,0.01,0.25,https://www.vgchartz.com/game/5335/medal-of-honor-european-assault/?region=All
8004,Zoo Tycoon 2: Ultimate Collection,PC,2008,Dec,05,undefined,Microsoft Game Studios  ,Blue Fang Games  ,,,0.04,0.19,,0.03,0.25,https://www.vgchartz.com/game/40471/zoo-tycoon-2-ultimate-collection/?region=All
8005,Billy Hatcher and the Giant Egg,GC,2003,Sep,23,undefined,Sega  ,Sonic Team  ,7.3,,0.19,0.05,,0.01,0.25,https://www.vgchartz.com/game/197/billy-hatcher-and-the-giant-egg/?region=All
8006,NHL 08,X360,2007,Sep,12,undefined,Electronic Arts  ,Unknown  ,,,0.22,0.01,,0.02,0.25,https://www.vgchartz.com/game/7382/nhl-08/?region=All
8007,Midway's Greatest Arcade Hits,GBA,2001,Nov,22,undefined,Midway Games  ,Pocket Studios  ,,,0.18,0.07,,0.0,0.25,https://www.vgchartz.com/game/14956/midways-greatest-arcade-hits/?region=All
8008,Imagine: Ballet Star,DS,2008,Nov,18,undefined,Ubisoft  ,Spike Co.  ,,,0.23,0.0,,0.02,0.25,https://www.vgchartz.com/game/28158/imagine-ballet-star/?region=All
8009,Final Fantasy II,WS,2001,May,02,undefined,Square  ,SquareSoft  ,,,,,0.25,0.0,0.25,https://www.vgchartz.com/game/3308/final-fantasy-ii/?region=All
8010,WipEout Fusion,PS2,2002,Jun,17,undefined,BAM! Entertainment  ,Studio Liverpool  ,,,0.12,0.1,,0.03,0.25,https://www.vgchartz.com/game/2682/wipeout-fusion/?region=All
8011,Marie no Atelier: Salburg no Renkinjutsushi,PS,1997,May,23,undefined,Gust  ,Gust  ,,,,,0.23,0.02,0.25,https://www.vgchartz.com/game/2869/marie-no-atelier-salburg-no-renkinjutsushi/?region=All
8012,Golden Nugget Casino,GBA,2004,Nov,16,undefined,Majesco  ,Majesco Games  ,,,0.18,0.07,,0.0,0.25,https://www.vgchartz.com/game/27024/golden-nugget-casino/?region=All
8013,NHL 06,XB,2005,Sep,06,undefined,EA Sports  ,EA Canada  ,,,0.19,0.05,,0.01,0.25,https://www.vgchartz.com/game/1615/nhl-06/?region=All
8014,Animal Paradise,DS,2008,Sep,23,undefined,Empire Interactive  ,Rekoo  ,,,0.09,0.14,,0.02,0.25,https://www.vgchartz.com/game/14469/animal-paradise/?region=All
8015,Atari Anthology,XB,2004,Nov,16,undefined,Atari  ,Digital Eclipse  ,,,0.19,0.05,,0.01,0.25,https://www.vgchartz.com/game/127/atari-anthology/?region=All
8016,Crash Tag Team Racing,PSP,2005,Nov,10,undefined,VU Games  ,Radical Entertainment  ,6.3,,0.16,0.06,,0.03,0.25,https://www.vgchartz.com/game/4992/crash-tag-team-racing/?region=All
8017,Ultimate Fighting Championship,PS,2000,Nov,13,undefined,Crave Entertainment  ,Opus Studio  ,,,0.14,0.09,,0.02,0.25,https://www.vgchartz.com/game/35861/ultimate-fighting-championship/?region=All
8018,XIII,XB,2003,Nov,24,undefined,Ubisoft  ,Southend Interactive  ,,,0.16,0.08,,0.01,0.25,https://www.vgchartz.com/game/2775/xiii/?region=All
8019,Star Trek: The Game,PS3,2013,Apr,23,undefined,Namco Bandai Games  ,Digital Extremes  ,,,0.1,0.11,,0.04,0.25,https://www.vgchartz.com/game/71338/star-trek-the-game/?region=All
8020,Pixel Puzzles: Japan,PC,2014,Apr,17,undefined,DL Softworks  ,DL Softworks  ,,,,,,,,https://www.vgchartz.com/game/81342/pixel-puzzles-japan/?region=All
8021,MotoGP '07,X360,2007,Aug,27,undefined,THQ  ,Climax Studios  ,7.7,8.0,0.23,0.0,,0.02,0.25,https://www.vgchartz.com/game/7226/motogp-07/?region=All
8022,My Virtual Tutor: Reading Adventure Kindergarten to First,DS,2009,Sep,11,undefined,Mentor Interactive  ,1st Playable Productions  ,,,0.23,,,0.02,0.25,https://www.vgchartz.com/game/36328/my-virtual-tutor-reading-adventure-kindergarten-to-first/?region=All
8023,Silent Hunter 5: Battle of the Atlantic,PC,2010,Mar,02,undefined,Ubisoft  ,Ubisoft Romania  ,,,,0.21,,0.04,0.25,https://www.vgchartz.com/game/37848/silent-hunter-5-battle-of-the-atlantic/?region=All
