Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
15001,Rock Blast,DS,2008.0,Aug,5.0,undefined,UFO Interactive  ,UFO Interactive  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/19431/rock-blast/?region=All,Puzzle
15002,Warriors of the Lost Empire,PSP,2007.0,Dec,13.0,undefined,UFO Interactive  ,Goshow  ,,,0.05,0.0,,0.0,0.06,https://www.vgchartz.com/game/13188/warriors-of-the-lost-empire/?region=All,Role-Playing
15003,Showtime Championship Boxing,DS,2007.0,Nov,10.0,undefined,DSI Games  ,Nikitova Games  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/34062/showtime-championship-boxing/?region=All,Fighting
15004,Little League World Series Baseball 2008,DS,2008.0,Aug,5.0,undefined,Activision  ,Black Lantern Studios  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/23583/little-league-world-series-baseball-2008/?region=All,Sports
15005,Combat Elite: WWII Paratroopers,PS2,2005.0,Nov,21.0,undefined,SouthPeak Interactive  ,BattleBorne  ,,,0.03,0.02,,0.01,0.06,https://www.vgchartz.com/game/4973/combat-elite-wwii-paratroopers/?region=All,Shooter
15006,Power Pro Success Legends,PSP,2010.0,Feb,25.0,undefined,Konami  ,PawaPuro Production  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/42377/power-pro-success-legends/?region=All,Sports
15007,Killer Loop,PS,1999.0,Oct,31.0,undefined,Crave Entertainment  ,VCC Entertainment  ,,,0.03,0.02,,0.0,0.06,https://www.vgchartz.com/game/33940/killer-loop/?region=All,Racing
15008,Cabela's Dangerous Hunts: Ultimate Challenge,PSP,2006.0,Apr,4.0,undefined,Activision  ,FUN Labs  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/291/cabelas-dangerous-hunts-ultimate-challenge/?region=All,Sports
15009,Worldwide Soccer,SAT,1995.0,Jan,1.0,undefined,Sega  ,Sega  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/4268/worldwide-soccer/?region=All,Sports
15010,Puzzler Collection,Wii,2008.0,Jul,29.0,undefined,Zoo Digital Publishing  ,Route 1 Games  ,,,0.05,0.0,,0.0,0.06,https://www.vgchartz.com/game/24561/puzzler-collection/?region=All,Puzzle
15011,Toriko: Gourmet Battle!,3DS,2013.0,Jul,4.0,undefined,Namco Bandai Games  ,Bandai Namco Games  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/74468/toriko-gourmet-battle/?region=All,Role-Playing
15012,Jewel Link Chronicles: Mountains of Madness,DS,2012.0,Feb,8.0,undefined,Unknown  ,Avanquest Software  ,,,,0.05,,0.01,0.06,https://www.vgchartz.com/game/70159/jewel-link-chronicles-mountains-of-madness/?region=All,Puzzle
15013,Commandos: Strike Force,PS2,2006.0,Apr,4.0,undefined,Eidos Interactive  ,Pyro Studios  ,,,0.03,0.02,,0.01,0.06,https://www.vgchartz.com/game/4976/commandos-strike-force/?region=All,Shooter
15014,Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,2005.0,Jun,28.0,undefined,Bandai  ,Capcom  ,,,0.03,0.02,,0.01,0.06,https://www.vgchartz.com/game/1395/mobile-suit-gundam-gundam-vs-zeta-gundam/?region=All,Shooter
15015,Rapala Pro Fishing,GBA,2004.0,Aug,31.0,undefined,Activision  ,Torus Games  ,,,0.04,0.02,,0.0,0.06,https://www.vgchartz.com/game/23556/rapala-pro-fishing/?region=All,Sports
15016,Nobunaga no Yabou: Souzou,PS4,2014.0,Feb,22.0,undefined,Tecmo Koei  ,Koei Tecmo Games  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/79248/nobunaga-no-yabou-souzou/?region=All,Strategy
15017,Guilty Gear X: Advance Edition,GBA,2002.0,Aug,29.0,undefined,Sammy Corporation  ,Arc System Works  ,7.3,,0.04,0.02,,0.0,0.06,https://www.vgchartz.com/game/13568/guilty-gear-x-advance-edition/?region=All,Fighting
15018,Fate/Tiger Colosseum Upper,PSP,2008.0,Aug,28.0,undefined,Capcom  ,Cavia Inc.  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/26577/fatetiger-colosseum-upper/?region=All,Fighting
15019,Unreal Tournament III,PC,2007.0,Nov,19.0,undefined,Midway Games  ,Epic Games  ,8.4,,,0.05,,0.01,0.06,https://www.vgchartz.com/game/12713/unreal-tournament-iii/?region=All,Shooter
15020,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe,DS,2009.0,Apr,9.0,undefined,Rocket Company  ,Rocket Company  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/33611/zaidan-houjin-nippon-kanji-nouryoku-kentei-kyoukai-kounin-kanken-ds3-deluxe/?region=All,Misc
15021,Pop Cutie! Street Fashion Simulation,DS,2008.0,Oct,6.0,undefined,KOEI  ,Koei  ,,,0.06,,,0.0,0.06,https://www.vgchartz.com/game/23729/pop-cutie-street-fashion-simulation/?region=All,Simulation
15022,S.T.A.L.K.E.R.: Call of Pripyat,PC,2010.0,Feb,2.0,undefined,Viva Media  ,GSC Game World  ,8.0,,0.0,0.05,,0.01,0.06,https://www.vgchartz.com/game/34014/stalker-call-of-pripyat/?region=All,Shooter
15023,Dragon Quest X: All in One Package,PS4,2017.0,Aug,17.0,undefined,Square Enix  ,Square Enix  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/198594/dragon-quest-x-all-in-one-package/?region=All,Role-Playing
15024,Ford Racing 3,GBA,2005.0,Nov,3.0,undefined,"Destination Software, Inc  ",Visual Impact  ,,,0.04,0.02,,0.0,0.06,https://www.vgchartz.com/game/26889/ford-racing-3/?region=All,Racing
15025,Samurai Warriors 4-II,PSV,2015.0,Sep,29.0,undefined,Tecmo Koei  ,Omega Force  ,,,,,0.06,,0.06,https://www.vgchartz.com/game/85176/samurai-warriors-4-ii/?region=All,Action
