Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
3001,Homefront,PS3,2011.0,Mar,15.0,undefined,THQ  ,Kaos Studios  ,6.6,,0.32,0.4,0.04,0.15,0.9,https://www.vgchartz.com/game/34845/homefront/?region=All,Shooter
3002,Lost Odyssey,X360,2008.0,Feb,12.0,undefined,Microsoft Game Studios  ,Mistwalker Corporation / Feelplus Inc.  ,7.5,9.3,0.45,0.26,0.11,0.08,0.9,https://www.vgchartz.com/game/7637/lost-odyssey/?region=All,Role-Playing
3003,DJ Hero,PS3,2009.0,Oct,27.0,undefined,Activision  ,FreeStyleGames  ,8.5,,0.42,0.34,,0.15,0.9,https://www.vgchartz.com/game/34272/dj-hero/?region=All,Misc
3004,Marvel: Ultimate Alliance 2,X360,2009.0,Sep,15.0,undefined,Activision  ,Vicarious Visions  ,7.4,,0.68,0.15,,0.08,0.9,https://www.vgchartz.com/game/34456/marvel-ultimate-alliance-2/?region=All,Role-Playing
3005,Cars 2,Wii,2011.0,Jun,21.0,undefined,Disney Interactive Studios  ,Avalanche Software  ,8.0,,0.43,0.38,,0.1,0.9,https://www.vgchartz.com/game/50216/cars-2/?region=All,Racing
3006,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,1996.0,Dec,20.0,undefined,ASCII Entertainment  ,KID Corporation  ,,,,,0.9,,0.9,https://www.vgchartz.com/game/3786/mini-yonku-shining-scorpion-lets-amp-go/?region=All,Racing
3007,MLB 2005,PS2,2004.0,Mar,16.0,undefined,Sony Computer Entertainment  ,989 Sports  ,,,0.44,0.35,,0.12,0.9,https://www.vgchartz.com/game/1377/mlb-2005/?region=All,Sports
3008,Burnout Revenge,PS2,2005.0,Sep,13.0,undefined,Electronic Arts  ,Criterion Games  ,9.0,,0.75,0.03,,0.12,0.9,https://www.vgchartz.com/game/4917/burnout-revenge/?region=All,Racing
3009,SOCOM 4: U.S. Navy SEALs,PS3,2011.0,Apr,19.0,undefined,Sony Computer Entertainment  ,Zipper Interactive  ,7.0,,0.66,0.12,0.04,0.09,0.9,https://www.vgchartz.com/game/35670/socom-4-us-navy-seals/?region=All,Shooter
3010,James Cameron's Avatar: The Game,PS3,2009.0,Dec,1.0,undefined,Ubisoft  ,Ubisoft Montreal  ,5.8,,0.32,0.43,,0.15,0.9,https://www.vgchartz.com/game/35152/james-camerons-avatar-the-game/?region=All,undefined
