Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
9028,Kingdom Hearts: The Story So Far,PS4,2018.0,Oct,30.0,undefined,Square Enix  ,Square Enix  ,,,0.17,,,0.04,0.2,https://www.vgchartz.com/game/222928/kingdom-hearts-the-story-so-far/?region=All,undefined
9029,Beyblade G-Revolution,GBA,2004.0,Nov,18.0,undefined,Atari  ,Full Fat  ,2.4,,0.15,0.05,,0.0,0.2,https://www.vgchartz.com/game/14931/beyblade-g-revolution/?region=All,Action
9030,Data Hacker: Corruption,PC,,,,undefined,Unknown  ,New Reality Games  ,,,,,,,,https://www.vgchartz.com/game/223730/data-hacker-corruption/?region=All,undefined
9031,Jillian Michaels' Fitness Adventure,X360,2011.0,Nov,8.0,undefined,Majesco  ,n-Space  ,,,0.17,0.02,,0.02,0.2,https://www.vgchartz.com/game/63766/jillian-michaels-fitness-adventure/?region=All,Misc
9032,Oddworld: Abe's Oddysee New N' Tasty!,PC,2015.0,Feb,25.0,undefined,Oddworld Inhabitants  ,Just Add Water  ,,,,,,,,https://www.vgchartz.com/game/71006/oddworld-abes-oddysee-new-n-tasty/?region=All,undefined
9033,Disney Art Academy,3DS,2016.0,May,13.0,undefined,Nintendo  ,Headstrong Games  ,,,0.04,0.06,0.1,0.01,0.2,https://www.vgchartz.com/game/94686/disney-art-academy/?region=All,Action
9034,Trade & Battle: Card Hero,GB,2000.0,Feb,21.0,undefined,Nintendo  ,Intelligent Systems  ,,,,,0.2,0.0,0.2,https://www.vgchartz.com/game/4624/trade-amp-battle-card-hero/?region=All,Strategy
9035,EVE Online,PC,2003.0,May,6.0,undefined,Simon & Schuster Interactive  ,CCP  ,,,,0.19,,0.01,0.2,https://www.vgchartz.com/game/27062/eve-online/?region=All,Role-Playing
9036,World Championship Cards,PSP,2008.0,May,27.0,undefined,Crave Entertainment  ,Crave Entertainment  ,3.9,,0.19,,,0.02,0.2,https://www.vgchartz.com/game/14527/world-championship-cards/?region=All,Misc
9037,Code of Princess,3DS,2012.0,Oct,9.0,undefined,Atlus  ,Studio Saizensen  ,7.2,,0.16,,0.03,0.02,0.2,https://www.vgchartz.com/game/70710/code-of-princess/?region=All,Action
