Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
4001,X-Men Legends II: Rise of Apocalypse,PS2,2005.0,Sep,20.0,undefined,Activision  ,Raven Software  ,8.5,,0.53,0.02,,0.09,0.63,https://www.vgchartz.com/game/6021/x-men-legends-ii-rise-of-apocalypse/?region=All,Role-Playing
4002,White Knight Chronicles II,PS3,2011.0,Sep,13.0,undefined,D3 Publisher  ,Level 5  ,5.4,,0.23,0.09,0.27,0.04,0.63,https://www.vgchartz.com/game/39363/white-knight-chronicles-ii/?region=All,Role-Playing
4003,Nightmare Creatures,PS,1997.0,Oct,1.0,undefined,Activision  ,Kalisto Entertainment  ,,,0.35,0.24,,0.04,0.63,https://www.vgchartz.com/game/5548/nightmare-creatures/?region=All,Action
4004,Disney Sing It: Party Hits,Wii,2010.0,Sep,28.0,undefined,Disney Interactive Studios  ,Zoe Mode  ,,,0.48,0.1,,0.05,0.63,https://www.vgchartz.com/game/45899/disney-sing-it-party-hits/?region=All,Misc
4005,LEGO Star Wars II: The Original Trilogy,X360,2006.0,Sep,12.0,undefined,LucasArts  ,Traveller's Tales  ,8.2,,0.55,0.03,,0.05,0.63,https://www.vgchartz.com/game/5269/lego-star-wars-ii-the-original-trilogy/?region=All,Action
4006,SingStar Queen,PS2,2009.0,Aug,4.0,undefined,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.08,0.12,,0.44,0.63,https://www.vgchartz.com/game/31309/singstar-queen/?region=All,Misc
4007,NBA Live 08,PS3,2007.0,Oct,1.0,undefined,Electronic Arts  ,EA Canada  ,,,0.56,0.02,0.01,0.05,0.63,https://www.vgchartz.com/game/7579/nba-live-08/?region=All,Sports
4008,The Descendant,PC,,,,undefined,Unknown  ,Gaming Corps AB  ,,,,,,,,https://www.vgchartz.com/game/223440/the-descendant/?region=All,undefined
4009,WWE 2K16,XOne,2015.0,Oct,27.0,undefined,Take-Two Interactive  ,Yuke's  ,,,0.34,0.24,,0.06,0.63,https://www.vgchartz.com/game/85560/wwe-2k16/?region=All,Sports
4010,Tony Hawk's Pro Skater 2x,XB,2001.0,Nov,14.0,undefined,Activision  ,Treyarch  ,,,0.41,0.19,,0.03,0.63,https://www.vgchartz.com/game/2488/tony-hawks-pro-skater-2x/?region=All,Sports
