Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
17001,Disney's Hide & Sneak,GC,2003.0,Nov,30.0,undefined,Capcom  ,Capcom  ,4.7,,0.03,0.01,,0.0,0.03,https://www.vgchartz.com/game/14124/disneys-hide-amp-sneak/?region=All,Action
17002,Nobunaga no Yabou: Kakushin with Power-Up Kit,PS2,2008.0,Mar,6.0,undefined,KOEI  ,Koei  ,,,,,0.03,,0.03,https://www.vgchartz.com/game/17386/nobunaga-no-yabou-kakushin-with-power-up-kit/?region=All,Strategy
17003,Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,2013.0,Aug,22.0,undefined,Namco Bandai Games  ,Banpresto  ,,,,,0.03,,0.03,https://www.vgchartz.com/game/74976/super-robot-taisen-og-saga-masou-kishin-iii-pride-of-justice/?region=All,Strategy
17004,Farming 2017 - The Simulation,PC,2016.0,Aug,19.0,undefined,UIG Entertainment  ,UIG Entertainment  ,,,,0.03,,0.0,0.03,https://www.vgchartz.com/game/92057/farming-2017-the-simulation/?region=All,Simulation
17005,Raw Danger!,PS2,2007.0,Jun,19.0,undefined,Agetec  ,Irem Software Engineering  ,,,0.02,0.01,,0.0,0.03,https://www.vgchartz.com/game/6619/raw-danger/?region=All,Action
17006,Legend of the Dragon,PSP,2007.0,May,29.0,undefined,Game Factory  ,Neko Entertainment  ,2.9,,0.03,0.0,,0.0,0.03,https://www.vgchartz.com/game/6087/legend-of-the-dragon/?region=All,Fighting
17007,Monster Rancher Hop-A-Bout,PS,2000.0,Dec,10.0,undefined,Tecmo  ,Tecmo  ,,,0.02,0.01,,0.0,0.03,https://www.vgchartz.com/game/34382/monster-rancher-hop-a-bout/?region=All,Action
17008,Custom Beat Battle: Draglade 2,DS,2008.0,Jul,10.0,undefined,Namco Bandai  ,Dimps Corporation  ,,,,,0.03,,0.03,https://www.vgchartz.com/game/24772/custom-beat-battle-draglade-2/?region=All,Fighting
17009,de Blob 2,NS,2018.0,Aug,28.0,undefined,THQ Nordic  ,THQ Nordic  ,,,0.03,,,0.0,0.03,https://www.vgchartz.com/game/221108/de-blob-2/?region=All,Platform
17010,Gotouchi Kenkei DS,DS,2006.0,Nov,22.0,undefined,Spike  ,Spike  ,,,,,0.03,,0.03,https://www.vgchartz.com/game/3421/gotouchi-kenkei-ds/?region=All,Misc
