Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
14001,WWE Crush Hour,GC,2003.0,Mar,17.0,undefined,THQ  ,Pacific Coast Power & Light  ,,,0.06,0.02,,0.0,0.08,https://www.vgchartz.com/game/2733/wwe-crush-hour/?region=All,Racing
14002,Assetto Corsa,PS4,2016.0,Aug,30.0,undefined,505 Games  ,Kunos Simulazioni  ,,,,0.06,0.01,0.01,0.08,https://www.vgchartz.com/game/119025/assetto-corsa/?region=All,Racing
14003,Bangai-O Spirits,DS,2008.0,Aug,12.0,undefined,D3 Publisher  ,"Treasure Co., Ltd.  ",8.4,,0.07,0.0,,0.01,0.08,https://www.vgchartz.com/game/14547/bangai-o-spirits/?region=All,Shooter
14004,Dragon Shadow Spell,PS2,2007.0,Jan,18.0,undefined,Flight-Plan  ,Flight-Plan  ,,,,,0.08,,0.08,https://www.vgchartz.com/game/3152/dragon-shadow-spell/?region=All,Role-Playing
14005,Imagine: My Restaurant,DS,2009.0,Mar,27.0,undefined,Ubisoft  ,Vicarious Visions  ,,,,0.07,,0.01,0.08,https://www.vgchartz.com/game/32713/imagine-my-restaurant/?region=All,Simulation
14006,Team Elimination Games,Wii,2009.0,Nov,10.0,undefined,Ubisoft  ,Ubisoft  ,,,0.07,,,0.01,0.08,https://www.vgchartz.com/game/40277/team-elimination-games/?region=All,Misc
14007,Lost in Blue: Shipwrecked,Wii,2008.0,Sep,23.0,undefined,Konami  ,Hudson Soft  ,,,0.07,0.0,,0.01,0.08,https://www.vgchartz.com/game/22384/lost-in-blue-shipwrecked/?region=All,Adventure
14008,Dragon Slayer: Eiyuu Densetsu,GEN,1994.0,Sep,16.0,undefined,Sega  ,Sega Falcom  ,,,,,0.08,0.0,0.08,https://www.vgchartz.com/game/6933/dragon-slayer-eiyuu-densetsu/?region=All,undefined
14009,Dragon Slayer: The Legend of Heroes,GEN,1994.0,Sep,16.0,undefined,Sega  ,Nihon Falcom Corporation  ,,,,,0.08,0.0,0.08,https://www.vgchartz.com/game/71294/dragon-slayer-the-legend-of-heroes/?region=All,Role-Playing
14010,Sound Novel Tsukuru,SNES,1996.0,May,31.0,undefined,ASCII Entertainment  ,Success  ,,,,,0.08,,0.08,https://www.vgchartz.com/game/3946/sound-novel-tsukuru/?region=All,Misc
