Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
10001,Ashes Cricket 2009,PS3,2009.0,Aug,7.0,undefined,Codemasters  ,Transmission Games  ,6.8,,,0.16,,0.01,0.17,https://www.vgchartz.com/game/34553/ashes-cricket-2009/?region=All,Sports
10002,Final Fantasy XIV: Stormblood,PS4,2017.0,Jun,20.0,undefined,Square Enix  ,Square Enix  ,,,0.05,0.06,0.04,0.02,0.17,https://www.vgchartz.com/game/157466/final-fantasy-xiv-stormblood/?region=All,undefined
10003,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004.0,Jun,29.0,undefined,Majesco  ,Majesco Games  ,,,0.12,0.05,,0.0,0.17,https://www.vgchartz.com/game/26523/codename-kids-next-door-game-boy-advance-video-volume-1/?region=All,Misc
10004,NHL 07,PSP,2006.0,Sep,12.0,undefined,EA Sports  ,EA Montreal  ,7.6,,0.13,0.02,,0.02,0.17,https://www.vgchartz.com/game/5522/nhl-07/?region=All,Sports
10005,Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004.0,Sep,27.0,undefined,Nintendo  ,Nintendo  ,,,0.12,0.05,,0.0,0.17,https://www.vgchartz.com/game/28110/pokemon-beach-blank-out-blastoise-go-west-young-meowth-game-boy-advance-video/?region=All,Misc
10006,Rise of the Argonauts,X360,2008.0,Dec,16.0,undefined,Codemasters  ,Codemasters  ,5.2,,0.03,0.12,,0.01,0.17,https://www.vgchartz.com/game/23969/rise-of-the-argonauts/?region=All,undefined
10007,Major League Baseball 2K9,PS2,2009.0,Mar,3.0,undefined,2K Sports  ,Visual Concepts  ,,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/29985/major-league-baseball-2k9/?region=All,Sports
10008,Gundam Assault Survive,PSP,2010.0,Mar,18.0,undefined,Namco Bandai  ,Bandai Namco Games  ,,,,,0.17,,0.17,https://www.vgchartz.com/game/42523/gundam-assault-survive/?region=All,Action
10009,My French Coach,DS,2007.0,Nov,6.0,undefined,Ubisoft  ,Sensory Sweep Studios  ,,,0.14,0.01,,0.01,0.17,https://www.vgchartz.com/game/12603/my-french-coach/?region=All,Misc
10010,Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008.0,Nov,7.0,undefined,Disney Interactive Studios  ,Magenta Software  ,,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/26088/disney-thnk-fast-the-ultimate-trivia-showdown/?region=All,Misc
10011,Fate/stay night [Réalta Nua],PS2,2007.0,Apr,19.0,undefined,Kadokawa Shoten  ,Type-Moon  ,,,,,0.17,,0.17,https://www.vgchartz.com/game/3289/fatestay-night-realta-nua/?region=All,undefined
10012,Freedom Planet,PC,2014.0,Jul,21.0,undefined,Galaxy Trail  ,Galaxy Trail  ,,,,,,,,https://www.vgchartz.com/game/83729/freedom-planet/?region=All,undefined
10013,Disney's Home on the Range,GBA,2004.0,Mar,31.0,undefined,Disney Interactive Studios  ,Artificial Mind and Movement  ,5.0,,0.12,0.04,,0.0,0.17,https://www.vgchartz.com/game/26744/disneys-home-on-the-range/?region=All,Action
10014,MotoGP 09/10,X360,2010.0,Mar,23.0,undefined,Capcom  ,Monumental Games  ,7.0,,0.07,0.09,,0.02,0.17,https://www.vgchartz.com/game/35515/motogp-0910/?region=All,Racing
10015,Wolcen: Lords of Mayhem,PC,,,,undefined,Unknown  ,WOLCEN Studio  ,,,,,,,,https://www.vgchartz.com/game/223832/wolcen-lords-of-mayhem/?region=All,undefined
10016,Just Dance 2019,PS4,2018.0,Oct,23.0,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.11,0.03,,0.03,0.17,https://www.vgchartz.com/game/222188/just-dance-2019/?region=All,undefined
10017,Monsters vs. Aliens,X360,2009.0,Mar,24.0,undefined,Activision  ,Beenox  ,6.5,,0.12,0.03,,0.02,0.17,https://www.vgchartz.com/game/31021/monsters-vs-aliens/?region=All,Action
10018,Disney Sing It: Family Hits,PS3,2010.0,Aug,3.0,undefined,Disney Interactive Studios  ,Zoe Mode  ,,,0.11,0.04,,0.02,0.17,https://www.vgchartz.com/game/44639/disney-sing-it-family-hits/?region=All,Misc
10019,Distance,PC,2020.0,Dec,31.0,undefined,Refract Studios  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/76818/distance/?region=All,undefined
10020,Guilty Gear Xrd: Sign,PS4,2014.0,Dec,16.0,undefined,Aksys Games  ,Arc System Works  ,,,0.11,,0.04,0.02,0.17,https://www.vgchartz.com/game/75670/guilty-gear-xrd-sign/?region=All,Fighting
10021,Just Dance 2018,WiiU,2017.0,Oct,24.0,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.07,0.09,,0.01,0.17,https://www.vgchartz.com/game/203197/just-dance-2018/?region=All,undefined
10022,Space Griffon VF-9,PS,1995.0,Nov,25.0,undefined,Atlus  ,Panther Software  ,,,0.02,0.02,0.12,0.01,0.17,https://www.vgchartz.com/game/4366/space-griffon-vf-9/?region=All,Role-Playing
10023,Disgaea PC,PC,2016.0,Feb,24.0,undefined,NIS America  ,Nippon Ichi Software  ,,9.5,,,,,,https://www.vgchartz.com/game/220189/disgaea-pc/?region=All,undefined
10024,The Mean Greens - Plastic Warfare,PC,,,,undefined,Unknown  ,Virtual Basement LLC  ,,,,,,,,https://www.vgchartz.com/game/223835/the-mean-greens-plastic-warfare/?region=All,undefined
10025,Camp Rock: The Final Jam,DS,2010.0,Aug,31.0,undefined,Disney Interactive Studios  ,Disney Interactive Studios  ,,,0.14,0.02,,0.01,0.17,https://www.vgchartz.com/game/46708/camp-rock-the-final-jam/?region=All,Misc
10026,.hack//G.U. Vol.1//Rebirth,PS2,2006.0,Oct,24.0,undefined,Namco Bandai  ,CyberConnect2  ,6.6,,,,0.17,,0.17,https://www.vgchartz.com/game/3462/hackgu-vol1rebirth/?region=All,Role-Playing
10027,N3 II: Ninety-Nine Nights,X360,2010.0,Jun,29.0,undefined,Konami  ,Q Entertainment / Phantagram / FeelPlus  ,,,0.06,0.06,0.04,0.01,0.17,https://www.vgchartz.com/game/27613/n3-ii-ninety-nine-nights/?region=All,Action
10028,Harvest Moon: The Lost Valley,3DS,2014.0,Nov,4.0,undefined,Natsume  ,Natsume  ,,,0.13,0.02,,0.02,0.17,https://www.vgchartz.com/game/82732/harvest-moon-the-lost-valley/?region=All,Simulation
10029,Bound By Flame,PC,2014.0,May,7.0,undefined,Focus Home Interactive  ,Spiders  ,,,,0.0,,0.0,0.0,https://www.vgchartz.com/game/73259/bound-by-flame/?region=All,Role-Playing
10030,Dungeons & Dragons: Chronicles of Mystara,PC,,,,undefined,Unknown  ,Iron Galaxy Studios  ,,,,,,,,https://www.vgchartz.com/game/223836/dungeons-amp-dragons-chronicles-of-mystara/?region=All,undefined
10031,CastleStorm,PC,,,,undefined,Unknown  ,Zen Studios  ,,,,,,,,https://www.vgchartz.com/game/223837/castlestorm/?region=All,undefined
10032,Fairytale Fights,PS3,2009.0,Oct,27.0,undefined,Playlogic Game Factory  ,Playlogic Game Factory  ,4.8,,0.11,0.04,,0.02,0.17,https://www.vgchartz.com/game/33959/fairytale-fights/?region=All,Action
10033,Bratz Kidz,Wii,2008.0,Nov,11.0,undefined,Game Factory  ,Neko Entertainment  ,,,0.16,,,0.01,0.17,https://www.vgchartz.com/game/21935/bratz-kidz/?region=All,Misc
10034,The Cursed Crusade,PS3,2011.0,Oct,25.0,undefined,Atlus  ,Kylotonn Entertainment  ,4.0,,0.07,0.07,0.01,0.02,0.17,https://www.vgchartz.com/game/48394/the-cursed-crusade/?region=All,Action
10035,Prototype: Biohazard Bundle,PS4,2016.0,Oct,11.0,undefined,Activision  ,Activision  ,,,0.14,,,0.03,0.17,https://www.vgchartz.com/game/132799/prototype-biohazard-bundle/?region=All,undefined
10036,Gyakuten Saiban 3,GBA,2004.0,Jan,23.0,undefined,Capcom  ,Capcom  ,,,,,0.16,0.0,0.17,https://www.vgchartz.com/game/27078/gyakuten-saiban-3/?region=All,Adventure
10037,Gallop Racer 2001,PS2,2001.0,Aug,20.0,undefined,Tecmo  ,Tecmo  ,,,0.05,0.04,0.06,0.01,0.17,https://www.vgchartz.com/game/3383/gallop-racer-2001/?region=All,Sports
10038,Magical Starsign (US sales),DS,2006.0,Oct,23.0,undefined,Nintendo  ,Brownie Brown  ,,,0.14,0.02,,,0.17,https://www.vgchartz.com/game/1235/magical-starsign-us-sales/?region=All,Role-Playing
10039,Nightmare Creatures II,PS,2000.0,Apr,29.0,undefined,Konami  ,Kalisto Entertainment  ,,,0.09,0.06,,0.01,0.17,https://www.vgchartz.com/game/24466/nightmare-creatures-ii/?region=All,Action
10040,Phantom Breaker: Battle Grounds,PC,,,,undefined,Unknown  ,MAGES. Inc.  ,,,,,,,,https://www.vgchartz.com/game/223838/phantom-breaker-battle-grounds/?region=All,undefined
10041,Hot Wheels: Beat That!,X360,2007.0,Sep,26.0,undefined,Activision  ,Eutechnyx  ,,,0.15,0.0,,0.01,0.17,https://www.vgchartz.com/game/7527/hot-wheels-beat-that/?region=All,Racing
10042,Space Rangers HD: A War Apart,PC,,,,undefined,Unknown  ,SNK Games  ,,,,,,,,https://www.vgchartz.com/game/223839/space-rangers-hd-a-war-apart/?region=All,undefined
10043,Catwoman,PS2,2004.0,Jul,20.0,undefined,Electronic Arts  ,Argonaut Games  ,4.6,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/4951/catwoman/?region=All,Action
10044,Garfield: Lasagna World Tour,PS2,2008.0,Jun,27.0,undefined,Conspiracy Entertainment  ,EKO Software  ,,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/21425/garfield-lasagna-world-tour/?region=All,Action
10045,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Jul,5.0,undefined,Majesco  ,Majesco Games  ,,,0.12,0.04,,0.0,0.17,https://www.vgchartz.com/game/28602/teenage-mutant-ninja-turtles-game-boy-advance-video-volume-1/?region=All,Misc
10046,Fairytale Fights,X360,2009.0,Oct,27.0,undefined,Playlogic Game Factory  ,Playlogic Game Factory  ,4.9,,0.14,0.02,,0.01,0.17,https://www.vgchartz.com/game/33958/fairytale-fights/?region=All,Action
10047,Bomberman B-Daman,SNES,1996.0,Dec,20.0,undefined,Hudson Soft  ,Hudson Soft  ,,,,,0.17,,0.17,https://www.vgchartz.com/game/2935/bomberman-b-daman/?region=All,Shooter
10048,Sonic Mania,PC,2017.0,Aug,15.0,undefined,Sega  ,PagodaWest Games  ,,,0.01,,,0.0,0.01,https://www.vgchartz.com/game/133964/sonic-mania/?region=All,undefined
10049,Beat Down: Fists of Vengeance,PS2,2005.0,Aug,23.0,undefined,Capcom  ,Cavia Inc.  ,,,0.04,0.03,0.09,0.01,0.17,https://www.vgchartz.com/game/2898/beat-down-fists-of-vengeance/?region=All,Action
10050,Terminator 3: The Redemption,PS2,2004.0,Sep,2.0,undefined,Atari  ,Paradigm Entertainment  ,,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/5815/terminator-3-the-redemption/?region=All,Shooter
10051,World Destruction League: Thunder Tanks,PS,2000.0,Sep,9.0,undefined,3DO  ,3DO  ,,,0.09,0.06,,0.01,0.17,https://www.vgchartz.com/game/19157/world-destruction-league-thunder-tanks/?region=All,Action
10052,Green Lantern: Rise of the Manhunters,PS3,2011.0,Jun,7.0,undefined,Warner Bros. Interactive  ,Griptonite Games  ,6.5,,0.09,0.05,,0.02,0.17,https://www.vgchartz.com/game/46329/green-lantern-rise-of-the-manhunters/?region=All,Action
10053,BlazBlue: Central Fiction,PS4,2016.0,Nov,1.0,undefined,Aksys Games  ,Arc System Works  ,,,0.1,,0.05,0.02,0.17,https://www.vgchartz.com/game/114754/blazblue-central-fiction/?region=All,undefined
10054,Fighter Within,XOne,2013.0,Nov,19.0,undefined,Ubisoft  ,Daoka  ,,,0.08,0.07,,0.01,0.17,https://www.vgchartz.com/game/75494/fighter-within/?region=All,Fighting
10055,Hook (2015),PC,,,,undefined,Unknown  ,Maciej Targoni  ,,,,,,,,https://www.vgchartz.com/game/223840/hook-2015/?region=All,undefined
10056,Reloaded,PS,1996.0,Nov,30.0,undefined,Interplay  ,Gremlin Interactive  ,,,0.09,0.06,,0.01,0.17,https://www.vgchartz.com/game/49567/reloaded/?region=All,Action
10057,A Game of Thrones - Genesis,PC,,,,undefined,Unknown  ,Cyanide Studios  ,,,,,,,,https://www.vgchartz.com/game/223841/a-game-of-thrones-genesis/?region=All,undefined
10058,Jillian Michaels Fitness Ultimatum 2011,Wii,2010.0,Nov,16.0,undefined,D3 Publisher  ,Collision Studios  ,,,0.16,,,0.01,0.17,https://www.vgchartz.com/game/46904/jillian-michaels-fitness-ultimatum-2011/?region=All,Sports
10059,Arizona Sunshine,PC,,,,undefined,Unknown  ,Vertigo Gaming Inc.  ,,,,,,,,https://www.vgchartz.com/game/223842/arizona-sunshine/?region=All,undefined
10060,Sword of the Samurai,PS2,,,,undefined,Unknown  ,LightWeight  ,,,,,0.17,,0.17,https://www.vgchartz.com/game/3578/sword-of-the-samurai/?region=All,Fighting
10061,SSX On Tour,GC,2005.0,Oct,11.0,undefined,EA Sports BIG   ,EA Canada  ,,,0.13,0.03,,0.0,0.17,https://www.vgchartz.com/game/2177/ssx-on-tour/?region=All,Sports
10062,Goodbye Deponia,PC,2013.0,Oct,17.0,undefined,Daedalic Entertainment  ,Daedalic Entertainment  ,,,,0.07,,0.0,0.07,https://www.vgchartz.com/game/71904/goodbye-deponia/?region=All,Adventure
10063,Fuzion Frenzy 2,X360,2007.0,Jan,30.0,undefined,Microsoft  ,Hudson Soft  ,,,0.14,0.01,,0.01,0.17,https://www.vgchartz.com/game/830/fuzion-frenzy-2/?region=All,Misc
10064,MXGP 3: The Official Motocross Videogame,PS4,2017.0,Jun,20.0,undefined,Milestone  ,Milestone  ,,,0.06,0.08,,0.03,0.17,https://www.vgchartz.com/game/158276/mxgp-3-the-official-motocross-videogame/?region=All,undefined
10065,James Bond 007: Everything or Nothing,GBA,2003.0,Nov,17.0,undefined,Electronic Arts  ,Griptonite Games  ,7.1,,0.12,0.04,,0.0,0.17,https://www.vgchartz.com/game/25509/james-bond-007-everything-or-nothing/?region=All,Shooter
10066,Naruto Shippuden: Ultimate Ninja 5,PS2,2009.0,Nov,27.0,undefined,Namco Bandai  ,CyberConnect2  ,,,,,0.17,,0.17,https://www.vgchartz.com/game/13443/naruto-shippuden-ultimate-ninja-5/?region=All,Fighting
10067,F1 2014,PC,2014.0,Oct,21.0,undefined,Codemasters  ,Codemasters Birmingham  ,,,,0.09,,0.01,0.1,https://www.vgchartz.com/game/84671/f1-2014/?region=All,Racing
10068,Shrek Extra Large,GC,2002.0,Oct,31.0,undefined,TDK Mediactive  ,Digital Illusions  ,3.0,,0.13,0.03,,0.0,0.17,https://www.vgchartz.com/game/2045/shrek-extra-large/?region=All,Platform
10069,Final Fantasy V,PS,1999.0,Sep,30.0,undefined,SquareSoft  ,SquareSoft  ,,,,,0.16,0.01,0.17,https://www.vgchartz.com/game/3319/final-fantasy-v/?region=All,Role-Playing
10070,Brunswick Cosmic Bowling,Wii,2010.0,Sep,14.0,undefined,GameMill  ,CokeM Interactive  ,,,0.16,,,0.01,0.17,https://www.vgchartz.com/game/47057/brunswick-cosmic-bowling/?region=All,Sports
10071,World Tour Soccer 2006,PS2,2005.0,Mar,22.0,undefined,Sony Computer Entertainment  ,SCEE London Studio  ,,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/2717/world-tour-soccer-2006/?region=All,Sports
10072,Forestation,PC,,,,undefined,Unknown  ,Wonderbox Games  ,,,,,,,,https://www.vgchartz.com/game/223843/forestation/?region=All,undefined
10073,Gunvalkyrie,XB,2002.0,Mar,18.0,undefined,Sega  ,Smilebit  ,6.1,,0.13,0.04,,0.01,0.17,https://www.vgchartz.com/game/936/gunvalkyrie/?region=All,Shooter
10074,NickToons Racing,PS,2001.0,Sep,7.0,undefined,Hasbro Interactive  ,Software Creations  ,,,0.09,0.06,,0.01,0.17,https://www.vgchartz.com/game/27911/nicktoons-racing/?region=All,undefined
10075,VR Golf '97,PS,1996.0,Oct,31.0,undefined,VR Sports  ,Gremlin Interactive  ,,,0.09,0.06,,0.01,0.17,https://www.vgchartz.com/game/13747/vr-golf-97/?region=All,Sports
10076,State of Emergency,XB,2003.0,Mar,26.0,undefined,Rockstar Games  ,VIS Entertainment  ,,,0.13,0.04,,0.01,0.17,https://www.vgchartz.com/game/2226/state-of-emergency/?region=All,Action
10077,Off-World Interceptor Extreme,PS,1995.0,Sep,29.0,undefined,Crystal Dynamics  ,Crystal Dynamics  ,,,0.09,0.06,,0.01,0.17,https://www.vgchartz.com/game/43645/off-world-interceptor-extreme/?region=All,Racing
10078,ZhuZhu Puppies,DS,2011.0,Mar,29.0,undefined,Activision  ,Black Lantern Studios  ,,,0.12,0.03,,0.01,0.17,https://www.vgchartz.com/game/49689/zhuzhu-puppies/?region=All,Simulation
10079,Monkey Island: Special Edition Collection,PC,2011.0,Sep,9.0,undefined,LucasArts  ,LucasArts  ,,,,0.14,,0.03,0.17,https://www.vgchartz.com/game/53215/monkey-island-special-edition-collection/?region=All,Adventure
10080,Serious Sam Classics: Revolution,PC,2014.0,Apr,30.0,undefined,Devolver Digital  ,Croteam  ,,,,,,,,https://www.vgchartz.com/game/223258/serious-sam-classics-revolution/?region=All,undefined
10081,Disney Golf,PS2,2002.0,Oct,16.0,undefined,Electronic Arts  ,Tikipod  ,,,0.07,0.06,0.02,0.02,0.17,https://www.vgchartz.com/game/3101/disney-golf/?region=All,Sports
10082,The Naked Brothers Band: The Video Game,PS2,2008.0,Oct,20.0,undefined,THQ  ,Barking Lizards Technologies  ,,,0.08,0.06,,0.02,0.17,https://www.vgchartz.com/game/25906/the-naked-brothers-band-the-video-game/?region=All,Misc
