Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
13001,Naruto Shippuuden: Gekitou Ninja Taisen! EX,Wii,2007.0,Feb,22.0,undefined,Takara Tomy   ,8ing/Raizing  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/3887/naruto-shippuuden-gekitou-ninja-taisen-ex/?region=All,undefined
13002,Universal Studios Theme Parks Adventure,GC,2001.0,Dec,18.0,undefined,Kemco  ,Kemco  ,5.1,,0.08,0.02,,0.0,0.1,https://www.vgchartz.com/game/2571/universal-studios-theme-parks-adventure/?region=All,Misc
13003,Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS,DS,2009.0,Aug,27.0,undefined,Nintendo  ,Nintendo  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/36800/nihon-keizai-shinbunsha-kanshuu-shiranai-mamade-wa-son-o-suru-mono-ya-okane-no-shikumi-ds/?region=All,Misc
13004,Fifi and the Flowertots,DS,2009.0,Jul,17.0,undefined,Avanquest  ,Avanquest Software  ,,,,0.09,,0.01,0.1,https://www.vgchartz.com/game/43724/fifi-and-the-flowertots/?region=All,Misc
13005,Just Dance 2018,X360,2017.0,Oct,24.0,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.06,0.03,,0.01,0.1,https://www.vgchartz.com/game/203198/just-dance-2018/?region=All,undefined
13006,Piglet's Big Game,PS2,2003.0,Mar,19.0,undefined,Gotham Games  ,Doki Denki  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/5577/piglets-big-game/?region=All,Platform
13007,Ben 10 Galactic Racing,X360,2011.0,Oct,18.0,undefined,D3 Publisher  ,Monkey Bar Games  ,,,0.07,0.02,,0.01,0.1,https://www.vgchartz.com/game/51936/ben-10-galactic-racing/?region=All,Racing
13008,Mystery Stories: Curse of the Ancient Spirits,DS,2011.0,Jun,28.0,undefined,Unknown  ,Avanquest Software  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/50901/mystery-stories-curse-of-the-ancient-spirits/?region=All,Adventure
13009,MySims SkyHeroes,X360,2010.0,Sep,28.0,undefined,Electronic Arts  ,The Sims Studio  ,,,0.09,0.0,,0.01,0.1,https://www.vgchartz.com/game/45041/mysims-skyheroes/?region=All,Action
13010,Real Bout Garou Densetsu,SAT,1996.0,Sep,20.0,undefined,SNK  ,SNK Corporation  ,,,,,0.1,0.0,0.1,https://www.vgchartz.com/game/4150/real-bout-garou-densetsu/?region=All,Fighting
13011,Cate West: The Vanishing Files,DS,2008.0,Dec,15.0,undefined,Destineer  ,Magellan Interactive  ,,,0.08,0.01,,0.01,0.1,https://www.vgchartz.com/game/28172/cate-west-the-vanishing-files/?region=All,Adventure
13012,Project FIFA World Cup,PS2,2002.0,May,30.0,undefined,EA Sports  ,Electronic Arts  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/4116/project-fifa-world-cup/?region=All,Sports
13013,The BIGS 2,PSP,2009.0,Jul,7.0,undefined,2K Sports  ,Blue Castle Games  ,6.8,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/33341/the-bigs-2/?region=All,Sports
13014,Rocky: Legends,XB,2004.0,Sep,28.0,undefined,Ubisoft  ,Venom Games  ,,,0.07,0.02,,0.0,0.1,https://www.vgchartz.com/game/1930/rocky-legends/?region=All,Action
13015,Lord of Apocalypse,PSP,2011.0,Dec,17.0,undefined,Square Enix  ,Access Games  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/70367/lord-of-apocalypse/?region=All,Role-Playing
13016,Jikkyou Powerful Pro Yakyuu 2013,PSV,2013.0,Oct,24.0,undefined,Konami Digital Entertainment  ,Konami  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/74990/jikkyou-powerful-pro-yakyuu-2013/?region=All,Sports
13017,NeverDead,X360,2012.0,Jan,31.0,undefined,Konami  ,Rebellion Developments  ,,,0.06,0.03,0.0,0.01,0.1,https://www.vgchartz.com/game/45749/neverdead/?region=All,Shooter
13018,Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen,GBA,2004.0,Aug,10.0,undefined,Nintendo  ,Nintendo  ,,,,,0.1,0.0,0.1,https://www.vgchartz.com/game/3270/famicom-mini-famicom-tantei-club-part-ii-ushiro-ni-tatsu-shoujo-zenkouhen/?region=All,Adventure
13019,Higurashi no Nakukoru ni Kizuna: Dai-Ni-Kan - Sou,DS,2008.0,Nov,27.0,undefined,Alchemist  ,Alchemist  ,,,,,0.1,,0.1,https://www.vgchartz.com/game/28590/higurashi-no-nakukoru-ni-kizuna-dai-ni-kan-sou/?region=All,Adventure
13020,Star Trek: Shattered Universe,PS2,2004.0,Jan,13.0,undefined,TDK Mediactive  ,Starsphere Interactive  ,,,0.05,0.04,,0.01,0.1,https://www.vgchartz.com/game/5761/star-trek-shattered-universe/?region=All,Simulation
13021,Who Wants to Be A Millionaire?,X360,2011.0,Nov,1.0,undefined,Ubisoft  ,Ubisoft  ,,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/67134/who-wants-to-be-a-millionaire/?region=All,Misc
13022,Fantasia: Music Evolved,X360,2014.0,Oct,21.0,undefined,Disney Interactive Studios  ,Harmonix Music Systems  ,,,0.08,0.01,,0.01,0.1,https://www.vgchartz.com/game/73088/fantasia-music-evolved/?region=All,Misc
13023,Pajama Sam: Don't Fear the Dark,Wii,2008.0,Aug,26.0,undefined,Majesco  ,Mistic Studios  ,,,0.09,,,0.01,0.1,https://www.vgchartz.com/game/21600/pajama-sam-dont-fear-the-dark/?region=All,undefined
