Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
11001,The Da Vinci Code,PS2,2006.0,May,15.0,undefined,2K Games  ,Double Helix Games  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/5003/the-da-vinci-code/?region=All,Action
11002,Scooby-Doo! Night of 100 Frights,XB,2003.0,Aug,27.0,undefined,THQ  ,Heavy Iron Studios  ,,,0.11,0.03,,0.01,0.14,https://www.vgchartz.com/game/5667/scooby-doo-night-of-100-frights/?region=All,Platform
11003,Our House Party!,Wii,2009.0,Sep,22.0,undefined,Majesco  ,BudCat Creations  ,,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/34587/our-house-party/?region=All,Simulation
11004,Chicken Shoot,DS,2007.0,Jul,10.0,undefined,"Destination Software, Inc  ",FrontLine Studios  ,,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/6807/chicken-shoot/?region=All,Action
11005,Dead to Rights,GC,2002.0,Nov,25.0,undefined,Namco  ,Namco  ,,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/5004/dead-to-rights/?region=All,Shooter
11006,Redout: Enhanced Edition,PC,,,,undefined,Unknown  ,34BigThings srl  ,,,,,,,,https://www.vgchartz.com/game/224519/redout-enhanced-edition/?region=All,undefined
11007,Arctic Tale,DS,2007.0,Oct,8.0,undefined,DSI Games  ,Atomic Planet Entertainment  ,,,0.13,0.0,,0.01,0.14,https://www.vgchartz.com/game/12340/arctic-tale/?region=All,Adventure
11008,Bejeweled 3,X360,2011.0,Nov,15.0,undefined,PopCap Games  ,PopCap Games  ,,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/52216/bejeweled-3/?region=All,Puzzle
11009,Sphinx and the Cursed Mummy,GC,2003.0,Nov,10.0,undefined,THQ  ,Eurocom Entertainment Software  ,8.4,,0.11,0.03,,0.0,0.14,https://www.vgchartz.com/game/2142/sphinx-and-the-cursed-mummy/?region=All,Action
11010,Cranium Kabookii,Wii,2007.0,Dec,4.0,undefined,Ubisoft  ,Ubisoft Quebec  ,,,0.13,0.0,,0.01,0.14,https://www.vgchartz.com/game/12984/cranium-kabookii/?region=All,Misc
11011,Cabela's Outdoor Adventures (2009),PS2,2009.0,Sep,8.0,undefined,Activision  ,Activision  ,,,0.07,0.05,,0.02,0.14,https://www.vgchartz.com/game/36590/cabelas-outdoor-adventures-2009/?region=All,Sports
11012,WWE 2K16,PC,2016.0,Mar,10.0,undefined,2K Sports  ,Yuke's  ,,,,0.0,,0.0,0.0,https://www.vgchartz.com/game/95621/wwe-2k16/?region=All,Sports
11013,South Park: The Fractured But Whole,NS,2018.0,Apr,24.0,undefined,Ubisoft  ,Ubisoft San Francisco  ,9.5,9.5,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/221267/south-park-the-fractured-but-whole/?region=All,undefined
11014,T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1999.0,Mar,31.0,undefined,Sunsoft  ,SunSoft  ,,,0.08,0.05,,0.01,0.14,https://www.vgchartz.com/game/36183/trag-tactical-rescue-assault-group-mission-of-mercy/?region=All,Adventure
11015,The Lord of the Rings: Aragorn's Quest,PSP,2010.0,Sep,14.0,undefined,Warner Bros. Interactive  ,TT Fusion  ,,,0.09,0.03,,0.03,0.14,https://www.vgchartz.com/game/44085/the-lord-of-the-rings-aragorns-quest/?region=All,Action
11016,Risen 2: Dark Waters,X360,2012.0,Jul,31.0,undefined,Deep Silver  ,Piranha Bytes  ,5.5,,0.05,0.08,,0.01,0.14,https://www.vgchartz.com/game/47230/risen-2-dark-waters/?region=All,Role-Playing
11017,Heckabomb,PC,2015.0,Feb,27.0,undefined,Kiss  ,Allicorn Games  ,,,,,,,,https://www.vgchartz.com/game/224517/heckabomb/?region=All,undefined
11018,Naruto RPG 2: Chidori vs Rasengan,DS,2005.0,Jul,14.0,undefined,Tomy Corporation  ,Tomy Corporation  ,,,,,0.14,,0.14,https://www.vgchartz.com/game/3885/naruto-rpg-2-chidori-vs-rasengan/?region=All,Role-Playing
11019,RoboMatch,PC,2017.0,Mar,6.0,undefined,Lasta Dan Publisher  ,Anti-Ded GameDev  ,,,,,,,,https://www.vgchartz.com/game/224516/robomatch/?region=All,undefined
11020,Nicktoons MLB,Wii,2011.0,Sep,13.0,undefined,2K Sports  ,2K Sports  ,,,0.13,,,0.01,0.14,https://www.vgchartz.com/game/51562/nicktoons-mlb/?region=All,undefined
11021,TRINITY: Souls of Zill O'll,PS3,2011.0,Feb,8.0,undefined,Tecmo Koei  ,Omega Force  ,5.5,,0.06,0.03,0.03,0.01,0.14,https://www.vgchartz.com/game/34948/trinity-souls-of-zill-oll/?region=All,Role-Playing
11022,Ys I & II Chronicles+,PC,2013.0,Feb,14.0,undefined,Xseed Games  ,Nihon Falcom Corporation  ,,,,,,,,https://www.vgchartz.com/game/224742/ys-i-amp-ii-chronicles/?region=All,undefined
11023,Dungeon Defenders Eternity,PC,2014.0,Jul,22.0,undefined,Trendy Entertainment  ,Nom Nom Games  ,,,,,,,,https://www.vgchartz.com/game/224515/dungeon-defenders-eternity/?region=All,undefined
