Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
1,Pokemon,Series,1998.0,Sep,28.0,undefined,Nintendo  ,Game Freak  ,,,,,,,,https://www.vgchartz.com/game/226034/pokemon/?region=All,undefined
2,Super Mario,Series,1983.0,Jul,20.0,undefined,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/game/226187/super-mario/?region=All,undefined
3,Grand Theft Auto,Series,1998.0,Mar,27.0,undefined,Rockstar Games  ,Rockstar North|Rockstar Leeds|Digital Eclipse  ,,,,,,,,https://www.vgchartz.com/game/226037/grand-theft-auto/?region=All,Action
4,Call of Duty,Series,2003.0,Oct,29.0,undefined,Activision  ,Infinity Ward|Grey Matter Interactive|Treyarch|Sledgehammer Games|Raven Software|Neversoft|High Moon Studios  ,,,,,,,,https://www.vgchartz.com/game/226036/call-of-duty/?region=All,undefined
5,FIFA,Series,1993.0,Dec,15.0,undefined,EA Sports  ,Extended Play Productions (1991-1997)|EA Vancouver (1997-present)|EA Romania (2016-present)  ,,,,,,,,https://www.vgchartz.com/game/226038/fifa/?region=All,undefined
6,Minecraft,Series,2011.0,Nov,18.0,undefined,Mojang  ,Mojang  ,,,,,,,,https://www.vgchartz.com/game/226085/minecraft/?region=All,Misc
7,The Sims,Series,2000.0,Feb,4.0,undefined,Electronic Arts  ,Maxis  ,,,,,,,,https://www.vgchartz.com/game/226166/the-sims/?region=All,Simulation
8,Tetris,Series,1984.0,Jun,6.0,undefined,Unknown  ,"Alexey Pajitnov|AcademySoft|Andromeda Software|Atari Games|Bullet-Proof Software|Electronic Arts|Elorg|Nintendo R&D1|Philips|Rowan Software|Spectrum HoloByte|Sphere, Inc.|Sanritsu Denki|Sega|SoMa Play| ZCT Systems|Gameloft  ",,,,,,,,https://www.vgchartz.com/game/226237/tetris/?region=All,Puzzle
9,Final Fantasy,Series,1987.0,Dec,18.0,undefined,Square  ,Square|Square Enix  ,,,,,,,,https://www.vgchartz.com/game/226241/final-fantasy/?region=All,Role-Playing
10,Need for Speed,Series,1994.0,Aug,31.0,undefined,Electronic Arts  ,EA Black Box|EA Bright Light|EA Canada|Eden Studios|Exient Entertainment|Firebrand Games|Ghost Games|Piranha Games|Slightly Mad Studios|Criterion Games|Firemonkeys Studios  ,,,,,,,,https://www.vgchartz.com/game/226227/need-for-speed/?region=All,undefined
11,Mario Kart,Series,1992.0,Sep,1.0,undefined,Nintendo  ,Nintendo|Intelligent Systems|Retro Studios|Namco|Namco Bandai  ,,,,,,,,https://www.vgchartz.com/game/226188/mario-kart/?region=All,undefined
12,Assassin's Creed,Series,2007.0,Nov,13.0,undefined,Ubisoft  ,Ubisoft|Gameloft|Griptonite Games|Blue Byte  ,,,,,,,,https://www.vgchartz.com/game/226103/assassins-creed/?region=All,Adventure
13,Madden NFL,Series,1988.0,Jun,1.0,undefined,Electronic Arts  ,"Park Place Productions|D.C. True, Ltd.|Electronic Arts|Blue Sky Productions|Visual Concepts|High Score Productions|Halestorm|Tiertex|Tiburon Entertainment|EA Tiburon|EA Sports|THQ|3d6 Games|Budcat Creations|Exient Entertainment|EA Canada|HB Studios  ",,,,,,,,https://www.vgchartz.com/game/226229/madden-nfl/?region=All,undefined
14,Wii Sports,Series,2006.0,Nov,19.0,undefined,Nintendo  ,Nintendo|Bandai Namco Studios  ,,,,,,,,https://www.vgchartz.com/game/226191/wii-sports/?region=All,Sports
15,The Legend of Zelda,Series,1987.0,Jul,14.0,undefined,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/game/226035/the-legend-of-zelda/?region=All,Action
16,Pro Evolution Soccer,Series,1995.0,Dec,22.0,undefined,Konami  ,Konami  ,,,,,,,,https://www.vgchartz.com/game/226233/pro-evolution-soccer/?region=All,Sports
17,Lego,Series,1997.0,Sep,26.0,undefined,Mindscape  ,TT Fusion  ,,,,,,,,https://www.vgchartz.com/game/226259/lego/?region=All,undefined
18,NBA 2K,Series,1999.0,Nov,10.0,undefined,Sega  ,Visual Concepts|Saber Interactive   ,,,,,,,,https://www.vgchartz.com/game/226152/nba-2k/?region=All,Sports
19,Resident Evil,Series,1996.0,Mar,30.0,undefined,Capcom  ,Capcom  ,,,,,,,,https://www.vgchartz.com/game/226039/resident-evil/?region=All,Action
20,Wii Sports,Wii,2006.0,Nov,19.0,undefined,Nintendo  ,Nintendo EAD  ,7.7,,41.36,29.02,3.77,8.51,82.65,https://www.vgchartz.com/game/2667/wii-sports/?region=All,Sports
21,Dragon Quest,Series,1986.0,May,27.0,undefined,Square  ,ArtePiazza|Chunsoft|Heartbeat|Level-5|Square Enix  ,,,,,,,,https://www.vgchartz.com/game/226239/dragon-quest/?region=All,undefined
22,Gran Turismo,Series,1998.0,May,12.0,undefined,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,,,,https://www.vgchartz.com/game/226066/gran-turismo/?region=All,Racing
23,Battlefield,Series,2002.0,Sep,10.0,undefined,Electronic Arts  ,EA DICE|Easy Studios|Neowiz Games|Visceral Games  ,,,,,,,,https://www.vgchartz.com/game/226219/battlefield/?region=All,undefined
24,Sonic the Hedgehog,Series,1991.0,Jun,23.0,undefined,Sega  ,Sonic Team  ,,,,,,,,https://www.vgchartz.com/game/226081/sonic-the-hedgehog/?region=All,Platform
25,Tomb Raider,Series,1996.0,Nov,14.0,undefined,Eidos Interactive  ,Core Design|Crystal Dynamics|Nixxes Software|Ubisoft Milan|Eidos Montreal  ,,,,,,,,https://www.vgchartz.com/game/226238/tomb-raider/?region=All,Action
