Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
260,ARMA,Series,2007,May,04,undefined,505 Games  ,Bohemia Interactive  ,,,,,,,
261,Buzz!,Series,2005,Oct,21,undefined,Sony Computer Entertainment Europe  ,Relentless Software|Kuju Entertainment|Curve Studios  ,,,,,,,
262,Horizon,Series,2017,Feb,28,undefined,Sony Interactive Entertainment  ,Guerrilla Games  ,,,,,,,
263,Horizon: Zero Dawn,PS4,2017,Feb,28,undefined,Sony Interactive Entertainment  ,Guerrilla Games  ,9.1,8.0,2.2,2.43,0.28,0.92,5.82
264,Killing Floor,Series,2009,May,14,undefined,Tripwire Interactive  ,Tripwire Interactive|Saber Interactive  ,,,,,,,
265,MX vs. ATV,Series,N/A,N/A,N/A,undefined,Unknown  ,Rainbow Studios|Beenox|Tantalus Media|Incinerator Studios|THQ Digital Studio Phoenix  ,,,,,,,
266,Nobunaga's Ambition,Series,1983,Mar,01,undefined,KOEI  ,Koei  ,,,,,,,
267,Pitfall,Series,1982,Apr,20,undefined,Activision  ,Activision|Micronics|SRB Software|Luxoflux|Crave Entertainment|Edge of Reality|Torus Games|Beenox   ,,,,,,,
268,RollerCoaster Tycoon 3,PC,2004,Oct,26,undefined,Atari  ,Frontier Developments  ,8.3,,0.01,0.22,,0.02,0.26
269,Sniper Elite,Series,2005,Oct,18,undefined,Namco  ,Rebellion Developments  ,,,,,,,
270,Stardew Valley,Series,2016,Feb,26,undefined,Chucklefish  ,ConcernedApe  ,,,,,,,
271,Taiko no Tatsujin,Series,2004,Oct,26,undefined,Namco  ,Bandai Namco Studios  ,,,,,,,
272,The Settlers,Series,1993,Jun,30,undefined,Blue Byte  ,Blue Byte  ,,,,,,,
273,Halo: Reach,X360,2010,Sep,14,undefined,Microsoft Game Studios  ,Bungie  ,9.3,,7.08,2.01,0.08,0.8,9.97
274,Portal,PC,2008,Apr,09,undefined,Valve Corporation  ,Valve Software  ,9.0,,,0.0,,0.0,0.01
275,Paper Mario,Series,2001,Feb,05,undefined,Nintendo  ,Intelligent Systems|Nintendo|Vanpool  ,,,,,,,
276,Halo 4,X360,2012,Nov,06,undefined,Microsoft Studios  ,343 Industries  ,,,6.72,2.36,0.04,0.83,9.96
277,The Binding of Isaac,Series,N/A,N/A,N/A,undefined,Unknown  ,Edmund McMillen  ,,,,,,,
278,Final Fantasy VII,PS,1997,Sep,03,undefined,Sony Computer Entertainment  ,SquareSoft  ,9.6,9.5,3.01,2.47,3.28,0.96,9.72
279,SaGa,Series,1990,Sep,30,undefined,Sunsoft  ,Square|Square Enix  ,,,,,,,
280,Mario Golf,Series,1991,Sep,29,undefined,Nintendo  ,Nintendo|Camelot Software Planning  ,,,,,,,
281,Mario Kart 64,N64,1997,Feb,10,undefined,Nintendo  ,Nintendo EAD  ,8.5,,5.55,1.94,2.23,0.15,9.87
282,Dead or Alive,Series,1998,Mar,31,undefined,Tecmo  ,Team Ninja  ,,,,,,,
283,Marvel vs. Capcom,Series,1996,Dec,01,undefined,Capcom  ,Capcom|Iron Galaxy|Eighting  ,,,,,,,
284,Super Smash Bros. for 3DS,3DS,2014,Oct,03,undefined,Nintendo  ,Bandai Namco Games  ,8.4,,3.73,1.5,2.55,0.54,8.32
