Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
5009,Virtua Tennis 4: World Tour,PSV,2012,Feb,14,undefined,Sega  ,Sega  ,,,0.04,0.34,0.01,0.09,0.49
5010,Taiko no Tatsujin: Appare Sandaime,PS2,2003,Oct,30,undefined,Namco  ,Namco  ,,,,,0.49,,0.49
5011,F1 2012,X360,2012,Sep,18,undefined,Codemasters  ,Codemasters Birmingham  ,8.5,,0.1,0.34,,0.05,0.49
5012,Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Jun,24,undefined,Nintendo  ,Sega Sports R&D  ,,,0.1,0.23,0.13,0.03,0.49
5013,One Piece: Grand Battle!,PS,2003,Jan,01,undefined,Atari  ,Bandai  ,,,,,0.46,0.03,0.49
5014,Transformers: Revenge of the Fallen,PS2,2009,Jun,23,undefined,Activision  ,Krome Studios  ,,,0.25,0.01,,0.22,0.49
5015,Dragon Ball Z: Burst Limit,X360,2008,Jun,10,undefined,Atari  ,Dimps Corporation  ,7.3,,0.24,0.18,0.03,0.05,0.49
5016,Worms: Ultimate Mayhem,PC,2011,Sep,28,undefined,Unknown  ,Team17 Software  ,,,,0.04,,0.0,0.04
5017,Crazy Taxi,GC,2001,Nov,17,undefined,Acclaim Entertainment  ,Hitmaker  ,7.2,,0.36,0.09,0.02,0.01,0.49
5018,Spy Hunter 2,PS2,2003,Nov,20,undefined,Midway Games  ,Angel Studios  ,,,0.24,0.19,,0.06,0.49
5019,Art Academy: Lessons for Everyone!,3DS,2012,Oct,01,undefined,Nintendo  ,Headstrong Games  ,8.0,,0.2,0.05,0.21,0.02,0.49
5020,FIFA Soccer 09,DS,2008,Oct,14,undefined,Electronic Arts  ,Exient Ltd.  ,,,0.12,0.31,,0.06,0.49
5021,Medal of Honor,PC,2010,Oct,12,undefined,Electronic Arts  ,EA Los Angeles  ,,,0.2,0.23,,0.06,0.49
5022,Pac-Man World 2,XB,2002,Oct,15,undefined,Namco  ,Namco  ,,,0.36,0.11,,0.02,0.49
5023,Die Hard Trilogy 2: Viva Las Vegas,PS,2000,Feb,29,undefined,Fox Interactive  ,n-Space  ,,,0.27,0.18,,0.03,0.49
5024,DiRT 4,PS4,2017,Jun,06,undefined,Deep Silver  ,Codemasters  ,,,0.1,0.3,0.02,0.07,0.49
5025,Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,PS2,2001,Dec,13,undefined,Hudson Soft  ,Hudson Soft  ,,,,,0.49,,0.49
5026,Hyrule Warriors Legends,3DS,2016,Mar,25,undefined,Nintendo  ,Omega Force  ,,,0.17,0.16,0.12,0.03,0.49
5027,Dark Souls: Remastered,PS4,2018,May,25,undefined,Bandai Namco Entertainment  ,From Software  ,,,0.13,0.16,0.14,0.06,0.49
5028,Styx: Master of Shadows,PC,2014,Oct,07,undefined,Focus Home Interactive  ,Cyanide Studios  ,,,,,,,
5029,Sniper Elite: Nazi Zombie Army 2,PC,N/A,N/A,N/A,undefined,Unknown  ,Rebellion Games  ,,,,,,,
5030,Tales of Legendia,PS2,2006,Feb,07,undefined,Namco  ,Namco / Team MelFes  ,7.2,8.5,0.07,0.05,0.35,0.02,0.49
5031,SimCity 2000,SNES,1996,Nov,01,undefined,Black Pearl  ,HAL Laboratory  ,,,,,0.49,0.0,0.49
5032,Sniper: Art of Victory,PC,2008,Oct,16,undefined,City Interactive  ,City Interactive  ,,,,0.45,,0.03,0.49
5033,Alone in the Dark,X360,2008,Jun,23,undefined,Atari  ,Eden Studios  ,6.3,,0.14,0.3,0.0,0.05,0.49
5034,Football Manager Handheld 2009,PSP,2008,Nov,14,undefined,Sega  ,Sports Interactive  ,,,,0.47,,0.02,0.48
5035,Cars 2,X360,2011,Jun,21,undefined,Disney Interactive Studios  ,Avalanche Software  ,7.5,,0.28,0.15,,0.05,0.48
5036,Shrek the Third,PS2,2007,May,15,undefined,Activision  ,Amaze Entertainment  ,,,0.4,0.02,,0.07,0.48
5037,Madagascar: Operation Penguin,GBA,2005,Nov,07,undefined,Activision  ,Vicarious Visions  ,,,0.35,0.13,,0.01,0.48
5038,The Swapper,PC,2013,May,30,undefined,Facepalm Games  ,Unknown  ,,,,,,,
5039,Need for Speed: Porsche Unleashed,GBA,2004,Mar,15,undefined,"Destination Software, Inc  ",Pocketeers  ,,,0.35,0.13,,0.01,0.48
5040,Yu-Gi-Oh! Forbidden Memories (JP sales),PS,2002,Mar,20,undefined,Konami  ,KCEJ  ,6.3,,,,0.45,0.03,0.48
5041,Ultimate I Spy,Wii,2008,Oct,29,undefined,Scholastic Inc.  ,Scholastic Interactive  ,,,0.45,0.0,,0.03,0.48
5042,NFL Street 2,XB,2004,Dec,22,undefined,EA Sports BIG   ,EA Tiburon  ,,,0.36,0.11,,0.02,0.48
5043,Millipede,2600,1984,Jan,01,undefined,Atari  ,Atari  ,,,0.45,0.03,,0.01,0.48
5044,Street Fighter X Tekken,X360,2012,Mar,06,undefined,Capcom  ,Capcom  ,,,0.32,0.1,0.03,0.04,0.48
5045,The Legend of the Mystical Ninja,SNES,1992,Feb,01,undefined,Konami  ,Konami  ,,,,,0.48,,0.48
5046,Farpoint,PS4,2017,May,16,undefined,Sony Interactive Entertainment  ,Impulse Gear  ,,,,0.38,0.04,0.06,0.48
5047,X3: Terran Conflict,PC,2009,Mar,31,undefined,Atari  ,Egosoft  ,,,,0.02,,0.0,0.03
5048,Atelier Rorona: Alchemist of Arland,PS3,2014,Jun,24,undefined,NIS America  ,Gust  ,6.4,,0.22,0.1,0.11,0.05,0.48
5049,Jeopardy!,PS2,2003,Oct,28,undefined,Atari  ,Atari  ,,,0.24,0.18,,0.06,0.48
5050,LEGO Marvel's Avengers,XOne,2016,Jan,26,undefined,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.26,0.18,,0.04,0.48
5051,Destroy All Humans! 2,PS2,2006,Oct,17,undefined,THQ  ,Pandemic Studios  ,,,0.4,0.02,,0.07,0.48
5052,Pinball Hall of Fame: The Williams Collection,Wii,2008,Feb,26,undefined,Crave Entertainment  ,FarSight Studios  ,,,0.42,0.03,,0.04,0.48
5053,WWE 2K19,XOne,2018,Oct,09,undefined,2K Sports  ,Visual Concepts  ,,,0.3,0.14,,0.04,0.48
5054,Lollipop Chainsaw,X360,2012,Jun,12,undefined,Warner Bros. Interactive Entertainment  ,Grasshopper Manufacture  ,,,0.31,0.12,0.02,0.04,0.48
5055,ECW Hardcore Revolution,PS,2000,Jan,31,undefined,Acclaim Entertainment  ,Acclaim  ,,,0.27,0.18,,0.03,0.48
5056,Bionic Commando,PS3,2009,May,19,undefined,Capcom  ,GRIN  ,7.0,,0.12,0.17,0.01,0.06,0.36
5057,You're in the Movies,X360,2008,Nov,17,undefined,Microsoft  ,Zoe Mode  ,5.1,,0.27,0.17,,0.05,0.48
5058,Fortune Street,Wii,2011,Dec,05,undefined,Nintendo  ,Square Enix  ,,,0.25,0.03,0.17,0.03,0.48
5059,Scene It? Lights Camera Action,X360,2007,Nov,06,undefined,Microsoft Game Studios  ,WXP / Screenlife Games  ,,,0.43,0.01,,0.04,0.48
5060,Battleborn,PS4,2016,May,03,undefined,2K Games  ,Gearbox Software  ,,,0.25,0.12,0.03,0.08,0.48
5061,Bass Pro Shops: The Strike,Wii,2009,Sep,29,undefined,XS Games  ,Griffin International  ,,,0.44,,,0.04,0.48
5062,Dark Sector,X360,2008,Mar,25,undefined,D3 Publisher  ,Digital Extremes  ,7.1,,0.22,0.2,0.01,0.05,0.48
5063,Jurassic World Evolution,PC,2018,Jul,03,undefined,Frontier Developments  ,Frontier Developments  ,,,,,,,
5064,Zoo Tycoon (2013),XOne,2013,Nov,22,undefined,Microsoft Studios  ,Frontier Developments  ,,,0.25,0.18,,0.04,0.48
5065,Tiger Woods PGA Tour 07,X360,2006,Oct,17,undefined,EA Sports  ,EA Redwood Shores  ,8.2,,0.44,0.0,,0.04,0.48
5066,Far Cry 2,PC,2008,Oct,21,undefined,Ubisoft  ,Ubisoft Montreal  ,8.4,,0.01,0.45,,0.02,0.48
5067,Wu-Tang: Shaolin Style,PS,1999,Oct,31,undefined,Activision  ,Paradox Development  ,,,0.27,0.18,,0.03,0.48
5068,Transformers: Revenge of the Fallen,Wii,2009,Jun,23,undefined,Activision  ,Krome Studios  ,,,0.24,0.2,,0.05,0.48
5069,A Way Out,PS4,2018,Mar,23,undefined,Electronic Arts  ,Hazelight  ,7.5,,0.23,0.16,,0.08,0.48
5070,The Saboteur,PS3,2009,Dec,08,undefined,Electronic Arts  ,Pandemic Studios  ,7.1,,0.2,0.21,,0.07,0.48
5071,Crash of the Titans,DS,2007,Oct,25,undefined,Sierra Entertainment  ,Amaze Entertainment  ,,,0.42,0.02,,0.04,0.48
5072,Disney Epic Mickey 2: The Power of Two,PS3,2012,Nov,18,undefined,Disney Interactive Studios  ,Junction Point Studios  ,,,0.21,0.19,,0.08,0.48
5073,Secret Weapons Over Normandy,PS2,2003,Nov,18,undefined,LucasArts  ,Totally Games  ,,,0.24,0.18,,0.06,0.48
5074,Scrabble 2007 Edition,DS,2007,Oct,04,undefined,Ubisoft  ,WizarBox  ,,,,0.48,,0.0,0.48
5075,All-Star Baseball 99,N64,1998,Apr,30,undefined,Acclaim Entertainment  ,Iguana Entertainment  ,,,0.44,0.04,,0.0,0.48
5076,Harvest Moon 64,N64,1999,Nov,30,undefined,Natsume  ,Toy Box Studios  ,7.8,,0.25,0.06,0.11,0.06,0.48
5077,Kouchuu Ouja Mushi King,GBA,2005,Jun,23,undefined,Sega  ,Sega  ,,,,,0.7,0.02,0.72
5078,NCAA Football 09,PS2,2008,Jul,15,undefined,EA Sports  ,EA Tiburon  ,,,0.4,0.02,,0.07,0.48
5079,Rayman Raving Rabbids: TV Party,DS,2008,Nov,18,undefined,Ubisoft  ,Ubisoft Casablanca  ,,,0.44,0.01,,0.04,0.48
5080,Bratz: The Movie,PS2,2007,Sep,25,undefined,THQ  ,Blitz Games  ,,,0.24,0.18,,0.06,0.48
5081,Friday the 13th: The Game,PS4,2017,Oct,13,undefined,Gun Media  ,IllFonic  ,,,0.29,0.09,0.03,0.08,0.48
5082,Steep,XOne,2016,Dec,02,undefined,Ubisoft  ,Ubisoft Annecy  ,,,0.24,0.2,,0.04,0.48
5083,Batman: Arkham Origins Blackgate,PSV,2013,Oct,25,undefined,Warner Bros. Interactive Entertainment  ,Armature Studio  ,,,0.16,0.21,,0.11,0.48
5084,Vigilante 8: 2nd Offense,PS,1999,Oct,31,undefined,Activision  ,"Luxoflux, Inc.  ",,,0.27,0.18,,0.03,0.48
5085,Crazy Taxi: Fare Wars,PSP,2007,Aug,07,undefined,Sega  ,Sniper Studios  ,6.3,,0.1,0.23,0.02,0.13,0.48
5086,Sonic Lost World,3DS,2013,Oct,29,undefined,Sega  ,Dimps Corporation  ,5.2,,0.22,0.15,0.07,0.04,0.48
5087,Theme Park Roller Coaster,PS2,2000,Dec,04,undefined,Electronic Arts  ,Bullfrog Productions  ,7.9,,0.23,0.18,,0.06,0.48
5088,Thief,XOne,2014,Feb,25,undefined,Square Enix  ,Eidos Montreal  ,,,0.26,0.17,,0.04,0.48
5089,The Walking Dead: A Telltale Games Series,PS4,2014,Oct,14,undefined,Telltale Games  ,Telltale Games  ,,,0.12,0.26,0.03,0.07,0.48
5090,Alice in Wonderland,DS,2010,Mar,02,undefined,Disney Interactive Studios  ,Etranges Libellules  ,7.0,,0.25,0.18,,0.05,0.48
5091,NFL Xtreme 2,PS,1999,Jun,30,undefined,989 Studios  ,989 Sports  ,,,0.27,0.18,,0.03,0.48
5092,Doom 3 BFG Edition,X360,2012,Oct,16,undefined,Bethesda Softworks  ,id Software  ,,,0.28,0.15,,0.04,0.48
5093,Midnight Club: Street Racing,GBA,2001,Nov,14,undefined,"Destination Software, Inc  ",Angel Studios  ,,,0.34,0.13,,0.01,0.48
5094,Tom Clancy's The Division,PC,2016,Mar,08,undefined,Ubisoft  ,Massive Entertainment  ,,,0.26,0.18,,0.04,0.48
5095,Bad Rats: The Rats' Revenge,PC,2009,Jul,20,undefined,Invent4 Entertainment  ,Invent4 Entertainment  ,,,,,,,
5096,Euro Truck Simulator,PC,2013,Mar,08,undefined,SCS Software  ,SCS Software  ,,,,0.43,,0.04,0.48
5097,Tiger Woods PGA Tour 06,XB,2005,Sep,20,undefined,EA Sports  ,EA Sports  ,,,0.35,0.11,,0.02,0.48
5098,Galactic Civilizations III,PC,2015,May,14,undefined,Stardock  ,Stardock  ,,,,0.01,,0.0,0.01
5099,Go Diego Go! Great Dinosaur Rescue,DS,2008,Oct,27,undefined,2K Play  ,Black Lantern Studios  ,,,0.43,0.01,,0.03,0.48
5100,Ace Combat X: Skies of Deception,PSP,2006,Oct,23,undefined,Namco Bandai  ,Bandai Namco Games  ,7.6,,0.37,0.31,0.12,0.19,1.0
5101,Children of Mana,DS,2006,Nov,01,undefined,Nintendo  ,Next Entertainment  ,7.0,,0.16,0.01,0.29,0.01,0.48
5102,FIFA World Cup Germany 2006,X360,2006,Apr,24,undefined,EA Sports  ,EA Canada  ,7.8,,0.19,0.27,0.01,,0.48
5103,Up,PS2,2009,May,26,undefined,THQ  ,THQ  ,,,0.19,0.05,,0.24,0.48
5104,Wolfenstein: The Old Blood,PS4,2015,May,05,undefined,Bethesda Softworks  ,MachineGames  ,,,0.13,0.25,0.02,0.07,0.48
5105,Grand Prix,2600,1982,Jan,01,undefined,Activision  ,Activision  ,,,0.45,0.03,,0.0,0.48
5106,Just Dance 2014,XOne,2013,Nov,22,undefined,Ubisoft  ,Ubisoft Paris  ,,,0.31,0.12,,0.04,0.48
5107,EA Sports UFC,XOne,2014,Jun,17,undefined,Electronic Arts  ,EA Canada  ,,,0.3,0.13,,0.04,0.48
5108,World of Outlaws: Sprint Cars 2002,PS2,2002,Mar,26,undefined,Infogrames  ,Ratbag  ,,,0.23,0.18,,0.06,0.48
5109,BioShock: The Collection,XOne,2016,Sep,13,undefined,2K Games  ,"Blind Squirrel Digital, Inc  ",,,0.35,0.08,,0.05,0.48
5110,LEGO The Hobbit,PS3,2014,Apr,08,undefined,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,,,0.12,0.28,,0.07,0.47
5111,Fantavision,PS2,2000,Oct,25,undefined,Sony Computer Entertainment  ,SCEI  ,8.0,,0.14,0.11,0.19,0.04,0.47
5112,Double Dragon,2600,1989,Jul,23,undefined,Activision  ,Activision  ,,,0.45,0.02,,0.01,0.47
5113,Alien Trilogy,PS,1997,Sep,01,undefined,Acclaim Entertainment  ,Probe Entertainment Limited  ,8.0,,0.24,0.16,0.04,0.03,0.47
5114,NBA Live 99,N64,1998,Nov,04,undefined,EA Sports  ,NuFX  ,,,0.45,0.02,,0.0,0.47
5115,Karate,2600,1980,Jan,01,undefined,Unknown  ,Ultravision  ,,,0.44,0.03,,0.0,0.47
5116,Spider-Man 3,Wii,2007,May,04,undefined,Activision  ,Vicarious Visions  ,4.8,,0.42,0.02,,0.04,0.47
5117,Luigi's Mansion,3DS,2018,Oct,12,undefined,Nintendo  ,GREZZO  ,7.3,,0.19,0.16,0.09,0.03,0.47
5118,Dynasty Warriors Gundam,PS3,2007,Aug,28,undefined,Namco Bandai  ,Omega Force  ,6.4,,0.14,0.01,0.31,0.02,0.47
5119,X-Men: Next Dimension,PS2,2002,Oct,15,undefined,Activision  ,Paradox Development  ,,,0.23,0.18,,0.06,0.47
5120,The Godfather (JP sales),PS2,2006,Mar,21,undefined,Electronic Arts  ,Headgate  ,,,0.39,0.02,,0.06,0.47
5121,Cars: Race-O-Rama,DS,2009,Oct,13,undefined,THQ  ,Rainbow Studios  ,,,0.35,0.09,,0.04,0.47
5122,Dark Sector,PS3,2008,Mar,25,undefined,D3 Publisher  ,Digital Extremes  ,7.2,,0.23,0.16,0.01,0.07,0.47
5123,James Bond 007: Blood Stone,X360,2010,Nov,02,undefined,Activision  ,Bizarre Creations  ,6.2,,0.2,0.23,0.0,0.05,0.47
5124,Super Puyo Puyo 2,SNES,1995,Dec,08,undefined,Compile  ,Complie  ,,,,,0.47,0.0,0.47
5125,Gauntlet Legends,PS,2000,Feb,29,undefined,Midway Games  ,Atari Games  ,,,0.26,0.18,,0.03,0.47
5126,Jurassic World Evolution,PS4,2018,Jul,03,undefined,Frontier Developments  ,Frontier Developments  ,,,0.14,0.25,,0.08,0.47
5127,Ford Racing Off Road,Wii,2008,Sep,01,undefined,Empire Interactive  ,Razorworks Studios  ,,,0.06,0.4,,0.01,0.47
5128,WipEout,PS,1995,Nov,21,undefined,Psygnosis  ,Psygnosis  ,8.0,,0.26,0.18,,0.03,0.47
5129,NBA Live 07,X360,2006,Sep,25,undefined,EA Sports  ,EA Canada  ,6.0,,0.43,0.0,,0.04,0.47
5130,F.E.A.R. 2: Project Origin,PS3,2009,Feb,10,undefined,Warner Bros. Interactive  ,Monolith Productions  ,8.2,,0.19,0.2,0.01,0.08,0.47
5131,ICO,PS2,2001,Sep,24,undefined,Sony Computer Entertainment  ,Team ICO  ,8.8,,0.23,0.18,,0.06,0.47
5132,Silent Hill: Downpour,PS3,2012,Mar,13,undefined,Konami  ,Konami  ,,,0.21,0.16,0.04,0.06,0.47
5133,Unreal Tournament III,X360,2008,Jul,07,undefined,Midway Games  ,Epic Games  ,7.8,,0.25,0.17,0.01,0.05,0.47
5134,Microsoft Flight Simulator X,PC,2006,Oct,17,undefined,Microsoft Game Studios  ,ACES Studio/Microsoft Game Studios  ,,,0.02,0.41,,0.04,0.47
5135,Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011,Sep,15,undefined,Square Enix  ,Square Enix  ,,,,,0.47,,0.47
5136,The Sims 2: Pets,Wii,2007,Jun,12,undefined,Electronic Arts  ,Maxis  ,,,0.41,0.03,,0.04,0.47
5137,2010 FIFA World Cup South Africa,PSP,2010,Apr,27,undefined,EA Sports  ,EA Canada  ,6.8,,0.09,0.23,0.03,0.12,0.47
5138,Victorious Boxers: Ippo's Road to Glory,PS2,2001,Nov,05,undefined,Empire Interactive  ,New  ,,,0.05,0.04,0.38,0.01,0.47
5139,MySims Racing,Wii,2009,Jun,08,undefined,Electronic Arts  ,Artificial Mind and Movement  ,,,0.19,0.23,,0.05,0.47
5140,Densetsu no Stafi,GBA,2002,Sep,06,undefined,Nintendo  ,TOSE  ,,,,,0.46,0.01,0.47
5141,Valkyrie Profile 2: Silmeria,PS2,2006,Sep,26,undefined,Square Enix  ,tri-Ace  ,8.4,,0.04,0.03,0.39,0.01,0.47
5142,Hot Wheels Velocity X,PS2,2002,Nov,11,undefined,THQ  ,Beyond Games  ,,,0.23,0.18,,0.06,0.47
5143,Dragon Age Origins: Awakening,X360,2010,Mar,16,undefined,Electronic Arts  ,BioWare Corp.  ,8.3,,0.33,0.1,,0.04,0.47
5144,Inazuma Eleven 3: Sekai e no Chousen!! The Ogre,DS,2010,Dec,16,undefined,Level 5  ,Level 5  ,,,,,0.47,,0.47
5145,Shadowrun (2007),X360,2007,May,29,undefined,Microsoft Game Studios  ,FASA Studio  ,6.3,,0.41,0.02,,0.04,0.47
5146,Jake Power: Fireman,DS,2009,Feb,10,undefined,Ubisoft  ,Magic Pockets  ,,,0.08,0.34,,0.05,0.47
5147,L.A. Rush,PS2,2005,Oct,11,undefined,Midway Games  ,The Pitbull Syndicate Limited  ,,,0.23,0.18,,0.06,0.47
5148,Dead Space Extraction,Wii,2009,Sep,28,undefined,Electronic Arts  ,Visceral Games  ,8.2,,0.32,0.1,0.01,0.04,0.47
5149,Automobili Lamborghini,N64,1997,Nov,30,undefined,Titus  ,Titus Software  ,,,0.28,0.17,,0.01,0.47
5150,Bomberman Hero,N64,1998,Sep,01,undefined,Nintendo  ,AI  ,,,0.27,0.06,0.08,0.05,0.47
5151,Doom 64,N64,1997,Mar,31,undefined,Midway Games  ,Midway Studios San Diego  ,7.4,,0.38,0.08,,0.01,0.47
5152,Momotarou Dentetsu V,PS,1999,Dec,16,undefined,Hudson Entertainment  ,Hudson  ,,,,,0.44,0.03,0.47
5153,Quest 64,N64,1998,Jun,11,undefined,THQ  ,Imagineer  ,5.4,,0.38,0.08,,0.01,0.47
5154,Crash: Mind Over Mutant,X360,2008,Oct,21,undefined,Activision  ,Radical Entertainment  ,,,0.22,0.2,,0.05,0.47
5155,Commando,2600,1988,Jan,01,undefined,Activision  ,Data East  ,,,0.44,0.02,,0.0,0.47
5156,Viva Pinata: Trouble in Paradise,X360,2008,Sep,02,undefined,Microsoft Game Studios  ,Rare Ltd.  ,8.5,,0.16,0.25,0.01,0.05,0.47
5157,NBA Ballers: Phenom,PS2,2006,Apr,05,undefined,Midway Games  ,Midway  ,,,0.23,0.18,,0.06,0.47
5158,Need for Speed Carbon,XB,2006,Oct,31,undefined,Electronic Arts  ,EA Black Box  ,7.9,,0.35,0.1,,0.02,0.47
5159,Payday 2,PS3,2013,Aug,13,undefined,505 Games  ,Overkill Software  ,,,0.24,0.15,,0.08,0.47
5160,Silent Hill: Shattered Memories,Wii,2009,Dec,08,undefined,Konami  ,Climax Group  ,7.3,6.8,0.22,0.19,0.01,0.05,0.47
5161,FlingSmash,Wii,2010,Nov,07,undefined,Nintendo  ,Artoon  ,3.8,,0.37,0.01,0.07,0.02,0.47
5162,Emergency Heroes,Wii,2008,May,27,undefined,Ubisoft  ,Ubisoft Barcelona / Ubisoft Reflections  ,,,0.14,0.27,,0.05,0.47
5163,Deadpool,PS4,2015,Nov,18,undefined,Activision  ,High Moon Studios  ,,,0.26,0.13,,0.08,0.47
5164,Running with Rifles,PC,2015,Apr,02,undefined,Modulaatio Games  ,Modulaatio Games  ,,,,,,,
5165,Active Life: Extreme Challenge,Wii,2009,Aug,11,undefined,Namco Bandai  ,High Horse Entertainment  ,,,0.14,0.27,,0.06,0.47
5166,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2017,Apr,25,undefined,Square Enix  ,Omega Force  ,,,0.05,0.09,0.3,0.03,0.47
5167,MTV Music Generator,PS,1999,Nov,30,undefined,Codemasters  ,Jester Interactive  ,,,0.26,0.18,,0.03,0.47
5168,Hamsterz Life,DS,2006,Nov,28,undefined,Ubisoft  ,Unknown  ,,,0.43,0.01,,0.04,0.47
5169,"Warhammer 40,000: Dawn of War II",PC,2009,Feb,19,undefined,THQ  ,Relic  ,8.7,,,0.45,,0.01,0.47
5170,Super Momotarou Dentetsu DX,SNES,1995,Dec,08,undefined,Hudson Soft  ,Hudson Soft  ,,,,,0.47,0.0,0.47
5171,World Soccer Winning Eleven 8: Liveware Evolution,PS2,2005,Mar,24,undefined,Konami  ,Konami Computer Entertainment Tokyo  ,,,,,0.47,,0.47
5172,TrackMania Turbo,PS4,2016,Mar,22,undefined,Ubisoft  ,Nadeo  ,,,0.04,0.35,,0.07,0.47
5173,Madden NFL 17,X360,2016,Aug,23,undefined,EA Sports  ,EA Tiburon  ,,,0.37,0.05,,0.05,0.47
5174,Cars: Race-O-Rama,PS2,2009,Oct,13,undefined,THQ  ,Rainbow Studios  ,,,0.27,0.03,,0.17,0.47
5175,Final Fantasy Crystal Chronicles: Echoes of Time,DS,2009,Mar,24,undefined,Square Enix  ,Square Enix  ,7.7,,0.12,0.06,0.27,0.02,0.47
5176,Downhill Domination,PS2,2003,Jul,23,undefined,Sony Computer Entertainment  ,Incognito Inc.  ,,,0.23,0.18,,0.06,0.47
5177,Life Is Strange: Before the Storm,PC,2017,Aug,31,undefined,Square Enix  ,Deck Nine  ,,,,0.0,,0.0,0.0
5178,Detective Pikachu,3DS,2018,Mar,23,undefined,Nintendo  ,Creatures Inc.  ,7.1,,0.15,0.17,0.12,0.03,0.47
5179,Pirates of the Caribbean: Dead Man's Chest,GBA,2006,Jun,27,undefined,Buena Vista  ,Amaze Entertainment  ,,,0.33,0.12,,0.01,0.47
5180,Knack 2,PS4,2017,Sep,05,undefined,Sony Interactive Entertainment  ,SIE Japan Studio  ,6.7,,0.14,0.25,0.01,0.07,0.47
5181,Spider-Man: Friend or Foe,DS,2007,Oct,02,undefined,Activision  ,Artificial Mind and Movement  ,5.3,,0.43,0.0,,0.04,0.47
5182,Spider-Man 3,DS,2007,May,04,undefined,Activision  ,Vicarious Visions  ,8.0,,0.41,0.02,,0.04,0.47
5183,Just Dance 2014,PS4,2013,Nov,15,undefined,Ubisoft  ,Ubisoft Paris  ,7.5,,0.21,0.18,,0.08,0.47
5184,Inazuma Eleven Go: Chrono Stone - Wildfire / Thunderflash,3DS,2012,Dec,13,undefined,Level 5  ,Level 5  ,,,,0.01,0.46,0.0,0.47
5185,Deadpool,PS3,2013,Jun,25,undefined,Activision  ,High Moon Studios  ,,,0.23,0.16,,0.08,0.47
5186,World Series of Poker,PS2,2005,Aug,31,undefined,Activision  ,Activision Value  ,,,0.39,0.01,,0.06,0.47
5187,NHL 97,PS,1996,Oct,31,undefined,EA Sports  ,Visual Concepts  ,,,0.26,0.18,,0.03,0.47
5188,Kong: The 8th Wonder of the World,GBA,2005,Nov,21,undefined,Ubisoft  ,Ubisoft Casablanca  ,,,0.33,0.12,,0.01,0.47
5189,Two Worlds II,PS3,2011,Jan,25,undefined,SouthPeak Interactive  ,Reality Pump  ,6.5,,0.26,0.1,0.06,0.04,0.47
5190,Sonic Mania,NS,2017,Aug,15,undefined,Sega  ,PagodaWest Games  ,8.8,,0.23,0.18,0.01,0.04,0.47
5191,Godzilla: Save the Earth,PS2,2004,Nov,02,undefined,Atari  ,"Pipeworks Software, Inc.  ",,,0.23,0.18,,0.06,0.47
5192,Petz Sports,Wii,2008,Nov,04,undefined,Ubisoft  ,Ubisoft Montreal  ,5.0,,0.42,0.01,,0.04,0.47
5193,Dance Dance Revolution: Mario Mix,GC,2005,Oct,24,undefined,Nintendo  ,Konami  ,7.0,,0.36,0.09,,0.01,0.47
5194,Farming Simulator 19,PS4,2018,Nov,20,undefined,Focus Home Interactive  ,Giants Software  ,,,0.13,0.26,,0.07,0.47
5195,Metal Gear Solid: The Twin Snakes,GC,2004,Mar,09,undefined,Konami  ,Silicon Knights  ,8.1,,0.3,0.08,0.07,0.01,0.47
5196,Tiger Woods PGA Tour 07,Wii,2007,Mar,13,undefined,EA Sports  ,EA Redwood Shores  ,7.1,,0.43,0.0,,0.04,0.47
5197,FIFA Soccer 13,PSV,2012,Sep,25,undefined,EA Sports  ,EA Canada  ,,,,0.32,0.05,0.1,0.46
5198,Mat Hoffman's Pro BMX 2,PS2,2002,Aug,12,undefined,Activision  ,Rainbow Studios  ,8.1,,0.23,0.18,,0.06,0.46
5199,Metal Gear Solid: The Essential Collection,PS2,2008,Mar,18,undefined,Konami  ,Konami Computer Entertainment Japan  ,9.0,,0.23,0.18,,0.06,0.46
5200,Rayman Legends,X360,2013,Sep,03,undefined,Ubisoft  ,Ubisoft Montpellier  ,,,0.19,0.24,,0.04,0.46
5201,MX vs. ATV: Alive,PS3,2011,May,10,undefined,THQ  ,Rainbow Studios  ,6.9,,0.24,0.15,,0.07,0.46
5202,SimCity Creator,Wii,2008,Sep,22,undefined,Electronic Arts  ,The Sims Studio  ,,,0.36,0.03,0.04,0.04,0.46
5203,Harry Potter and the Order of the Phoenix,Wii,2007,Jun,25,undefined,Electronic Arts  ,EA UK  ,,,0.38,0.05,,0.04,0.46
5204,Iridion 3D,GBA,2001,May,29,undefined,Majesco  ,Shin'en GmbH  ,5.6,,0.33,0.12,,0.01,0.46
5205,Syphon Filter: Logan's Shadow,PSP,2007,Oct,02,undefined,Sony Computer Entertainment  ,SCEA Bend Studio  ,8.4,,0.25,0.12,,0.09,0.46
